,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,8.98e-06,1558042921,8.98e-06,8.98e-06,8.98e-06,0.0,0.0,8.98e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,9.02e-06,1558044000,9.11e-06,8.89e-06,8.98e-06,423329.2392747,3.83432888,9.05e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,8.53e-06,1558051200,9.04e-06,8.53e-06,9e-06,777605.65122314,6.87103637,8.83e-06,3.5684550833333333,-99999.0,-99999.0,8.843333333333332e-06,-99999.0,-99999.0
3,8.79e-06,1558058400,8.82e-06,8.41e-06,8.6e-06,1258845.8899917,10.75164921,8.54e-06,7.152338153333333,-99999.0,-99999.0,8.78e-06,-99999.0,-99999.0
4,8.74e-06,1558065600,8.79e-06,8.65e-06,8.74e-06,107046.27778739,0.93168211,8.7e-06,6.18478923,-99999.0,-99999.0,8.686666666666668e-06,-99999.0,-99999.0
5,8.79e-06,1558072800,8.79e-06,8.56e-06,8.74e-06,120497.82700292,1.03924041,8.62e-06,4.240857243333334,-99999.0,-99999.0,8.773333333333335e-06,-99999.0,-99999.0
6,8.84e-06,1558080000,8.88e-06,8.73e-06,8.74e-06,267433.84610266,2.37101049,8.86e-06,1.4473110033333338,-99999.0,-99999.0,8.790000000000002e-06,-99999.0,-99999.0
7,8.68e-06,1558087200,8.99e-06,8.66e-06,8.85e-06,186684.78560498,1.6441113,8.8e-06,1.684787400000001,-99999.0,-99999.0,8.77e-06,-99999.0,-99999.0
8,8.76e-06,1558094400,8.82e-06,8.67e-06,8.68e-06,137716.80014941,1.20115576,8.72e-06,1.7387591833333342,-99999.0,-99999.0,8.759999999999999e-06,-99999.0,-99999.0
9,8.63e-06,1558101600,8.81e-06,8.63e-06,8.76e-06,142167.18843553,1.24155442,8.73e-06,1.3622738266666676,-99999.0,-99999.0,8.690000000000002e-06,-99999.0,-99999.0
10,8.7e-06,1558108800,9e-06,8.6e-06,8.64e-06,352142.21657013,3.0775215,8.73e-06,1.8400772266666674,-99999.0,-99999.0,8.696666666666668e-06,-99999.0,-99999.0
11,8.64e-06,1558116000,8.71e-06,8.6e-06,8.67e-06,75465.46573787,0.65103991,8.62e-06,1.6567052766666672,-99999.0,-99999.0,8.656666666666666e-06,-99999.0,-99999.0
12,8.69e-06,1558123200,8.73e-06,8.6e-06,8.61e-06,23892.74905436,0.20731949,8.67e-06,1.3119603000000006,2.6016653730769237,-99999.0,8.676666666666666e-06,8.753076923076923e-06,-99999.0
13,8.82e-06,1558130400,8.99e-06,8.66e-06,8.69e-06,963764.56837477,8.49007807,8.8e-06,3.1161458233333335,3.2547483015384624,-99999.0,8.716666666666664e-06,8.74076923076923e-06,-99999.0
14,8.71e-06,1558137600,8.85e-06,8.66e-06,8.82e-06,160785.83960795,1.41194855,8.78e-06,3.369782036666667,3.0684113530769235,-99999.0,8.739999999999996e-06,8.716923076923076e-06,-99999.0
15,8.87e-06,1558144800,8.87e-06,8.69e-06,8.71e-06,89943.24457646,0.78636759,8.74e-06,3.56279807,2.600359908461539,-99999.0,8.799999999999997e-06,8.743076923076923e-06,-99999.0
16,8.74e-06,1558152000,8.87e-06,8.73e-06,8.81e-06,43592.77990447,0.38209235,8.76e-06,0.8601361633333339,1.802701688461539,-99999.0,8.773333333333331e-06,8.739230769230768e-06,-99999.0
17,8.71e-06,1558159200,8.81e-06,8.71e-06,8.8e-06,33330.73981981,0.2913487,8.74e-06,0.48660288000000057,1.7534452723076928,-99999.0,8.773333333333331e-06,8.736923076923076e-06,-99999.0
18,8.65e-06,1558166400,8.77e-06,8.61e-06,8.71e-06,86797.34417731,0.75147399,8.65e-06,0.47497168000000056,1.7313093938461543,-99999.0,8.7e-06,8.726153846153843e-06,-99999.0
19,8.7e-06,1558173600,8.73e-06,8.63e-06,8.65e-06,58025.7777063,0.50232832,8.65e-06,0.5150503366666672,1.587564611538462,-99999.0,8.686666666666666e-06,8.715384615384612e-06,-99999.0
20,8.64e-06,1558180800,8.72e-06,8.63e-06,8.7e-06,6381.32702128,0.0553708,8.67e-06,0.4363910366666672,1.4653538038461542,-99999.0,8.663333333333332e-06,8.712307692307689e-06,-99999.0
21,8.82e-06,1558188000,8.82e-06,8.63e-06,8.64e-06,43382.11474055,0.37843168,8.72e-06,0.3120436000000005,1.4020673361538465,-99999.0,8.72e-06,8.716923076923073e-06,-99999.0
22,8.71e-06,1558195200,8.82e-06,8.71e-06,8.74e-06,73854.58224962,0.64464765,8.72e-06,0.3594833766666672,1.356151430769231,-99999.0,8.723333333333332e-06,8.723076923076918e-06,-99999.0
23,8.7e-06,1558202400,8.8e-06,8.68e-06,8.79e-06,44349.04610025,0.38576654,8.69e-06,0.4696152900000006,1.1490933569230772,-99999.0,8.743333333333333e-06,8.723076923076918e-06,-99999.0
24,8.7e-06,1558209600,8.75e-06,8.67e-06,8.7e-06,5268.64292921,0.04582853,8.69e-06,0.3587475733333339,1.1025386353846156,-99999.0,8.703333333333334e-06,8.727692307692303e-06,-99999.0
25,8.71e-06,1558216800,8.79e-06,8.7e-06,8.7e-06,6332.06267941,0.05536675,8.74e-06,0.16232060666666723,1.0908499630769233,-99999.0,8.703333333333332e-06,8.729230769230763e-06,-99999.0
26,8.63e-06,1558224000,8.74e-06,8.63e-06,8.71e-06,7303.57923452,0.0635244,8.69e-06,0.05490656000000057,0.4426535269230773,-99999.0,8.679999999999998e-06,8.714615384615378e-06,-99999.0
27,8.59e-06,1558231200,8.63e-06,8.5e-06,8.63e-06,161546.49076327,1.38490295,8.57e-06,0.5012647000000006,0.44057309615384654,-99999.0,8.643333333333332e-06,8.70538461538461e-06,-99999.0
