,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,4.62e-06,1558042921,4.62e-06,4.62e-06,4.62e-06,0.0,0.0,4.62e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,4.89e-06,1558044000,4.89e-06,4.54e-06,4.6e-06,14589.29008055,0.0691748,4.74e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,4.52e-06,1558051200,4.83e-06,4.51e-06,4.74e-06,20735.86364968,0.0956775,4.61e-06,0.05495076666666667,-99999.0,-99999.0,4.676666666666666e-06,-99999.0,-99999.0
3,4.61e-06,1558058400,4.65e-06,4.51e-06,4.51e-06,10837.03910633,0.04998888,4.61e-06,0.07161372666666667,-99999.0,-99999.0,4.673333333333332e-06,-99999.0,-99999.0
4,4.61e-06,1558065600,4.78e-06,4.55e-06,4.57e-06,47328.83916175,0.22068361,4.66e-06,0.12211666333333333,-99999.0,-99999.0,4.579999999999999e-06,-99999.0,-99999.0
5,4.66e-06,1558072800,4.69e-06,4.66e-06,4.69e-06,766.90815012,0.00357766,4.66e-06,0.09141671666666666,-99999.0,-99999.0,4.626666666666665e-06,-99999.0,-99999.0
6,4.74e-06,1558080000,4.74e-06,4.66e-06,4.66e-06,10531.8923106,0.0491435,4.66e-06,0.09113492333333333,-99999.0,-99999.0,4.6699999999999985e-06,-99999.0,-99999.0
7,4.57e-06,1558087200,4.66e-06,4.57e-06,4.66e-06,58683.20816936,0.26944954,4.59e-06,0.10739023333333331,-99999.0,-99999.0,4.656666666666665e-06,-99999.0,-99999.0
8,4.57e-06,1558094400,4.65e-06,4.57e-06,4.59e-06,4892.20694411,0.02255533,4.61e-06,0.11371612333333331,-99999.0,-99999.0,4.626666666666665e-06,-99999.0,-99999.0
9,4.64e-06,1558101600,4.69e-06,4.56e-06,4.58e-06,30983.10967316,0.14296837,4.61e-06,0.14499107999999997,-99999.0,-99999.0,4.5933333333333314e-06,-99999.0,-99999.0
10,4.65e-06,1558108800,4.74e-06,4.61e-06,4.62e-06,23107.55988713,0.10759979,4.65e-06,0.0910411633333333,-99999.0,-99999.0,4.619999999999998e-06,-99999.0,-99999.0
11,4.65e-06,1558116000,4.65e-06,4.65e-06,4.65e-06,0.0,0.0,4.65e-06,0.08352271999999998,-99999.0,-99999.0,4.646666666666665e-06,-99999.0,-99999.0
12,4.77e-06,1558123200,4.79e-06,4.66e-06,4.66e-06,14701.40286275,0.06984994,4.75e-06,0.05914990999999997,0.08466684,-99999.0,4.689999999999998e-06,4.653846153846152e-06,-99999.0
13,4.66e-06,1558130400,4.78e-06,4.66e-06,4.77e-06,4449.58523023,0.02122122,4.76e-06,0.0303570533333333,0.08629924153846152,-99999.0,4.693333333333331e-06,4.656923076923075e-06,-99999.0
14,4.7e-06,1558137600,4.7e-06,4.63e-06,4.69e-06,1517.71638273,0.00707915,4.66e-06,0.03271676999999997,0.08152265307692307,-99999.0,4.709999999999997e-06,4.642307692307691e-06,-99999.0
15,4.7e-06,1558144800,4.7e-06,4.7e-06,4.7e-06,129.14577538,0.00060698,4.7e-06,0.009635783333333306,0.07420953615384614,-99999.0,4.686666666666664e-06,4.656153846153845e-06,-99999.0
16,4.71e-06,1558152000,4.74e-06,4.7e-06,4.7e-06,2323.53916916,0.01095183,4.71e-06,0.006212653333333304,0.07120668615384614,-99999.0,4.70333333333333e-06,4.663846153846152e-06,-99999.0
17,4.71e-06,1558159200,4.71e-06,4.71e-06,4.71e-06,0.0,0.0,4.71e-06,0.0038529366666666376,0.054231023846153824,-99999.0,4.706666666666664e-06,4.67153846153846e-06,-99999.0
18,4.64e-06,1558166400,4.69e-06,4.64e-06,4.69e-06,554.84845821,0.00257679,4.64e-06,0.004509539999999971,0.05415403384615382,-99999.0,4.6866666666666644e-06,4.6699999999999985e-06,-99999.0
19,4.68e-06,1558173600,4.68e-06,4.64e-06,4.64e-06,1731.43182275,0.0080556,4.65e-06,0.0035441299999999704,0.05099342615384613,-99999.0,4.6766666666666645e-06,4.665384615384614e-06,-99999.0
20,4.62e-06,1558180800,4.69e-06,4.62e-06,4.68e-06,13611.04030039,0.06376072,4.68e-06,0.024797703333333306,0.03517120923076921,-99999.0,4.646666666666664e-06,4.669230769230768e-06,-99999.0
21,4.69e-06,1558188000,4.69e-06,4.62e-06,4.68e-06,28682.48026588,0.13439963,4.68e-06,0.06873864999999997,0.0437746169230769,-99999.0,4.663333333333331e-06,4.6784615384615375e-06,-99999.0
