,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,9.46e-06,1558042921,9.46e-06,9.46e-06,9.46e-06,0.0,0.0,9.46e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,9.1e-06,1558044000,9.42e-06,9.1e-06,9.42e-06,31053.72235847,0.28591248,9.2e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,8.95e-06,1558051200,9.23e-06,8.92e-06,9.15e-06,13508.8705571,0.12384046,9.16e-06,0.13658431333333335,-99999.0,-99999.0,9.17e-06,-99999.0,-99999.0
3,8.81e-06,1558058400,8.95e-06,8.64e-06,8.92e-06,147602.30836324,1.29569519,8.77e-06,0.56848271,-99999.0,-99999.0,8.953333333333333e-06,-99999.0,-99999.0
4,9.11e-06,1558065600,9.14e-06,8.81e-06,8.81e-06,47354.94708566,0.42841727,9.04e-06,0.6159843066666667,-99999.0,-99999.0,8.956666666666667e-06,-99999.0,-99999.0
5,9.03e-06,1558072800,9.15e-06,9.03e-06,9.11e-06,6732.49037406,0.06131914,9.1e-06,0.5951438666666666,-99999.0,-99999.0,8.983333333333333e-06,-99999.0,-99999.0
6,8.96e-06,1558080000,9.09e-06,8.96e-06,9.09e-06,2115.74497195,0.01912708,9.04e-06,0.16962116333333332,-99999.0,-99999.0,9.033333333333334e-06,-99999.0,-99999.0
7,9.12e-06,1558087200,9.21e-06,9.07e-06,9.1e-06,9932.21968908,0.09069383,9.13e-06,0.05704668333333331,-99999.0,-99999.0,9.036666666666668e-06,-99999.0,-99999.0
8,9.4e-06,1558094400,9.4e-06,9.15e-06,9.19e-06,51368.66751103,0.47917047,9.32e-06,0.19633045999999996,-99999.0,-99999.0,9.16e-06,-99999.0,-99999.0
9,9.6e-06,1558101600,9.66e-06,9.42e-06,9.42e-06,13321.00303072,0.12711605,9.54e-06,0.23232678333333331,-99999.0,-99999.0,9.373333333333334e-06,-99999.0,-99999.0
10,9.6e-06,1558108800,9.73e-06,9.56e-06,9.7e-06,4110.25506309,0.03978154,9.67e-06,0.21535601999999998,-99999.0,-99999.0,9.533333333333332e-06,-99999.0,-99999.0
11,9.49e-06,1558116000,9.57e-06,9.42e-06,9.57e-06,23709.17644744,0.22431891,9.46e-06,0.13040549999999998,-99999.0,-99999.0,9.563333333333332e-06,-99999.0,-99999.0
12,9.55e-06,1558123200,9.56e-06,9.43e-06,9.49e-06,20493.36652913,0.19393035,9.46e-06,0.15267693333333332,0.2591786746153847,-99999.0,9.546666666666666e-06,9.244615384615387e-06,-99999.0
13,9.73e-06,1558130400,9.73e-06,9.56e-06,9.57e-06,1783.99219059,0.01717195,9.62e-06,0.1451404033333333,0.2604995938461539,-99999.0,9.59e-06,9.265384615384616e-06,-99999.0
14,9.64e-06,1558137600,9.9e-06,9.62e-06,9.73e-06,145663.63307087,1.43043648,9.82e-06,0.5471795933333333,0.3485399015384616,-99999.0,9.640000000000001e-06,9.306923076923079e-06,-99999.0
15,9.62e-06,1558144800,9.7e-06,9.62e-06,9.65e-06,2483.21438149,0.02404821,9.68e-06,0.49055221333333326,0.34086357461538463,-99999.0,9.663333333333333e-06,9.35846153846154e-06,-99999.0
16,9.62e-06,1558152000,9.76e-06,9.58e-06,9.62e-06,17216.70273661,0.16646361,9.66e-06,0.5403161,0.25399960692307694,-99999.0,9.626666666666665e-06,9.420769230769234e-06,-99999.0
17,9.44e-06,1558159200,9.59e-06,9.44e-06,9.59e-06,301.77848928,0.00287036,9.51e-06,0.06446072666666658,0.22126522923076927,-99999.0,9.56e-06,9.446153846153848e-06,-99999.0
18,9.37e-06,1558166400,9.42e-06,9.37e-06,9.42e-06,7211.7176089,0.06757974,9.37e-06,0.07897123666666657,0.22174681384615386,-99999.0,9.476666666666669e-06,9.472307692307695e-06,-99999.0
19,9.44e-06,1558173600,9.44e-06,9.44e-06,9.44e-06,1059.32203389,0.00999999,9.44e-06,0.026816696666666574,0.22104473,-99999.0,9.416666666666667e-06,9.509230769230773e-06,-99999.0
20,9.46e-06,1558180800,9.49e-06,9.46e-06,9.46e-06,2381.70246241,0.02253772,9.46e-06,0.03337248333333324,0.21580195230769228,-99999.0,9.423333333333335e-06,9.53538461538462e-06,-99999.0
21,9.52e-06,1558188000,9.55e-06,9.43e-06,9.46e-06,25982.0226153,0.24588369,9.46e-06,0.09280713333333324,0.19785681538461533,-99999.0,9.473333333333335e-06,9.544615384615389e-06,-99999.0
22,9.65e-06,1558195200,9.66e-06,9.59e-06,9.59e-06,10499.3034043,0.10106773,9.62e-06,0.12316304666666657,0.1958530984615384,-99999.0,9.543333333333336e-06,9.548461538461542e-06,-99999.0
23,9.72e-06,1558202400,9.72e-06,9.71e-06,9.71e-06,2469.13580246,0.02398521,9.71e-06,0.12364554333333323,0.1946379961538461,-99999.0,9.630000000000003e-06,9.557692307692312e-06,-99999.0
24,9.7e-06,1558209600,9.71e-06,9.7e-06,9.7e-06,24315.19713178,0.23591119,9.7e-06,0.12032137666666658,0.19552970999999994,-99999.0,9.690000000000002e-06,9.57384615384616e-06,-99999.0
25,9.73e-06,1558216800,9.73e-06,9.68e-06,9.72e-06,1030.17428041,0.01001839,9.72e-06,0.08997159666666658,0.1813826361538461,-99999.0,9.71666666666667e-06,9.587692307692314e-06,-99999.0
26,9.47e-06,1558224000,9.69e-06,9.38e-06,9.69e-06,4468.7407705,0.04244083,9.49e-06,0.09612346999999992,0.1833263961538461,-99999.0,9.633333333333335e-06,9.567692307692314e-06,-99999.0
27,9.04e-06,1558231200,9.37e-06,9.04e-06,9.37e-06,14144.81834276,0.13015341,9.2e-06,0.060870876666666594,0.08330462153846149,-99999.0,9.413333333333335e-06,9.521538461538469e-06,-99999.0
28,8.94e-06,1558238400,9.06e-06,8.9e-06,9.03e-06,34547.40102477,0.30944798,8.95e-06,0.16068073999999993,0.10525844999999998,-99999.0,9.150000000000002e-06,9.469230769230777e-06,-99999.0
29,8.93e-06,1558245600,8.94e-06,8.87e-06,8.94e-06,16093.8917078,0.14387165,8.93e-06,0.19449101333333327,0.10352060692307688,-99999.0,8.970000000000002e-06,9.416153846153854e-06,-99999.0
30,9.01e-06,1558252800,9.1e-06,8.93e-06,8.93e-06,101.71081779,0.00091572,9e-06,0.15141178333333324,0.10337024999999997,-99999.0,8.960000000000002e-06,9.38307692307693e-06,-99999.0
31,9.02e-06,1558260000,9.02e-06,8.93e-06,8.99e-06,10522.36255095,0.09456904,8.98e-06,0.0797854699999999,0.10544634999999995,-99999.0,8.986666666666668e-06,9.356153846153854e-06,-99999.0
32,8.9e-06,1558267200,8.98e-06,8.9e-06,8.94e-06,3007.33938408,0.02679305,8.9e-06,0.040759269999999896,0.10673812384615379,-99999.0,8.97666666666667e-06,9.314615384615391e-06,-99999.0
33,8.83e-06,1558274400,8.95e-06,8.75e-06,8.95e-06,35080.98702953,0.30988961,8.83e-06,0.14375056666666655,0.12884211538461532,0.199569950882353,8.91666666666667e-06,9.266153846153853e-06,9.322352941176466e-06
34,8.87e-06,1558281600,8.88e-06,8.82e-06,8.82e-06,5045.16642257,0.04462901,8.84e-06,0.1271038899999999,0.1133609861538461,0.20088256882352948,8.86666666666667e-06,9.216153846153852e-06,9.304999999999996e-06
35,8.78e-06,1558288800,8.89e-06,8.73e-06,8.84e-06,17676.31962882,0.15495067,8.76e-06,0.1698230966666666,0.11750582769230764,0.197030750882353,8.82666666666667e-06,9.149230769230776e-06,9.295588235294115e-06
36,8.66e-06,1558296000,8.78e-06,8.61e-06,8.72e-06,46716.0663112,0.40692655,8.71e-06,0.20216874333333323,0.1469628538461538,0.20535681235294123,8.770000000000004e-06,9.067692307692315e-06,9.287058823529409e-06
37,8.51e-06,1558303200,8.68e-06,8.44e-06,8.66e-06,36686.60136722,0.31394536,8.55e-06,0.2919408599999999,0.15296548230769227,0.17648181735294122,8.650000000000002e-06,8.976153846153853e-06,9.278235294117643e-06
38,8.64e-06,1558310400,8.75e-06,8.6e-06,8.64e-06,36142.32604793,0.31457956,8.7e-06,0.3451504899999999,0.17639326461538457,0.17313364941176476,8.603333333333335e-06,8.8923076923077e-06,9.26441176470588e-06
39,8.56e-06,1558317600,8.73e-06,8.56e-06,8.73e-06,10099.83043689,0.08645742,8.56e-06,0.23832744666666653,0.1797791561538461,0.17387301058823534,8.570000000000001e-06,8.822307692307701e-06,9.250588235294116e-06
40,8.49e-06,1558324800,8.55e-06,8.49e-06,8.55e-06,355.82165954,0.00303484,8.52e-06,0.13469060666666652,0.17000080461538458,0.17339970941176477,8.563333333333335e-06,8.780000000000009e-06,9.23676470588235e-06
41,8.65e-06,1558332000,8.65e-06,8.56e-06,8.59e-06,1574.73980809,0.01348821,8.56e-06,0.0343268233333332,0.14723466846153843,0.171128955882353,8.566666666666669e-06,8.757692307692317e-06,9.222941176470587e-06
42,8.98e-06,1558339200,8.98e-06,8.6e-06,8.6e-06,20281.57757223,0.17729672,8.74e-06,0.06460658999999987,0.14980582769230766,0.16225031617647068,8.706666666666669e-06,8.761538461538471e-06,9.210588235294116e-06
43,9e-06,1558346400,9e-06,8.9e-06,8.98e-06,32510.69375468,0.29049324,8.93e-06,0.16042605666666654,0.1720810215384615,0.16705552764705892,8.87666666666667e-06,8.76076923076924e-06,9.192941176470585e-06
44,8.89e-06,1558353600,9.08e-06,8.8e-06,9.01e-06,41776.8101108,0.37477835,8.97e-06,0.2808561033333332,0.1936355838461538,0.1769083750000001,8.956666666666668e-06,8.75076923076924e-06,9.17205882352941e-06
45,8.89e-06,1558360800,8.91e-06,8.78e-06,8.89e-06,31997.61494405,0.28371077,8.86e-06,0.3163274533333333,0.21339848538461534,0.17865519441176478,8.926666666666669e-06,8.750000000000008e-06,9.15441176470588e-06
46,8.68e-06,1558368000,8.89e-06,8.68e-06,8.8e-06,29607.89756381,0.2600157,8.78e-06,0.3061682733333333,0.20956203076923072,0.1805988811764707,8.82e-06,8.738461538461548e-06,9.128823529411763e-06
