,index,date,open,high,low,close,volume,hl_spread,oc_spread,roc_55,roc_21,roc_8,volume_feature
0,537,1583928000000,0.3159,0.3159,0.3159,0.3159,164.62,0.0,0.0,0.01217558474847813,-0.07279131200469613,-0.03305785123966931,152.2305076932969
1,536,1583913600000,0.3159,0.316,0.3159,0.3159,452.59,9.999999999998899e-05,0.0,0.06939742721733255,-0.11264044943820217,-0.030684258975145817,58.48305374426654
2,535,1583899200000,0.3185,0.319,0.3181,0.3181,2886.53,0.0009000000000000119,-0.00040000000000001146,0.0905039424065821,-0.10545556805399336,-0.02840562003665248,10.402621119883188
3,534,1583884800000,0.318,0.3181,0.3158,0.3181,7552.44,0.0022999999999999687,9.999999999998899e-05,0.09614059269469322,-0.15757415254237284,0.04192597445135915,4.4150783992831855
4,533,1583870400000,0.3162,0.3235,0.3157,0.3158,16274.96,0.007800000000000029,-0.00039999999999995595,0.08784016534619377,-0.16410799364743245,0.07708049113233284,2.3188216203079457
5,532,1583856000000,0.3268,0.3268,0.3157,0.3162,16665.4,0.011099999999999999,-0.010599999999999998,0.05894172806430009,-0.16082802547770714,0.03672131147540969,2.2514780005633335
6,531,1583841600000,0.3282,0.3309,0.3268,0.3268,16451.9,0.004100000000000048,-0.0014000000000000123,0.10517416300304339,-0.15226977950713372,0.05487411233053563,2.3296689493757707
7,530,1583827200000,0.3267,0.3279,0.3248,0.3279,4588.25,0.003100000000000047,0.0012000000000000344,0.10889414947582021,-0.1420722135007848,0.07437745740498025,8.357797250649828
8,529,1583812800000,0.3251,0.3268,0.325,0.3267,2040.7,0.0017999999999999683,0.0015999999999999903,0.0861037234042552,-0.1375395987328406,0.03912213740458004,19.248561623894894
9,528,1583798400000,0.3291,0.3304,0.3201,0.3259,25729.47,0.010300000000000031,-0.0031999999999999806,0.10138560324433943,-0.13046958377801499,0.042212983690438355,1.5778241722772488
10,527,1583784000000,0.3055,0.3274,0.3044,0.3274,18729.13,0.02300000000000002,0.02190000000000003,0.07626561472715321,-0.14828303850156088,-0.02151823072325154,2.1430829942447915
11,526,1583769600000,0.2956,0.3078,0.2937,0.3053,21140.68,0.014100000000000001,0.009700000000000042,0.0019691499835903237,-0.20266388090885346,-0.09594314480307964,1.892063714573596
