,close,high,low,open,startTime,time,volume
0,4.97,5.171,4.963,5.116,2019-09-15T13:00:00+00:00,1568552400000.0,0.0
1,5.069,5.069,4.916,4.97,2019-09-15T14:00:00+00:00,1568556000000.0,2874.80616
2,5.032,5.076,5.016,5.069,2019-09-15T15:00:00+00:00,1568559600000.0,0.0
3,5.276,5.417,5.026,5.032,2019-09-15T16:00:00+00:00,1568563200000.0,1991.63864
4,5.298,5.387,5.213,5.276,2019-09-15T17:00:00+00:00,1568566800000.0,0.0
5,5.173,5.298,5.151,5.298,2019-09-15T18:00:00+00:00,1568570400000.0,0.0
6,5.159,5.22,5.159,5.173,2019-09-15T19:00:00+00:00,1568574000000.0,0.0
7,5.257,5.275,5.138,5.159,2019-09-15T20:00:00+00:00,1568577600000.0,0.0
8,5.118,5.277,5.118,5.257,2019-09-15T21:00:00+00:00,1568581200000.0,0.0
9,5.117,5.17,4.993,5.118,2019-09-15T22:00:00+00:00,1568584800000.0,0.0
10,4.938,5.156,4.918,5.117,2019-09-15T23:00:00+00:00,1568588400000.0,0.0
11,5.058,5.242,4.938,4.938,2019-09-16T00:00:00+00:00,1568592000000.0,0.0
12,5.166,5.208,5.039,5.058,2019-09-16T01:00:00+00:00,1568595600000.0,0.0
13,5.185,5.203,5.125,5.166,2019-09-16T02:00:00+00:00,1568599200000.0,0.0
14,5.067,5.192,5.063,5.188,2019-09-16T03:00:00+00:00,1568602800000.0,0.0
15,5.118,5.354,5.015,5.067,2019-09-16T04:00:00+00:00,1568606400000.0,0.0
16,5.165,5.174,5.087,5.118,2019-09-16T05:00:00+00:00,1568610000000.0,0.0
17,5.2,5.284,5.153,5.165,2019-09-16T06:00:00+00:00,1568613600000.0,0.0
18,5.191,5.222,5.091,5.2,2019-09-16T07:00:00+00:00,1568617200000.0,0.0
19,5.313,5.334,5.168,5.194,2019-09-16T08:00:00+00:00,1568620800000.0,1000.77764
20,5.173,5.314,5.153,5.313,2019-09-16T09:00:00+00:00,1568624400000.0,5135.34987
21,5.104,5.193,5.08,5.173,2019-09-16T10:00:00+00:00,1568628000000.0,0.0
22,4.998,5.13,4.992,5.104,2019-09-16T11:00:00+00:00,1568631600000.0,0.0
23,4.387,4.998,4.366,4.998,2019-09-16T12:00:00+00:00,1568635200000.0,0.0
24,4.312,4.459,4.279,4.389,2019-09-16T13:00:00+00:00,1568638800000.0,1763.999
25,4.361,4.455,4.267,4.312,2019-09-16T14:00:00+00:00,1568642400000.0,49.96062
26,4.476,4.497,4.282,4.361,2019-09-16T15:00:00+00:00,1568646000000.0,0.0
27,4.437,4.489,4.402,4.476,2019-09-16T16:00:00+00:00,1568649600000.0,0.0
28,4.502,4.516,4.414,4.437,2019-09-16T17:00:00+00:00,1568653200000.0,0.0
29,4.423,4.597,4.4,4.501,2019-09-16T18:00:00+00:00,1568656800000.0,0.0
30,4.475,4.523,4.379,4.423,2019-09-16T19:00:00+00:00,1568660400000.0,0.0
31,4.629,4.657,4.472,4.475,2019-09-16T20:00:00+00:00,1568664000000.0,0.0
32,4.809,4.853,4.595,4.629,2019-09-16T21:00:00+00:00,1568667600000.0,0.0
