time,open,high,low,close,vwap,vol
1569412800,1.02000,1.02000,1.00434,1.00481,1.00704,2038.14530869,15
1569427200,1.00779,1.00980,1.00422,1.00785,1.00782,2383.38355871,17
1569441600,1.00685,1.00685,1.00246,1.00652,1.00502,809.68275376,9
1569456000,1.00606,1.00606,1.00213,1.00589,1.00452,331.19658106,7
1569470400,1.00589,1.00603,1.00589,1.00603,1.00603,10.64893893,1
1569484800,1.00666,1.00873,1.00300,1.00729,1.00623,1776.49838548,12
1569499200,1.00676,1.01040,1.00300,1.00939,1.00521,15452.76834931,73
1569513600,1.00939,1.01261,1.00488,1.01070,1.00849,1660.15497986,16
1569528000,1.00884,1.01147,1.00636,1.01070,1.00776,7876.68173299,22
1569542400,1.01081,1.01081,1.00812,1.00812,1.00926,342.29653936,4
1569556800,1.00812,1.01113,1.00785,1.00785,1.00871,1249.71983125,18
1569571200,1.01114,1.01125,1.00703,1.00703,1.00897,1539.11764777,9
1569585600,1.00692,1.01009,1.00320,1.00320,1.00513,6215.56171915,29
1569600000,1.00320,1.01055,1.00320,1.01055,1.00794,620.17070601,8
1569614400,1.01055,1.01266,1.00671,1.01266,1.01090,2190.53129900,13
1569628800,1.00699,1.01077,1.00699,1.01077,1.00876,399.42811741,2
1569643200,1.01077,1.01077,1.01077,1.01077,0.00000,0.00000000,0
1569657600,1.01077,1.01090,1.00500,1.00500,1.00636,2335.15371245,8
1569672000,1.00547,1.00610,1.00547,1.00610,1.00585,441.32644339,3
1569686400,1.01003,1.01003,1.00543,1.00543,1.00728,1341.04026890,12
1569700800,1.00543,1.00983,1.00543,1.00981,1.00907,226.98830391,10
1569715200,1.00981,1.00981,1.00981,1.00981,0.00000,0.00000000,0
1569729600,1.00561,1.00978,1.00284,1.00978,1.00379,5198.92453295,15
1569744000,1.00989,1.00989,1.00463,1.00835,1.00785,864.59085504,5
1569758400,1.00500,1.00883,1.00500,1.00883,1.00845,497.13225423,6
1569772800,1.00883,1.00883,1.00641,1.00641,1.00641,15.20365000,3
1569787200,1.00641,1.00641,1.00641,1.00641,0.00000,0.00000000,0
1569801600,1.00641,1.01184,1.00641,1.01184,1.01085,2267.30000000,11
1569816000,1.01185,1.01185,1.00583,1.00583,1.00880,540.73841554,6
1569830400,1.00583,1.01019,1.00583,1.00877,1.00833,985.67036180,7
1569844800,1.00915,1.01123,1.00000,1.01123,1.00723,11267.49354636,45
1569859200,1.00613,1.01157,1.00612,1.00637,1.00965,1443.45889792,14
1569873600,1.00649,1.01077,1.00649,1.00681,1.00787,1089.39559124,5
1569888000,1.00681,1.00681,1.00681,1.00681,0.00000,0.00000000,0
1569902400,1.00752,1.01416,1.00531,1.00993,1.01099,6747.04692580,39
1569916800,1.00993,1.01092,1.00584,1.00584,1.00839,631.75551936,5
1569931200,1.00584,1.00775,1.00001,1.00775,1.00061,8554.26849417,15
1569945600,1.00804,1.00855,1.00002,1.00352,1.00338,5599.68932873,22
1569960000,1.00352,1.00739,1.00316,1.00337,1.00553,994.06724828,5
1569974400,1.00700,1.00727,1.00150,1.00150,1.00614,4072.56151740,21
1569988800,1.00150,1.00304,1.00150,1.00217,1.00242,6914.78036211,39
1570003200,1.00217,1.00284,1.00003,1.00260,1.00057,5379.88680474,8
1570017600,1.00260,1.00722,1.00260,1.00693,1.00412,1495.92631798,8
1570032000,1.00693,1.00718,1.00277,1.00277,1.00570,438.39276758,2
1570046400,1.00575,1.00575,1.00200,1.00200,1.00209,418.16875121,3
1570060800,1.00201,1.01214,1.00001,1.00310,1.00578,43670.33277362,296
1570075200,1.00310,1.00688,1.00284,1.00314,1.00410,1059.59999999,15
1570089600,1.00314,1.00653,1.00001,1.00606,1.00167,13247.00908370,34
1570104000,1.00606,1.00800,1.00606,1.00800,1.00719,309.73638493,4
1570118400,1.00800,1.01427,1.00163,1.00394,1.00678,12130.99923237,35
1570132800,1.00394,1.00781,1.00220,1.00378,1.00383,4045.17636769,9
1570147200,1.00378,1.00900,1.00378,1.00708,1.00818,3829.26249863,4
1570161600,1.00708,1.00708,1.00296,1.00346,1.00334,9763.54092884,14
1570176000,1.00796,1.00797,1.00396,1.00551,1.00752,1165.12298992,9
1570190400,1.00581,1.01395,1.00391,1.00803,1.00893,7517.07943289,22
1570204800,1.00815,1.01337,1.00815,1.00821,1.00873,995.34702938,25
1570219200,1.00821,1.01400,1.00443,1.01400,1.00923,931.44280360,11
1570233600,1.01400,1.01400,1.01400,1.01400,0.00000,0.00000000,0
1570248000,1.01400,1.01400,1.00572,1.00572,1.00618,101.15339243,2
