,GNOUSD,last
0,"[1561190400, '24.15', '24.15', '23.73', '24.01', '23.94', '5.24394200', 4]",1571529600
1,"[1561204800, '24.01', '24.01', '23.11', '23.64', '23.51', '88.73209843', 27]",1571529600
2,"[1561219200, '23.64', '23.64', '22.84', '23.50', '23.26', '137.43311417', 24]",1571529600
3,"[1561233600, '23.50', '23.50', '22.85', '23.22', '22.87', '130.00822233', 11]",1571529600
4,"[1561248000, '23.38', '23.39', '23.02', '23.23', '23.24', '67.12053952', 20]",1571529600
5,"[1561262400, '23.24', '23.28', '22.31', '23.04', '23.00', '81.22722267', 35]",1571529600
6,"[1561276800, '23.85', '23.85', '23.25', '23.27', '23.45', '60.55278825', 7]",1571529600
7,"[1561291200, '23.27', '23.44', '23.27', '23.43', '23.40', '51.24248053', 16]",1571529600
8,"[1561305600, '23.50', '23.98', '23.50', '23.98', '23.55', '264.29319148', 15]",1571529600
9,"[1561320000, '23.98', '23.98', '23.98', '23.98', '0.00', '0.00000000', 0]",1571529600
10,"[1561334400, '23.96', '23.96', '22.88', '23.50', '23.54', '11.57942253', 7]",1571529600
11,"[1561348800, '23.50', '23.50', '23.49', '23.49', '23.49', '0.04257130', 1]",1571529600
12,"[1561363200, '23.49', '23.49', '23.14', '23.41', '23.14', '26.12003774', 12]",1571529600
13,"[1561377600, '23.07', '23.07', '23.07', '23.07', '23.07', '0.11277231', 1]",1571529600
14,"[1561392000, '23.07', '23.50', '22.90', '22.90', '23.40', '26.87976520', 8]",1571529600
15,"[1561406400, '22.90', '22.94', '22.90', '22.94', '22.92', '0.25813212', 3]",1571529600
16,"[1561420800, '22.94', '23.29', '22.68', '22.98', '22.76', '44.52117508', 11]",1571529600
17,"[1561435200, '22.98', '23.23', '22.76', '22.76', '22.84', '34.66956893', 6]",1571529600
18,"[1561449600, '23.19', '23.19', '23.19', '23.19', '23.19', '1.00000000', 1]",1571529600
19,"[1561464000, '23.19', '23.19', '22.27', '22.82', '22.50', '60.69636099', 31]",1571529600
20,"[1561478400, '22.82', '22.98', '22.12', '22.46', '22.44', '64.22003853', 13]",1571529600
21,"[1561492800, '23.07', '23.07', '22.66', '22.66', '22.99', '16.35752177', 6]",1571529600
22,"[1561507200, '22.16', '23.11', '22.16', '23.11', '22.51', '42.47000625', 14]",1571529600
23,"[1561521600, '23.11', '23.31', '22.80', '22.80', '23.11', '95.28575501', 17]",1571529600
24,"[1561536000, '22.80', '22.80', '22.80', '22.80', '22.80', '1.60000001', 5]",1571529600
25,"[1561550400, '23.18', '23.19', '22.76', '22.80', '23.12', '47.38158193', 9]",1571529600
26,"[1561564800, '23.61', '23.92', '22.81', '23.92', '23.69', '134.04906828', 75]",1571529600
