,USDTZUSD,last
0,"[1561190400, '1.0010', '1.0015', '0.9999', '1.0005', '1.0008', '178937.48281538', 303]",1571529600
1,"[1561204800, '1.0005', '1.0027', '0.9941', '1.0004', '1.0011', '628138.75002718', 917]",1571529600
2,"[1561219200, '1.0008', '1.0026', '0.9953', '0.9980', '0.9991', '211884.78830742', 467]",1571529600
3,"[1561233600, '0.9980', '0.9984', '0.9950', '0.9950', '0.9961', '675956.70680100', 240]",1571529600
4,"[1561248000, '0.9950', '0.9980', '0.9922', '0.9955', '0.9943', '1969402.42987991', 726]",1571529600
5,"[1561262400, '0.9955', '0.9955', '0.9922', '0.9922', '0.9935', '229139.31040468', 387]",1571529600
6,"[1561276800, '0.9926', '0.9965', '0.9921', '0.9947', '0.9946', '170480.36707225', 476]",1571529600
7,"[1561291200, '0.9947', '0.9951', '0.9937', '0.9942', '0.9942', '58261.96052976', 224]",1571529600
8,"[1561305600, '0.9942', '0.9947', '0.9920', '0.9926', '0.9935', '97538.57575229', 238]",1571529600
9,"[1561320000, '0.9924', '0.9941', '0.9900', '0.9922', '0.9917', '620343.34412908', 708]",1571529600
10,"[1561334400, '0.9927', '0.9934', '0.9910', '0.9917', '0.9918', '236932.95278374', 501]",1571529600
11,"[1561348800, '0.9915', '0.9938', '0.9910', '0.9938', '0.9925', '78160.41519109', 220]",1571529600
12,"[1561363200, '0.9938', '0.9994', '0.9935', '0.9950', '0.9956', '110010.07533875', 265]",1571529600
13,"[1561377600, '0.9950', '1.0010', '0.9950', '1.0001', '0.9989', '214928.03300111', 286]",1571529600
14,"[1561392000, '1.0001', '1.0001', '0.9951', '0.9955', '0.9989', '700319.86027239', 828]",1571529600
15,"[1561406400, '0.9951', '0.9969', '0.9950', '0.9964', '0.9959', '228337.98012650', 211]",1571529600
16,"[1561420800, '0.9969', '0.9999', '0.9967', '0.9976', '0.9987', '99944.78104531', 330]",1571529600
17,"[1561435200, '0.9976', '0.9987', '0.9958', '0.9967', '0.9969', '352069.54328218', 297]",1571529600
