time,open,high,low,close,vwap,vol
1561377600,9.556,9.556,9.401,9.411,9.491,907.92798230,102
1561392000,9.411,9.647,9.411,9.543,9.531,6350.70883587,341
1561406400,9.563,9.647,9.473,9.628,9.584,1718.48202375,157
1561420800,9.640,9.676,9.480,9.499,9.588,2905.21431315,218
1561435200,9.500,9.604,9.487,9.543,9.561,6706.17563882,217
1561449600,9.550,9.600,9.507,9.535,9.548,1739.09573190,145
1561464000,9.535,9.541,9.449,9.540,9.506,4364.65115102,240
1561478400,9.514,9.584,9.421,9.457,9.519,4364.00806607,126
1561492800,9.457,9.599,9.448,9.598,9.498,3533.80631697,161
1561507200,9.543,9.920,9.469,9.820,9.665,3153.63286133,207
1561521600,9.885,9.933,9.603,9.619,9.720,8505.28224444,346
1561536000,9.625,9.835,9.586,9.810,9.780,7598.22098397,228
1561550400,9.810,10.133,9.788,9.959,9.992,55094.30951262,769
1561564800,9.922,9.960,9.830,9.878,9.941,13991.49328071,448
1561579200,9.860,9.960,9.001,9.340,9.420,22262.07913367,1080
1561593600,9.353,9.512,9.124,9.260,9.282,9526.32483480,321
1561608000,9.280,9.301,8.450,8.764,8.802,15044.53935758,802
1561622400,8.738,8.837,8.363,8.541,8.558,10584.62165489,748
1561636800,8.541,8.669,8.401,8.503,8.527,4287.55016745,343
1561651200,8.523,8.555,7.811,8.192,8.049,20277.60874207,943
1561665600,8.230,8.397,7.921,8.345,8.131,8784.85287607,345
1561680000,8.345,8.535,8.076,8.273,8.307,8252.07379780,388
1561694400,8.294,8.522,8.114,8.227,8.256,4688.27558937,209
1561708800,8.231,8.850,8.228,8.598,8.474,4284.94055965,217
1561723200,8.484,8.731,8.292,8.385,8.391,3068.48009508,192
1561737600,8.386,8.612,8.325,8.557,8.490,2687.83890799,184
1561752000,8.564,9.200,8.331,8.600,8.535,7752.66312597,608
1561766400,8.617,8.676,8.240,8.255,8.425,2699.48784144,266
1561780800,8.240,8.422,8.155,8.361,8.334,1988.13276077,158
1561795200,8.350,8.406,8.245,8.344,8.332,3180.73735526,106
1561809600,8.379,8.659,8.344,8.641,8.479,5843.71737738,235
1561824000,8.677,8.716,8.551,8.716,8.623,1704.38042180,112
1561838400,8.704,8.815,8.599,8.702,8.661,6002.01015855,316
1561852800,8.702,9.085,8.702,8.964,8.945,8277.61596209,273
1561867200,9.041,9.071,8.833,8.873,8.957,3912.92656194,204
1561881600,8.876,8.994,8.700,8.781,8.857,1918.12617366,128
1561896000,8.789,8.843,8.477,8.646,8.680,2185.54540255,194
1561910400,8.485,8.679,8.419,8.580,8.511,3327.84917637,197
1561924800,8.488,8.711,8.294,8.432,8.484,7606.32798226,371
1561939200,8.444,8.669,8.376,8.627,8.559,1492.69664900,139
1561953600,8.609,8.650,8.461,8.562,8.572,1376.79280123,64
1561968000,8.562,8.763,8.375,8.377,8.590,1995.04059930,155
1561982400,8.377,8.422,7.908,8.097,8.164,10859.84717354,449
1561996800,8.135,8.205,7.550,7.822,7.792,14767.68993591,406
1562011200,7.783,8.200,7.771,8.200,8.105,5629.54454717,313
1562025600,8.200,8.499,8.119,8.255,8.288,5757.56967182,200
1562040000,8.289,8.500,7.734,7.795,7.965,20368.43373203,547
1562054400,7.795,8.041,7.795,7.811,7.902,5006.88003406,170
1562068800,7.811,8.364,7.785,8.192,8.067,5214.63684209,217
1562083200,8.198,8.244,8.086,8.244,8.152,2081.78444573,118
1562097600,8.192,8.292,8.090,8.127,8.140,4405.34464414,148
1562112000,8.302,8.400,8.212,8.339,8.355,4930.95580370,282
1562126400,8.342,8.400,8.253,8.388,8.351,2691.99757562,171
1562140800,8.378,8.400,8.265,8.304,8.357,1458.61387395,95
1562155200,8.300,8.394,8.249,8.290,8.305,2439.32435581,174
1562169600,8.318,8.584,8.286,8.574,8.477,11455.33001643,364
1562184000,8.557,8.662,8.462,8.620,8.556,6613.08082384,288
1562198400,8.634,9.350,8.590,8.832,8.831,20656.21577926,527
1562212800,8.917,9.095,8.824,8.836,8.924,1852.13548799,112
1562227200,8.822,9.000,8.735,8.993,8.879,4445.75317490,215
1562241600,8.870,9.938,8.870,9.236,9.333,28435.33366344,1207
1562256000,9.277,9.340,9.168,9.259,9.236,1564.68635181,97
1562270400,9.294,9.294,8.750,8.862,9.013,9186.94169199,469
1562284800,8.849,9.299,8.849,9.046,9.092,2536.21345099,160
1562299200,9.030,9.199,8.836,8.900,8.985,2671.69439389,193
1562313600,8.901,9.670,8.890,9.310,9.247,7704.68372595,410
1562328000,9.310,9.388,9.120,9.120,9.233,3508.94542940,205
1562342400,9.167,9.245,9.132,9.163,9.192,667.60543809,76
1562356800,9.162,9.246,9.050,9.212,9.117,3012.96284760,199
1562371200,9.191,9.500,8.953,9.203,9.151,11778.80719600,395
1562385600,9.203,9.261,9.203,9.203,9.236,592.63311658,31
1562400000,9.203,9.259,9.200,9.201,9.211,1277.17259781,74
1562414400,9.201,9.305,9.201,9.237,9.236,1585.96198178,93
1562428800,9.237,9.347,9.181,9.235,9.243,1449.84631018,92
1562443200,9.252,9.253,8.930,8.931,9.068,4599.63599990,337
