,XLTCZUSD,last
0,"[1561190400, '140.28', '141.66', '140.01', '140.34', '140.74', '3267.28093468', 330]",1571529600
1,"[1561204800, '140.93', '145.63', '136.57', '140.55', '141.26', '23256.06977250', 1757]",1571529600
2,"[1561219200, '140.43', '144.50', '140.10', '141.96', '142.05', '7268.35953402', 815]",1571529600
3,"[1561233600, '142.27', '142.47', '139.32', '141.20', '140.85', '3542.01604055', 379]",1571529600
4,"[1561248000, '140.94', '142.03', '140.19', '141.03', '141.49', '1924.91115811', 365]",1571529600
5,"[1561262400, '141.00', '141.34', '139.93', '140.29', '140.87', '1082.76740554', 161]",1571529600
6,"[1561276800, '140.59', '140.59', '139.00', '139.33', '139.57', '1455.11100077', 253]",1571529600
7,"[1561291200, '139.56', '140.50', '139.20', '140.31', '139.99', '1714.74418371', 334]",1571529600
8,"[1561305600, '140.29', '140.50', '138.93', '139.62', '139.61', '3941.77003201', 1114]",1571529600
9,"[1561320000, '139.82', '140.35', '134.30', '136.18', '138.06', '9751.33240799', 1830]",1571529600
10,"[1561334400, '136.18', '136.23', '131.01', '134.24', '133.73', '8860.43508536', 813]",1571529600
11,"[1561348800, '134.25', '136.20', '134.00', '135.15', '135.29', '2265.16296516', 524]",1571529600
12,"[1561363200, '135.06', '136.06', '133.54', '134.40', '134.80', '2853.00366992', 270]",1571529600
13,"[1561377600, '134.52', '135.82', '134.48', '134.78', '135.04', '3286.34792956', 708]",1571529600
14,"[1561392000, '134.78', '135.74', '131.91', '133.02', '133.71', '5730.30237623', 775]",1571529600
15,"[1561406400, '133.14', '135.40', '132.52', '135.29', '134.17', '1581.58207964', 297]",1571529600
16,"[1561420800, '135.35', '136.84', '134.82', '135.50', '135.95', '2772.88882699', 287]",1571529600
17,"[1561435200, '135.57', '136.70', '134.50', '135.14', '135.40', '7439.37895903', 424]",1571529600
18,"[1561449600, '135.22', '135.90', '133.55', '134.11', '134.81', '3329.27391745', 280]",1571529600
19,"[1561464000, '134.11', '134.29', '128.22', '132.79', '131.61', '10596.60152011', 1061]",1571529600
20,"[1561478400, '132.79', '133.45', '131.14', '132.50', '132.13', '2020.69268967', 321]",1571529600
21,"[1561492800, '132.39', '138.37', '131.96', '135.62', '135.53', '4894.59643433', 610]",1571529600
22,"[1561507200, '135.60', '137.13', '133.69', '136.09', '135.46', '7039.31620440', 586]",1571529600
23,"[1561521600, '136.08', '136.31', '133.19', '133.71', '134.49', '14527.14767325', 1379]",1571529600
24,"[1561536000, '133.71', '136.30', '133.21', '136.30', '134.46', '7389.84514459', 651]",1571529600
25,"[1561550400, '136.50', '138.10', '135.20', '136.73', '136.90', '13436.66371611', 1151]",1571529600
26,"[1561564800, '136.72', '137.51', '134.88', '134.95', '135.83', '16289.70135336', 1710]",1571529600
27,"[1561579200, '134.96', '136.92', '125.06', '130.61', '130.19', '33235.85538304', 3521]",1571529600
28,"[1561593600, '130.57', '132.00', '127.49', '129.44', '129.48', '12319.28372139', 1103]",1571529600
29,"[1561608000, '129.45', '129.69', '115.00', '119.48', '120.40', '20796.50504171', 2155]",1571529600
30,"[1561622400, '119.71', '119.82', '111.08', '118.17', '115.14', '31955.42419030', 2726]",1571529600
31,"[1561636800, '118.21', '119.49', '112.00', '119.49', '116.09', '20280.56267399', 1759]",1571529600
32,"[1561651200, '119.52', '122.16', '112.42', '115.00', '115.52', '37029.66405794', 3035]",1571529600
33,"[1561665600, '114.90', '116.44', '106.93', '114.18', '112.70', '24601.71174694', 1893]",1571529600
34,"[1561680000, '114.17', '116.35', '112.55', '114.02', '114.46', '10165.64916915', 758]",1571529600
35,"[1561694400, '114.37', '115.97', '112.44', '113.92', '114.67', '8099.48602494', 598]",1571529600
36,"[1561708800, '113.97', '119.48', '113.97', '119.48', '117.30', '8124.34659557', 821]",1571529600
37,"[1561723200, '119.69', '119.69', '116.40', '118.79', '117.92', '6413.41642530', 533]",1571529600
38,"[1561737600, '118.88', '121.75', '117.29', '120.69', '119.63', '7052.56011463', 670]",1571529600
39,"[1561752000, '120.68', '120.69', '117.95', '119.66', '119.17', '5268.56628919', 664]",1571529600
40,"[1561766400, '119.32', '119.32', '114.70', '115.63', '116.74', '8002.61360974', 723]",1571529600
41,"[1561780800, '115.70', '117.03', '115.12', '116.87', '116.31', '3593.53488471', 279]",1571529600
42,"[1561795200, '116.81', '128.95', '115.97', '128.71', '124.15', '12919.71775033', 1045]",1571529600
43,"[1561809600, '128.36', '129.71', '124.90', '128.25', '126.99', '12397.31061974', 1311]",1571529600
44,"[1561824000, '128.35', '136.18', '126.53', '133.38', '132.80', '22886.44587744', 1920]",1571529600
45,"[1561838400, '133.32', '134.99', '131.22', '133.32', '133.66', '7930.52505276', 765]",1571529600
46,"[1561852800, '133.47', '134.62', '130.04', '131.62', '131.89', '4777.44071919', 500]",1571529600
47,"[1561867200, '131.62', '133.06', '126.14', '127.30', '128.99', '9583.31601184', 782]",1571529600
48,"[1561881600, '127.28', '136.67', '127.28', '131.30', '131.94', '20853.66747027', 1231]",1571529600
49,"[1561896000, '131.00', '133.61', '124.79', '132.38', '128.94', '11730.63586777', 1021]",1571529600
50,"[1561910400, '132.64', '132.78', '127.26', '128.84', '129.89', '12701.22295074', 869]",1571529600
51,"[1561924800, '129.15', '130.92', '119.66', '122.00', '124.96', '23016.96853461', 1642]",1571529600
52,"[1561939200, '122.34', '126.47', '120.74', '125.10', '124.09', '6134.45320463', 503]",1571529600
53,"[1561953600, '125.10', '125.29', '122.22', '123.39', '123.41', '6558.26552751', 489]",1571529600
