time,open,high,low,close,vwap,vol
1561377600,18.262,18.262,18.075,18.155,18.168,56.49975348,11
1561392000,18.155,18.299,18.088,18.120,18.187,211.79543626,21
1561406400,18.063,18.204,17.951,18.183,18.062,186.02000553,26
1561420800,18.183,18.183,17.948,18.026,17.982,198.00087793,30
1561435200,18.008,18.127,17.769,17.915,17.912,271.02444400,39
1561449600,17.915,18.079,17.803,17.830,17.839,435.02821901,24
1561464000,17.830,18.108,17.506,17.621,17.591,343.35750861,52
1561478400,17.621,17.768,17.423,17.537,17.575,85.86651231,18
1561492800,17.550,17.755,17.494,17.755,17.526,29.71470571,12
1561507200,17.755,17.859,17.626,17.859,17.804,200.56926175,18
1561521600,17.805,18.242,17.457,17.552,17.784,664.58600446,87
1561536000,17.539,17.883,17.430,17.784,17.629,81.61103348,21
1561550400,17.900,18.183,17.900,17.970,18.071,708.45754135,67
1561564800,17.970,18.231,17.452,17.655,18.010,809.26200980,102
1561579200,17.819,17.925,16.900,17.627,17.445,3214.85524324,247
1561593600,17.496,18.118,17.365,17.529,17.856,806.59193733,42
1561608000,17.699,17.744,16.993,17.131,17.304,398.22863257,51
1561622400,17.132,18.567,17.132,18.430,17.867,3538.51486289,304
1561636800,18.430,19.491,17.955,18.287,18.772,2154.51958800,269
1561651200,18.265,18.265,16.428,16.428,17.330,1606.93124551,181
1561665600,16.754,16.848,16.275,16.697,16.628,620.65276581,66
1561680000,16.924,17.121,16.214,16.214,16.727,120.97314027,23
1561694400,16.205,16.777,15.880,16.762,16.105,241.89661154,31
1561708800,16.869,17.043,16.647,16.772,16.834,214.94893057,46
1561723200,16.891,17.017,16.529,16.988,16.883,650.93916656,60
1561737600,16.961,17.276,16.800,17.190,17.062,361.51845120,42
1561752000,17.190,17.190,16.749,16.944,16.939,607.31194120,40
1561766400,16.948,16.950,16.089,16.104,16.638,823.67649350,95
1561780800,15.918,16.451,15.910,15.975,16.078,749.64187836,89
1561795200,15.927,16.158,15.910,16.088,16.002,258.20157315,39
1561809600,16.387,16.453,16.240,16.410,16.380,104.28262935,14
1561824000,16.255,16.915,16.255,16.749,16.741,151.17748903,26
1561838400,16.749,16.936,16.710,16.886,16.850,247.90755738,31
1561852800,16.913,17.132,16.898,16.991,17.095,1400.01437696,69
1561867200,16.909,16.909,16.537,16.764,16.622,280.07867900,34
1561881600,16.829,16.840,16.432,16.473,16.657,381.35604308,47
1561896000,16.437,16.538,15.648,15.765,16.078,901.84683893,101
1561910400,15.628,16.089,15.553,15.955,15.858,131.50291510,28
1561924800,15.910,16.049,15.842,16.049,15.922,233.73171779,25
1561939200,15.599,16.105,15.599,16.068,15.987,96.55660551,8
1561953600,16.003,16.020,15.838,15.838,15.916,172.36117833,10
1561968000,15.838,16.198,15.774,15.774,15.945,138.21793711,23
1561982400,15.774,15.812,14.871,15.309,15.378,432.29920203,69
1561996800,15.724,15.724,14.919,15.030,14.975,621.62312393,77
1562011200,15.350,15.439,14.876,15.079,15.037,4111.72435341,183
1562025600,15.079,15.354,14.709,14.950,15.030,2822.06546720,220
1562040000,14.951,14.951,14.323,14.444,14.401,624.57703055,69
1562054400,14.435,14.836,14.232,14.291,14.568,3316.84022910,138
1562068800,14.417,15.057,14.162,14.914,14.691,1996.29523281,126
1562083200,14.998,15.105,14.597,14.846,14.827,315.46222401,24
1562097600,14.846,14.970,14.650,14.860,14.773,413.03385727,28
1562112000,14.952,15.173,14.794,15.173,15.054,482.31028013,42
1562126400,15.097,15.201,14.927,15.076,15.067,544.98317906,58
1562140800,15.068,15.115,14.873,14.947,15.026,217.26985770,31
1562155200,14.992,15.314,14.771,14.904,14.905,241.57557265,30
1562169600,14.795,15.383,14.598,15.026,14.799,188.05075237,38
