,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high,std_low,std_open
0,5e-06,1561160959,5e-06,5e-06,5e-06,0.0,0.0,5e-06,0,0,0,0,1.0,1.0,1.0,1.0
1,5.01e-06,1561161600,5.36e-06,5e-06,5e-06,76473.73999568,0.39573382,5.17e-06,0,0,0,0,0.9347014925373134,1.0,0.9328358208955224,0.9328358208955224
2,4.86e-06,1561168800,5.08e-06,4.86e-06,5.08e-06,76268.11648844,0.3816765,5e-06,0,1,0,0,0.9566929133858268,1.0,0.9566929133858268,1.0
3,5.02e-06,1561176000,5.02e-06,4.86e-06,4.91e-06,7653.20162553,0.03729938,4.87e-06,1,0,0,0,1.0,1.0,0.9681274900398406,0.9780876494023903
4,5.02e-06,1561183200,5.02e-06,4.86e-06,5.02e-06,5171.82199546,0.02531991,4.89e-06,1,0,0,0,1.0,1.0,0.9681274900398406,1.0
5,5.03e-06,1561190400,5.04e-06,5.03e-06,5.03e-06,13214.2302418,0.06647362,5.03e-06,0,0,0,0,0.998015873015873,1.0,0.998015873015873,0.998015873015873
6,4.96e-06,1561197600,5.01e-06,4.96e-06,5.01e-06,488.74633708,0.00243444,4.98e-06,1,1,0,0,0.9900199600798403,1.0,0.9900199600798403,1.0
7,4.91e-06,1561204800,4.96e-06,4.91e-06,4.96e-06,1352.8826197,0.00669166,4.94e-06,1,1,0,0,0.9899193548387096,1.0,0.9899193548387096,1.0
8,5.05e-06,1561212000,5.05e-06,4.81e-06,4.94e-06,33530.3468261,0.16791188,5e-06,0,0,0,0,1.0,1.0,0.9524752475247524,0.9782178217821783
9,4.95e-06,1561219200,4.96e-06,4.81e-06,4.96e-06,1957.79461934,0.00959781,4.9e-06,1,1,0,0,0.997983870967742,1.0,0.969758064516129,1.0
10,4.84e-06,1561226400,4.96e-06,4.84e-06,4.96e-06,976.78746068,0.00477038,4.88e-06,1,1,0,0,0.9758064516129032,1.0,0.9758064516129032,1.0
11,4.81e-06,1561233600,5.1e-06,4.73e-06,4.89e-06,59266.08117773,0.28932944,4.88e-06,0,1,0,0,0.9431372549019607,1.0,0.9274509803921567,0.9588235294117646
12,4.85e-06,1561240800,4.86e-06,4.73e-06,4.81e-06,15994.35619556,0.07581922,4.74e-06,1,0,1,0,0.9979423868312758,1.0,0.9732510288065843,0.9897119341563785
13,4.87e-06,1561248000,4.87e-06,4.86e-06,4.86e-06,572.71326607,0.00278707,4.86e-06,1,0,1,0,1.0,1.0,0.997946611909651,0.997946611909651
14,4.75e-06,1561255200,4.92e-06,4.75e-06,4.81e-06,19984.31963332,0.09761683,4.88e-06,0,1,1,0,0.9654471544715447,1.0,0.9654471544715447,0.9776422764227641
15,4.79e-06,1561262400,4.81e-06,4.79e-06,4.81e-06,570.00511634,0.00273202,4.79e-06,1,1,1,0,0.9958419958419958,1.0,0.9958419958419958,1.0
16,4.86e-06,1561269600,4.86e-06,4.81e-06,4.81e-06,358.93694681,0.00173648,4.83e-06,1,0,1,0,1.0,1.0,0.9897119341563785,0.9897119341563785
17,4.9e-06,1561276800,4.92e-06,4.81e-06,4.81e-06,4983.90704877,0.02437058,4.88e-06,0,0,0,0,0.9959349593495934,1.0,0.9776422764227641,0.9776422764227641
18,4.93e-06,1561284000,4.93e-06,4.91e-06,4.91e-06,2337.53705657,0.01150807,4.92e-06,1,0,0,0,1.0,1.0,0.995943204868154,0.995943204868154
19,4.82e-06,1561291200,4.86e-06,4.82e-06,4.86e-06,2332.86198246,0.01125491,4.82e-06,1,1,1,0,0.9917695473251028,1.0,0.9917695473251028,1.0
20,4.81e-06,1561298400,4.82e-06,4.81e-06,4.82e-06,7096.1222518,0.0341853,4.81e-06,0,1,1,0,0.9979253112033195,1.0,0.9979253112033195,1.0
21,4.87e-06,1561305600,4.87e-06,4.81e-06,4.81e-06,5204.5614858,0.02531985,4.86e-06,0,0,0,0,1.0,1.0,0.9876796714579055,0.9876796714579055
22,4.89e-06,1561312800,4.89e-06,4.81e-06,4.89e-06,5605.30555851,0.02740556,4.88e-06,1,0,0,0,1.0,1.0,0.983640081799591,1.0
23,4.9e-06,1561320000,4.92e-06,4.81e-06,4.81e-06,846.30356847,0.00414583,4.89e-06,1,0,0,0,0.9959349593495934,1.0,0.9776422764227641,0.9776422764227641
24,4.87e-06,1561327200,4.91e-06,4.86e-06,4.86e-06,934.86651468,0.00456293,4.88e-06,1,1,0,0,0.9918533604887985,1.0,0.989816700610998,0.989816700610998
25,5e-06,1561334400,5e-06,4.88e-06,4.88e-06,10007.55432692,0.04980589,4.97e-06,0,0,0,0,1.0,1.0,0.9759999999999999,0.9759999999999999
26,4.71e-06,1561341600,5.1e-06,4.71e-06,5.02e-06,11178.59457886,0.05519129,4.93e-06,0,1,1,0,0.9235294117647058,1.0,0.9235294117647058,0.984313725490196
27,4.86e-06,1561348800,4.93e-06,4.8e-06,4.8e-06,6364.02285287,0.03064201,4.81e-06,1,0,1,0,0.9858012170385395,1.0,0.9736308316430019,0.9736308316430019
28,4.94e-06,1561356000,4.96e-06,4.93e-06,4.93e-06,285.80345378,0.00141002,4.93e-06,1,0,0,0,0.9959677419354839,1.0,0.9939516129032259,0.9939516129032259
29,4.86e-06,1561363200,4.86e-06,4.86e-06,4.86e-06,236.92737285,0.00115146,4.86e-06,1,1,1,0,1.0,1.0,1.0,1.0
30,4.62e-06,1561370400,4.86e-06,4.61e-06,4.86e-06,10231.57698451,0.04747977,4.64e-06,0,1,1,0,0.9506172839506173,1.0,0.948559670781893,1.0
31,4.71e-06,1561377600,4.8e-06,4.62e-06,4.62e-06,1745.06752598,0.00827071,4.73e-06,1,1,1,0,0.98125,1.0,0.9625,0.9625
32,4.62e-06,1561384800,4.72e-06,4.61e-06,4.66e-06,14539.44444722,0.0674038,4.63e-06,0,1,1,0,0.978813559322034,1.0,0.9766949152542374,0.9872881355932205
33,4.62e-06,1561392000,4.71e-06,4.62e-06,4.62e-06,5795.18127415,0.02677829,4.62e-06,1,1,1,1,0.9808917197452229,1.0,0.9808917197452229,0.9808917197452229
