,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high,std_low,std_open
0,5.53e-06,1561160959,5.53e-06,5.53e-06,5.53e-06,0.0,0.0,5.53e-06,0,0,0,0,1.0,1.0,1.0,1.0
1,5.31e-06,1561161600,5.56e-06,5.31e-06,5.54e-06,92022.1768582,0.49737171,5.4e-06,0,0,0,0,0.9550359712230215,1.0,0.9550359712230215,0.9964028776978417
2,5.27e-06,1561168800,5.36e-06,5.12e-06,5.32e-06,284221.91206811,1.50276456,5.28e-06,0,1,0,0,0.9832089552238806,1.0,0.9552238805970149,0.9925373134328357
3,5.22e-06,1561176000,5.32e-06,5.22e-06,5.27e-06,24040.68017916,0.12675993,5.27e-06,1,1,0,0,0.981203007518797,1.0,0.981203007518797,0.9906015037593986
4,5.2e-06,1561183200,5.25e-06,5.11e-06,5.23e-06,262762.26088389,1.36050131,5.17e-06,0,1,0,0,0.9904761904761906,1.0,0.9733333333333334,0.9961904761904762
5,5.02e-06,1561190400,5.21e-06,5.02e-06,5.21e-06,39760.44878528,0.20338933,5.11e-06,1,1,0,0,0.963531669865643,1.0,0.963531669865643,1.0
6,5.03e-06,1561197600,5.06e-06,4.99e-06,5.04e-06,172612.82930508,0.86393316,5e-06,0,1,0,0,0.9940711462450593,1.0,0.9861660079051383,0.9960474308300395
7,5.06e-06,1561204800,5.13e-06,4.81e-06,5.01e-06,294624.23054975,1.46079603,4.95e-06,0,0,0,0,0.98635477582846,1.0,0.9376218323586744,0.976608187134503
8,5.24e-06,1561212000,5.37e-06,5.06e-06,5.06e-06,216805.13028639,1.13234741,5.22e-06,1,0,0,0,0.9757914338919925,1.0,0.9422718808193667,0.9422718808193667
9,5.16e-06,1561219200,5.2e-06,5.1e-06,5.2e-06,113461.70537743,0.58503699,5.15e-06,1,0,0,0,0.9923076923076922,1.0,0.9807692307692308,1.0
10,5.21e-06,1561226400,5.34e-06,5.21e-06,5.22e-06,33466.73230832,0.17628176,5.26e-06,1,0,0,0,0.9756554307116105,1.0,0.9756554307116105,0.9775280898876405
11,5.21e-06,1561233600,5.25e-06,5.2e-06,5.22e-06,50284.09408029,0.26284835,5.22e-06,1,0,0,0,0.9923809523809525,1.0,0.9904761904761906,0.9942857142857143
12,5.17e-06,1561240800,5.24e-06,5.13e-06,5.24e-06,16276.79742529,0.08510223,5.22e-06,1,1,1,0,0.9866412213740458,1.0,0.9790076335877863,1.0
13,5.1e-06,1561248000,5.28e-06,5.1e-06,5.21e-06,65486.95216672,0.33733927,5.15e-06,0,1,1,0,0.9659090909090909,1.0,0.9659090909090909,0.9867424242424242
14,5.2e-06,1561255200,5.2e-06,5.13e-06,5.14e-06,10626.67232088,0.05464266,5.14e-06,1,0,0,0,1.0,1.0,0.9865384615384615,0.9884615384615384
15,5.21e-06,1561262400,5.21e-06,5.18e-06,5.18e-06,13267.62744642,0.06911458,5.2e-06,1,0,0,0,1.0,1.0,0.9942418426103647,0.9942418426103647
16,5.26e-06,1561269600,5.27e-06,5.21e-06,5.21e-06,12405.25035525,0.0651707,5.25e-06,0,0,0,0,0.9981024667931687,1.0,0.9886148007590132,0.9886148007590132
17,5.27e-06,1561276800,5.27e-06,5.23e-06,5.25e-06,30122.46383724,0.15817646,5.25e-06,0,0,0,0,1.0,1.0,0.9924098671726754,0.9962049335863377
18,5.32e-06,1561284000,5.41e-06,5.24e-06,5.27e-06,101082.29434738,0.5405414,5.34e-06,0,0,0,0,0.9833641404805915,1.0,0.9685767097966728,0.9741219963031424
19,5.33e-06,1561291200,5.38e-06,5.31e-06,5.31e-06,30512.96571221,0.16250419,5.32e-06,1,0,0,0,0.9907063197026021,1.0,0.9869888475836431,0.9869888475836431
20,5.38e-06,1561298400,5.47e-06,5.37e-06,5.37e-06,37637.27941323,0.20349775,5.4e-06,1,0,0,0,0.9835466179159049,1.0,0.9817184643510055,0.9817184643510055
21,5.36e-06,1561305600,5.41e-06,5.36e-06,5.41e-06,1024.19678349,0.00550363,5.37e-06,1,0,0,0,0.9907578558225509,1.0,0.9907578558225509,1.0
