,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high,std_low,std_open
0,0.00020002,1561160959,0.00020002,0.00020002,0.00020002,0.0,0.0,0.00020002,0,0,0,0,1.0,1.0,1.0,1.0
1,0.00020002,1561168159,0.00020002,0.00020002,0.00020002,0.0,0.0,0.00020002,0,0,0,0,1.0,1.0,1.0,1.0
2,0.00020002,1561168800,0.00020003,0.00020002,0.00020003,2.63846907,0.00052775,0.00020002,0,0,0,0,0.9999500074988752,1.0,0.9999500074988752,1.0
3,0.00020002,1561176000,0.00020002,0.00020002,0.00020002,0.0,0.0,0.00020002,1,0,0,0,1.0,1.0,1.0,1.0
4,0.00020002,1561183200,0.00020002,0.00020002,0.00020002,0.549945,0.00010999,0.00020002,1,0,0,0,1.0,1.0,1.0,1.0
5,0.00020416,1561190400,0.00020416,0.00020032,0.00020032,16.65935291,0.00339887,0.00020402,0,0,0,0,1.0,1.0,0.9811912225705329,0.9811912225705329
6,0.00018262,1561197600,0.00021084,0.0001826,0.00020416,308.48278079,0.06219622,0.00020161,0,1,0,0,0.8661544298994498,1.0,0.866059571238854,0.968317207361032
7,0.00018262,1561204800,0.00018262,0.00018262,0.00018262,0.0,0.0,0.00018262,1,1,0,0,1.0,1.0,1.0,1.0
8,0.0001903,1561212000,0.0001903,0.0001903,0.0001903,1.58557507,0.00030173,0.0001903,1,0,0,0,1.0,1.0,1.0,1.0
9,0.00020919,1561219200,0.00020919,0.00020919,0.00020919,2.39017162,0.0005,0.00020919,0,0,0,0,1.0,1.0,1.0,1.0
10,0.00025067,1561226400,0.00026219,0.00019041,0.00019041,942.17718691,0.21309043,0.00022616,0,0,0,0,0.9560623974979976,1.0,0.7262290705213776,0.7262290705213776
11,0.00022429,1561233600,0.00025064,0.00022429,0.00022477,137.8948502,0.03100982,0.00022488,1,1,0,0,0.8948691350143633,1.0,0.8948691350143633,0.8967842323651453
12,0.00022147,1561240800,0.00022429,0.00021083,0.00022429,65.53072101,0.01407368,0.00021476,1,1,0,0,0.9874269918409202,1.0,0.9399884078648179,1.0
13,0.00022534,1561248000,0.00022534,0.00022146,0.00022146,196.97121123,0.04369285,0.00022182,0,0,0,0,1.0,1.0,0.9827815745096299,0.9827815745096299
14,0.00024231,1561255200,0.00024231,0.00022534,0.00022534,42.43671763,0.01002038,0.00023612,1,0,0,0,1.0,1.0,0.9299657463579712,0.9299657463579712
15,0.00024231,1561262400,0.00024231,0.00024231,0.00024231,8.49059099,0.00205735,0.00024231,1,0,0,0,1.0,1.0,1.0,1.0
16,0.00026001,1561269600,0.00028153,0.00024231,0.00024231,646.82870331,0.17140521,0.00026499,0,0,0,0,0.9235605441693604,1.0,0.8606898021525238,0.8606898021525238
17,0.00026,1561276800,0.00029499,0.0002508,0.00027,1266.38492555,0.35926641,0.00028369,0,0,0,0,0.8813858096884639,1.0,0.85019831180718,0.9152852639072511
18,0.0002686,1561284000,0.00026861,0.00026203,0.00026203,177.67258264,0.04697936,0.00026441,1,0,0,0,0.9999627713041213,1.0,0.9755035181117605,0.9755035181117605
19,0.00026861,1561291200,0.00026861,0.0002686,0.0002686,111.3086334,0.02989754,0.0002686,1,0,0,0,1.0,1.0,0.9999627713041213,0.9999627713041213
20,0.00023438,1561298400,0.00026,0.00023,0.00026,496.6508205,0.11838008,0.00023835,0,1,1,0,0.9014615384615385,1.0,0.8846153846153847,1.0
21,0.00024491,1561305600,0.00025154,0.00023897,0.00023897,497.94222076,0.12147559,0.00024395,0,1,0,0,0.9736423630436509,1.0,0.9500278285759719,0.9500278285759719
22,0.00024429,1561312800,0.00024429,0.00024428,0.00024429,184.37640655,0.04504129,0.00024428,1,0,1,0,1.0,1.0,0.9999590650456425,1.0
23,0.00023042,1561320000,0.00024431,0.00023042,0.00024431,97.66351482,0.02288088,0.00023428,1,1,1,0,0.9431460030289386,1.0,0.9431460030289386,1.0
24,0.00024492,1561327200,0.00025154,0.00023,0.00023039,223.59224751,0.05339179,0.00023879,0,0,1,0,0.9736821181521824,1.0,0.9143674962232646,0.915917945455991
25,0.00025141,1561334400,0.00025498,0.00025132,0.00025132,348.60559967,0.08775004,0.00025171,0,0,0,0,0.9859989018746569,1.0,0.9856459330143542,0.9856459330143542
26,0.00025583,1561341600,0.00025583,0.00025544,0.00025544,0.8942742,0.00022858,0.00025561,1,0,0,0,1.0,1.0,0.9984755501700348,0.9984755501700348
27,0.00025086,1561348800,0.00025582,0.00025086,0.00025582,8.25904748,0.00211064,0.00025555,1,1,0,0,0.9806113673676805,1.0,0.9806113673676805,1.0
28,0.00025517,1561356000,0.00025517,0.00025515,0.00025515,34.03357866,0.00868398,0.00025515,0,0,0,0,1.0,1.0,0.9999216208801975,0.9999216208801975
29,0.00026173,1561363200,0.00026173,0.00025129,0.00025129,19.93833569,0.00513097,0.00025734,1,0,0,0,1.0,1.0,0.9601115653536086,0.9601115653536086
30,0.000262,1561370400,0.000262,0.000262,0.000262,37.05959291,0.00970961,0.000262,0,0,0,0,1.0,1.0,1.0,1.0
31,0.0002503,1561377600,0.000262,0.0002503,0.000262,50.37334372,0.01312871,0.00026062,0,1,1,0,0.9553435114503817,1.0,0.9553435114503817,1.0
32,0.000264,1561384800,0.000264,0.00025148,0.00025148,13.63375265,0.00343519,0.00025196,1,0,0,0,1.0,1.0,0.9525757575757575,0.9525757575757575
33,0.000264,1561392000,0.000264,0.000264,0.000264,6.47420455,0.00170919,0.000264,1,0,0,1,1.0,1.0,1.0,1.0
34,0.00026189,1561399200,0.000264,0.00025,0.00025084,509.27255162,0.12927755,0.00025384,0,1,0,1,0.9920075757575756,1.0,0.9469696969696969,0.9501515151515151
35,0.00026189,1561406400,0.00026189,0.00026189,0.00026189,39.0,0.01021371,0.00026189,1,1,0,1,1.0,1.0,1.0,1.0
36,0.00026189,1561413600,0.00026189,0.00026189,0.00026189,19.50298346,0.00510763,0.00026189,1,0,0,1,1.0,1.0,1.0,1.0
37,0.00025237,1561420800,0.00026189,0.00025237,0.00026189,31.69797752,0.00800874,0.00025265,0,1,1,1,0.9636488602084846,1.0,0.9636488602084846,1.0
38,0.00027413,1561428000,0.00027413,0.00026396,0.00026396,64.64864725,0.01718049,0.00026575,0,0,0,1,1.0,1.0,0.9629008134826542,0.9629008134826542
39,0.00026298,1561435200,0.00027488,0.0002605,0.00027488,1.60751354,0.00042611,0.00026507,1,1,0,1,0.956708381839348,1.0,0.9476862630966238,1.0
40,0.0002627,1561442400,0.0002627,0.0002627,0.0002627,0.5,0.00013135,0.0002627,1,1,0,1,1.0,1.0,1.0,1.0
41,0.0002658,1561449600,0.0002771,0.00026252,0.00026252,63.83848927,0.01713478,0.0002684,0,0,0,1,0.959220498015157,1.0,0.9473836160230962,0.9473836160230962
42,0.00026493,1561456800,0.00026493,0.00026244,0.00026244,80.02566562,0.02119824,0.00026489,0,0,0,1,1.0,1.0,0.990601290907032,0.990601290907032
43,0.00026827,1561464000,0.00026827,0.00026773,0.00026827,2.44536405,0.00065517,0.00026792,1,0,0,1,1.0,1.0,0.9979871025459426,1.0
44,0.00027709,1561471200,0.00027709,0.00026773,0.00026773,12.90166457,0.00346702,0.00026872,1,0,0,1,1.0,1.0,0.9662203616153595,0.9662203616153595
45,0.00026774,1561478400,0.00027709,0.00026774,0.00027709,11.00866832,0.00296821,0.00026962,0,1,0,1,0.966256450972608,1.0,0.966256450972608,1.0
46,0.00025483,1561485600,0.00027709,0.00025483,0.00026774,132.66423489,0.03510762,0.00026463,0,1,1,1,0.9196650907647335,1.0,0.9196650907647335,0.966256450972608
47,0.00026111,1561492800,0.00026159,0.00025483,0.00025483,136.24840134,0.03530371,0.00025911,0,1,1,1,0.9981650674719981,1.0,0.9741580335639741,0.9741580335639741
48,0.00024785,1561500000,0.00027847,0.00024775,0.00026111,518.51253248,0.13774296,0.00026565,0,1,1,1,0.8900420152978776,1.0,0.8896829101878119,0.9376593528925916
49,0.00024032,1561507200,0.00024976,0.000204,0.00024976,577.91930454,0.12335845,0.00021345,0,1,1,1,0.9622037155669442,1.0,0.8167841127482383,1.0
50,0.00021631,1561514400,0.00021631,0.00021631,0.00021631,6.99962957,0.00151408,0.00021631,1,1,1,1,1.0,1.0,1.0,1.0
51,0.00023,1561521600,0.00023,0.00020851,0.00021577,95.55309409,0.02034233,0.00021289,1,0,1,1,1.0,1.0,0.9065652173913042,0.9381304347826087
52,0.00022999,1561528800,0.00022999,0.00022999,0.00022999,0.48190019,0.00011083,0.00022999,1,0,1,1,1.0,1.0,1.0,1.0
53,0.00021558,1561536000,0.00023,0.000204,0.00022935,108.41891377,0.02395036,0.0002209,0,1,1,1,0.9373043478260868,1.0,0.8869565217391304,0.9971739130434782
54,0.00022797,1561543200,0.00022797,0.000204,0.00020401,144.19782029,0.02963841,0.00020553,0,0,1,1,1.0,1.0,0.8948545861297539,0.8948984515506426
