,close,high,low,open,startTime,time,volume
0,24.41,26.66,24.41,26.55,2020-04-11T21:00:00+00:00,1586638800000.0,2008.8117
1,24.36,25.22,24.08,24.41,2020-04-11T22:00:00+00:00,1586642400000.0,10571.8536
2,24.08,24.67,23.97,24.36,2020-04-11T23:00:00+00:00,1586646000000.0,245.4771
3,24.45,24.5,23.51,24.09,2020-04-12T00:00:00+00:00,1586649600000.0,721.8535
4,23.79,24.45,23.77,24.45,2020-04-12T01:00:00+00:00,1586653200000.0,4.802
5,25.05,25.05,23.79,23.79,2020-04-12T02:00:00+00:00,1586656800000.0,698.3934
6,25.43,25.43,24.95,25.05,2020-04-12T03:00:00+00:00,1586660400000.0,12321.7275
7,25.57,25.67,25.43,25.43,2020-04-12T04:00:00+00:00,1586664000000.0,12375.88
8,24.71,26.04,24.55,25.57,2020-04-12T05:00:00+00:00,1586667600000.0,1055.7543
9,25.35,25.49,24.67,24.71,2020-04-12T06:00:00+00:00,1586671200000.0,107.6781
10,25.78,25.8,25.35,25.35,2020-04-12T07:00:00+00:00,1586674800000.0,48.9839
11,24.96,25.78,24.95,25.78,2020-04-12T08:00:00+00:00,1586678400000.0,51.1475
12,24.95,24.96,24.95,24.96,2020-04-12T09:00:00+00:00,1586682000000.0,0.0
13,24.95,25.0,24.95,24.95,2020-04-12T10:00:00+00:00,1586685600000.0,0.0
14,24.64,24.99,23.99,24.95,2020-04-12T11:00:00+00:00,1586689200000.0,0.0
15,23.82,24.76,23.4,24.64,2020-04-12T12:00:00+00:00,1586692800000.0,980.1906
16,23.55,23.98,23.55,23.82,2020-04-12T13:00:00+00:00,1586696400000.0,433.1379
17,23.21,23.65,22.56,23.55,2020-04-12T14:00:00+00:00,1586700000000.0,200.6606
18,23.16,23.66,23.06,23.21,2020-04-12T15:00:00+00:00,1586703600000.0,1301.8233
19,20.84,23.16,20.84,23.16,2020-04-12T16:00:00+00:00,1586707200000.0,2338.1955
20,21.35,21.87,20.42,20.84,2020-04-12T17:00:00+00:00,1586710800000.0,580.6359
