,close,high,low,open,startTime,time,volume
0,37.36,39.14,36.38,36.46,2020-04-13T14:00:00+00:00,1586786400000.0,352.78627
1,38.03,38.87,37.08,37.36,2020-04-13T15:00:00+00:00,1586790000000.0,0.0
2,38.32,38.52,37.5,38.03,2020-04-13T16:00:00+00:00,1586793600000.0,76.64
3,38.32,38.6,38.32,38.32,2020-04-13T17:00:00+00:00,1586797200000.0,0.0
4,38.32,38.45,38.32,38.32,2020-04-13T18:00:00+00:00,1586800800000.0,0.0
5,39.23,39.62,38.32,38.32,2020-04-13T19:00:00+00:00,1586804400000.0,0.0
6,41.0,41.08,38.98,39.23,2020-04-13T20:00:00+00:00,1586808000000.0,451.0
7,40.51,41.67,40.4,41.0,2020-04-13T21:00:00+00:00,1586811600000.0,0.0
8,41.0,41.14,39.87,40.51,2020-04-13T22:00:00+00:00,1586815200000.0,0.0
9,41.12,41.12,40.66,41.0,2020-04-13T23:00:00+00:00,1586818800000.0,193.79856
10,41.51,41.72,41.1,41.12,2020-04-14T00:00:00+00:00,1586822400000.0,1150.94824
11,41.29,41.51,41.2,41.51,2020-04-14T01:00:00+00:00,1586826000000.0,41.2
12,41.68,41.98,41.2,41.29,2020-04-14T02:00:00+00:00,1586829600000.0,0.0
13,42.11,42.4,41.2,41.68,2020-04-14T03:00:00+00:00,1586833200000.0,0.0
14,42.95,43.65,42.11,42.11,2020-04-14T04:00:00+00:00,1586836800000.0,2.27635
15,42.24,43.01,42.24,42.95,2020-04-14T05:00:00+00:00,1586840400000.0,387.9744
16,41.96,42.24,41.8,42.24,2020-04-14T06:00:00+00:00,1586844000000.0,0.0
17,40.69,42.24,40.18,41.96,2020-04-14T07:00:00+00:00,1586847600000.0,0.0
18,40.08,40.99,39.33,40.69,2020-04-14T08:00:00+00:00,1586851200000.0,0.0
19,41.5,41.9,39.69,40.08,2020-04-14T09:00:00+00:00,1586854800000.0,0.0
20,41.48,42.93,41.09,41.5,2020-04-14T10:00:00+00:00,1586858400000.0,838.36205
21,42.58,42.93,41.3,41.48,2020-04-14T11:00:00+00:00,1586862000000.0,0.0
22,45.93,46.42,41.56,42.58,2020-04-14T12:00:00+00:00,1586865600000.0,719.66519
23,47.52,49.0,45.31,45.93,2020-04-14T13:00:00+00:00,1586869200000.0,19125.99682
24,46.0,48.74,45.66,47.52,2020-04-14T14:00:00+00:00,1586872800000.0,6880.75431
25,48.29,49.06,46.0,46.0,2020-04-14T15:00:00+00:00,1586876400000.0,17390.64175
26,49.06,50.55,47.89,48.29,2020-04-14T16:00:00+00:00,1586880000000.0,4372.40131
27,47.68,49.5,47.54,49.06,2020-04-14T17:00:00+00:00,1586883600000.0,6664.40066
28,47.66,48.62,47.66,47.68,2020-04-14T18:00:00+00:00,1586887200000.0,0.0
29,47.66,47.66,47.25,47.66,2020-04-14T19:00:00+00:00,1586890800000.0,0.0
30,47.07,47.66,46.8,47.66,2020-04-14T20:00:00+00:00,1586894400000.0,0.0
31,46.57,47.51,46.57,47.07,2020-04-14T21:00:00+00:00,1586898000000.0,382.56192
32,47.16,47.16,46.28,46.57,2020-04-14T22:00:00+00:00,1586901600000.0,0.0
33,46.65,47.16,46.23,47.16,2020-04-14T23:00:00+00:00,1586905200000.0,1257.44619
34,46.91,46.98,45.19,46.65,2020-04-15T00:00:00+00:00,1586908800000.0,0.0
35,48.91,48.91,46.72,46.91,2020-04-15T01:00:00+00:00,1586912400000.0,100.81269
36,49.71,50.05,48.53,48.91,2020-04-15T02:00:00+00:00,1586916000000.0,597.76513
37,49.95,50.47,48.94,49.71,2020-04-15T03:00:00+00:00,1586919600000.0,1659.96426
38,48.74,50.41,48.74,49.95,2020-04-15T04:00:00+00:00,1586923200000.0,147.75
39,49.5,49.6,47.93,48.74,2020-04-15T05:00:00+00:00,1586926800000.0,125.0973
40,48.44,49.7,48.42,49.5,2020-04-15T06:00:00+00:00,1586930400000.0,0.0
41,47.93,48.72,47.93,48.44,2020-04-15T07:00:00+00:00,1586934000000.0,0.0
42,46.45,48.38,46.18,47.93,2020-04-15T08:00:00+00:00,1586937600000.0,0.0
43,46.48,47.85,46.14,46.45,2020-04-15T09:00:00+00:00,1586941200000.0,780.85952
44,45.99,47.42,45.41,46.48,2020-04-15T10:00:00+00:00,1586944800000.0,970.29582
45,46.21,46.75,45.33,45.99,2020-04-15T11:00:00+00:00,1586948400000.0,186.94144
46,42.7,46.21,42.61,46.21,2020-04-15T12:00:00+00:00,1586952000000.0,1239.38636
47,44.14,44.85,42.7,42.7,2020-04-15T13:00:00+00:00,1586955600000.0,2017.98221
48,44.68,45.5,43.84,44.14,2020-04-15T14:00:00+00:00,1586959200000.0,0.0
49,43.52,44.79,43.52,44.68,2020-04-15T15:00:00+00:00,1586962800000.0,0.0
50,45.03,45.22,42.77,43.52,2020-04-15T16:00:00+00:00,1586966400000.0,1207.6088
51,45.72,45.98,44.92,45.03,2020-04-15T17:00:00+00:00,1586970000000.0,0.0
52,46.87,47.03,45.72,45.72,2020-04-15T18:00:00+00:00,1586973600000.0,1205.13
53,46.08,46.87,46.04,46.87,2020-04-15T19:00:00+00:00,1586977200000.0,0.0
54,46.72,46.94,45.9,46.08,2020-04-15T20:00:00+00:00,1586980800000.0,0.0
55,45.93,47.0,45.78,46.8,2020-04-15T21:00:00+00:00,1586984400000.0,0.0
