,close,high,low,open,startTime,time,volume
0,11.025,11.16,10.835,10.85,2020-04-12T08:00:00+00:00,1586678400000.0,120.1284
1,11.09,11.2,11.005,11.025,2020-04-12T09:00:00+00:00,1586682000000.0,1746.59425
2,10.92,11.19,10.895,11.09,2020-04-12T10:00:00+00:00,1586685600000.0,0.0
3,11.155,11.33,10.92,10.92,2020-04-12T11:00:00+00:00,1586689200000.0,5431.06815
4,11.5,11.625,11.155,11.155,2020-04-12T12:00:00+00:00,1586692800000.0,6402.58005
5,11.55,11.62,11.4,11.5,2020-04-12T13:00:00+00:00,1586696400000.0,2851.00565
6,11.805,11.95,11.49,11.56,2020-04-12T14:00:00+00:00,1586700000000.0,37790.321
7,12.16,12.16,11.735,11.805,2020-04-12T15:00:00+00:00,1586703600000.0,32056.96055
8,12.955,12.99,12.08,12.14,2020-04-12T16:00:00+00:00,1586707200000.0,11317.62595
9,12.425,13.135,12.325,12.89,2020-04-12T17:00:00+00:00,1586710800000.0,16838.9234
10,12.385,12.53,12.235,12.42,2020-04-12T18:00:00+00:00,1586714400000.0,1042.64525
11,12.535,12.605,12.35,12.385,2020-04-12T19:00:00+00:00,1586718000000.0,11384.7782
12,12.54,12.89,12.42,12.535,2020-04-12T20:00:00+00:00,1586721600000.0,2098.6611
13,12.48,12.6,12.355,12.54,2020-04-12T21:00:00+00:00,1586725200000.0,9241.8276
14,11.98,12.585,11.65,12.48,2020-04-12T22:00:00+00:00,1586728800000.0,8982.4651
15,11.385,12.0,11.37,11.98,2020-04-12T23:00:00+00:00,1586732400000.0,1612.57095
16,10.55,11.4,9.865,11.385,2020-04-13T00:00:00+00:00,1586736000000.0,11505.81005
17,10.275,10.55,10.18,10.55,2020-04-13T01:00:00+00:00,1586739600000.0,6981.551
18,10.39,10.44,10.12,10.275,2020-04-13T02:00:00+00:00,1586743200000.0,320.11
19,10.24,10.39,10.165,10.39,2020-04-13T03:00:00+00:00,1586746800000.0,252.1714
20,10.245,10.325,10.0,10.24,2020-04-13T04:00:00+00:00,1586750400000.0,3678.24445
21,10.235,10.315,10.165,10.245,2020-04-13T05:00:00+00:00,1586754000000.0,0.0
22,10.455,10.455,10.14,10.235,2020-04-13T06:00:00+00:00,1586757600000.0,277.9937
23,9.5275,10.455,9.3625,10.455,2020-04-13T07:00:00+00:00,1586761200000.0,3145.6836
24,9.53,9.615,9.16,9.5275,2020-04-13T08:00:00+00:00,1586764800000.0,5123.14935
25,9.3975,9.54,9.1975,9.53,2020-04-13T09:00:00+00:00,1586768400000.0,55085.654925
26,9.845,9.845,9.385,9.3975,2020-04-13T10:00:00+00:00,1586772000000.0,1599.925225
27,9.8825,10.1525,9.385,9.845,2020-04-13T11:00:00+00:00,1586775600000.0,64726.3754
28,9.405,9.8825,9.195,9.8825,2020-04-13T12:00:00+00:00,1586779200000.0,26590.04265
29,8.8525,9.49,8.8175,9.405,2020-04-13T13:00:00+00:00,1586782800000.0,23469.78375
30,9.225,9.6,8.8525,8.8525,2020-04-13T14:00:00+00:00,1586786400000.0,9188.799825
31,9.5275,9.675,9.2,9.225,2020-04-13T15:00:00+00:00,1586790000000.0,82334.1641
32,9.355,9.58,9.2175,9.5275,2020-04-13T16:00:00+00:00,1586793600000.0,2227.23515
33,9.3325,9.54,9.305,9.355,2020-04-13T17:00:00+00:00,1586797200000.0,4497.71955
34,9.3825,9.545,9.295,9.3325,2020-04-13T18:00:00+00:00,1586800800000.0,6226.091725
35,9.5825,9.725,9.3825,9.3825,2020-04-13T19:00:00+00:00,1586804400000.0,6150.081375
36,10.0825,10.0825,9.5725,9.5825,2020-04-13T20:00:00+00:00,1586808000000.0,1750.93015
37,9.85,10.3775,9.83,10.0825,2020-04-13T21:00:00+00:00,1586811600000.0,11709.904975
38,10.095,10.1625,9.7375,9.85,2020-04-13T22:00:00+00:00,1586815200000.0,6767.81175
39,9.975,10.2425,9.9,10.095,2020-04-13T23:00:00+00:00,1586818800000.0,61857.206475
40,10.15,10.3675,9.975,9.975,2020-04-14T00:00:00+00:00,1586822400000.0,4954.623725
41,10.1225,10.1625,9.995,10.15,2020-04-14T01:00:00+00:00,1586826000000.0,3537.76485
42,10.3225,10.435,10.1225,10.1225,2020-04-14T02:00:00+00:00,1586829600000.0,8898.217675
43,10.4775,10.55,10.2075,10.3225,2020-04-14T03:00:00+00:00,1586833200000.0,3016.8441
44,10.26,10.645,10.25,10.4775,2020-04-14T04:00:00+00:00,1586836800000.0,7158.91275
45,10.3675,10.42,10.145,10.26,2020-04-14T05:00:00+00:00,1586840400000.0,10131.874975
46,10.125,10.41,10.1125,10.3675,2020-04-14T06:00:00+00:00,1586844000000.0,898.827675
47,9.88,10.2875,9.815,10.125,2020-04-14T07:00:00+00:00,1586847600000.0,1184.726625
48,9.7825,9.9275,9.5875,9.88,2020-04-14T08:00:00+00:00,1586851200000.0,8375.6689
49,10.0575,10.135,9.6525,9.7825,2020-04-14T09:00:00+00:00,1586854800000.0,6923.501
50,9.9525,10.21,9.94,10.0575,2020-04-14T10:00:00+00:00,1586858400000.0,3578.06975
51,10.01,10.115,9.9,9.9525,2020-04-14T11:00:00+00:00,1586862000000.0,4085.1849
