,close,high,low,open,startTime,time,volume
0,28.97,29.22,28.48,28.48,2020-04-09T15:00:00+00:00,1586444400000.0,3.4764
1,28.97,29.16,28.97,28.97,2020-04-09T16:00:00+00:00,1586448000000.0,0.0
2,28.97,29.04,28.85,28.97,2020-04-09T17:00:00+00:00,1586451600000.0,0.0
3,29.7,29.96,28.97,28.97,2020-04-09T18:00:00+00:00,1586455200000.0,39.6495
4,29.37,29.83,29.33,29.7,2020-04-09T19:00:00+00:00,1586458800000.0,0.0
5,29.1,29.62,28.99,29.37,2020-04-09T20:00:00+00:00,1586462400000.0,0.0
6,28.94,29.38,28.94,29.1,2020-04-09T21:00:00+00:00,1586466000000.0,0.0
7,28.88,29.19,28.86,28.94,2020-04-09T22:00:00+00:00,1586469600000.0,0.0
8,28.91,29.3,28.84,28.88,2020-04-09T23:00:00+00:00,1586473200000.0,52.038
9,28.91,29.45,28.91,28.91,2020-04-10T00:00:00+00:00,1586476800000.0,0.0
10,29.0,29.17,28.87,28.91,2020-04-10T01:00:00+00:00,1586480400000.0,0.0
11,29.98,30.44,28.99,29.0,2020-04-10T02:00:00+00:00,1586484000000.0,2252.0124
12,32.34,32.4,29.95,29.98,2020-04-10T03:00:00+00:00,1586487600000.0,5635.1526
13,32.13,33.17,31.84,32.34,2020-04-10T04:00:00+00:00,1586491200000.0,3606.933
14,34.29,34.77,32.13,32.13,2020-04-10T05:00:00+00:00,1586494800000.0,2719.3428
15,34.2,34.33,33.71,34.29,2020-04-10T06:00:00+00:00,1586498400000.0,345.5424
16,35.02,35.63,34.2,34.2,2020-04-10T07:00:00+00:00,1586502000000.0,2894.604
17,35.1,35.99,34.93,35.02,2020-04-10T08:00:00+00:00,1586505600000.0,1519.776
18,35.4,35.96,34.98,35.1,2020-04-10T09:00:00+00:00,1586509200000.0,1626.7895
19,34.64,35.68,34.58,35.4,2020-04-10T10:00:00+00:00,1586512800000.0,1027.1624
20,35.28,35.28,34.64,34.64,2020-04-10T11:00:00+00:00,1586516400000.0,0.0
21,34.98,35.54,34.79,35.28,2020-04-10T12:00:00+00:00,1586520000000.0,0.0
22,35.58,36.24,34.97,34.98,2020-04-10T13:00:00+00:00,1586523600000.0,282.594
23,36.35,36.5,35.41,35.58,2020-04-10T14:00:00+00:00,1586527200000.0,8340.25
24,37.57,37.87,36.03,36.35,2020-04-10T15:00:00+00:00,1586530800000.0,204.3526
