,close,high,low,open,startTime,time,volume
0,3.088,3.2365,3.019,3.114,2020-04-08T12:00:00+00:00,1586347200000.0,41003.80685
1,2.873,3.12,2.8635,3.09,2020-04-08T13:00:00+00:00,1586350800000.0,39181.9985
2,3.0,3.0,2.873,2.873,2020-04-08T14:00:00+00:00,1586354400000.0,11018.0434
3,3.12,3.12,3.001,3.002,2020-04-08T15:00:00+00:00,1586358000000.0,18399.44865
4,3.334,3.435,3.0795,3.12,2020-04-08T16:00:00+00:00,1586361600000.0,67268.571
5,3.3075,3.3395,3.267,3.334,2020-04-08T17:00:00+00:00,1586365200000.0,4252.15495
6,3.298,3.38,3.27,3.306,2020-04-08T18:00:00+00:00,1586368800000.0,8530.44115
7,3.306,3.334,3.1885,3.298,2020-04-08T19:00:00+00:00,1586372400000.0,8164.11215
8,3.302,3.382,3.292,3.3095,2020-04-08T20:00:00+00:00,1586376000000.0,3935.58335
9,3.2745,3.3305,3.2675,3.3005,2020-04-08T21:00:00+00:00,1586379600000.0,2428.44985
10,3.4,3.4205,3.234,3.2745,2020-04-08T22:00:00+00:00,1586383200000.0,10797.6699
11,3.382,3.4125,3.354,3.395,2020-04-08T23:00:00+00:00,1586386800000.0,7784.0762
12,3.688,3.812,3.323,3.382,2020-04-09T00:00:00+00:00,1586390400000.0,57877.63664
13,3.57,3.753,3.486,3.688,2020-04-09T01:00:00+00:00,1586394000000.0,26633.91726
14,3.61,3.629,3.523,3.57,2020-04-09T02:00:00+00:00,1586397600000.0,4325.64001
15,3.351,3.61,3.307,3.61,2020-04-09T03:00:00+00:00,1586401200000.0,9528.24301
16,3.362,3.373,3.138,3.351,2020-04-09T04:00:00+00:00,1586404800000.0,8808.32288
17,3.4,3.416,3.296,3.362,2020-04-09T05:00:00+00:00,1586408400000.0,562.50532
18,3.501,3.522,3.384,3.4,2020-04-09T06:00:00+00:00,1586412000000.0,18846.65486
19,3.444,3.507,3.323,3.504,2020-04-09T07:00:00+00:00,1586415600000.0,10954.67243
20,3.386,3.474,3.346,3.445,2020-04-09T08:00:00+00:00,1586419200000.0,25107.25883
21,3.245,3.386,3.245,3.386,2020-04-09T09:00:00+00:00,1586422800000.0,5513.63314
22,3.342,3.365,3.226,3.245,2020-04-09T10:00:00+00:00,1586426400000.0,6996.52038
23,3.141,3.459,3.067,3.342,2020-04-09T11:00:00+00:00,1586430000000.0,39962.25592
24,3.312,3.325,2.896,3.148,2020-04-09T12:00:00+00:00,1586433600000.0,54347.09326
25,3.283,3.35,3.267,3.317,2020-04-09T13:00:00+00:00,1586437200000.0,18687.01795
26,3.291,3.309,3.145,3.274,2020-04-09T14:00:00+00:00,1586440800000.0,17295.25277
27,3.21,3.309,3.15,3.291,2020-04-09T15:00:00+00:00,1586444400000.0,9382.04397
28,3.228,3.32,3.186,3.21,2020-04-09T16:00:00+00:00,1586448000000.0,20840.92023
29,3.192,3.28,3.177,3.229,2020-04-09T17:00:00+00:00,1586451600000.0,5367.16686
30,3.135,3.2,3.085,3.192,2020-04-09T18:00:00+00:00,1586455200000.0,18746.88357
31,3.118,3.192,3.102,3.137,2020-04-09T19:00:00+00:00,1586458800000.0,8325.41423
32,3.199,3.201,3.074,3.118,2020-04-09T20:00:00+00:00,1586462400000.0,7602.7287
33,3.35,3.357,3.143,3.199,2020-04-09T21:00:00+00:00,1586466000000.0,8283.0698
34,3.276,3.35,3.236,3.35,2020-04-09T22:00:00+00:00,1586469600000.0,2593.2895
35,3.14,3.276,3.14,3.276,2020-04-09T23:00:00+00:00,1586473200000.0,16422.95844
36,3.161,3.187,3.059,3.14,2020-04-10T00:00:00+00:00,1586476800000.0,19714.8034
37,3.0,3.166,2.968,3.161,2020-04-10T01:00:00+00:00,1586480400000.0,26584.7572
38,2.777,3.0,2.624,3.0,2020-04-10T02:00:00+00:00,1586484000000.0,67834.2449
39,2.526,2.817,2.434,2.771,2020-04-10T03:00:00+00:00,1586487600000.0,95464.4429
40,2.621,2.676,2.342,2.526,2020-04-10T04:00:00+00:00,1586491200000.0,89885.0175
41,2.366,2.621,2.307,2.621,2020-04-10T05:00:00+00:00,1586494800000.0,113501.8163
42,2.393,2.473,2.31,2.366,2020-04-10T06:00:00+00:00,1586498400000.0,178434.8051
43,2.1,2.393,2.03,2.393,2020-04-10T07:00:00+00:00,1586502000000.0,73799.9954
44,2.133,2.188,2.0255,2.1,2020-04-10T08:00:00+00:00,1586505600000.0,33422.174
