,close,high,low,open,startTime,time,volume
0,29.21,29.8,29.21,29.8,2020-04-12T03:00:00+00:00,1586660400000.0,18.1102
1,29.21,29.21,29.21,29.21,2020-04-12T04:00:00+00:00,1586664000000.0,0.0
2,29.21,29.21,29.21,29.21,2020-04-12T05:00:00+00:00,1586667600000.0,0.0
3,29.21,29.21,29.19,29.21,2020-04-12T06:00:00+00:00,1586671200000.0,0.0
4,29.1,29.21,29.1,29.21,2020-04-12T07:00:00+00:00,1586674800000.0,0.0
5,29.21,29.21,29.03,29.1,2020-04-12T08:00:00+00:00,1586678400000.0,0.0
6,29.2,29.21,29.01,29.21,2020-04-12T09:00:00+00:00,1586682000000.0,0.0
7,29.13,29.2,29.06,29.2,2020-04-12T10:00:00+00:00,1586685600000.0,0.0
8,29.08,29.2,29.05,29.13,2020-04-12T11:00:00+00:00,1586689200000.0,0.0
9,29.73,30.01,29.08,29.08,2020-04-12T12:00:00+00:00,1586692800000.0,483.6626
10,29.92,30.01,29.69,29.77,2020-04-12T13:00:00+00:00,1586696400000.0,0.0
11,30.01,30.01,29.42,29.92,2020-04-12T14:00:00+00:00,1586700000000.0,0.0
12,30.01,30.02,29.82,30.01,2020-04-12T15:00:00+00:00,1586703600000.0,0.0
13,31.17,31.18,30.01,30.01,2020-04-12T16:00:00+00:00,1586707200000.0,0.0
14,30.93,31.35,30.4,31.17,2020-04-12T17:00:00+00:00,1586710800000.0,10.032
15,31.15,31.15,30.71,30.93,2020-04-12T18:00:00+00:00,1586714400000.0,86.2923
16,31.15,31.15,31.02,31.15,2020-04-12T19:00:00+00:00,1586718000000.0,0.0
17,30.85,31.15,30.79,31.15,2020-04-12T20:00:00+00:00,1586721600000.0,0.0
18,30.35,30.97,30.13,30.85,2020-04-12T21:00:00+00:00,1586725200000.0,9.6416
19,29.75,30.5,29.32,30.35,2020-04-12T22:00:00+00:00,1586728800000.0,0.0
20,28.5,30.13,28.27,29.75,2020-04-12T23:00:00+00:00,1586732400000.0,0.0
21,26.92,29.01,24.18,28.5,2020-04-13T00:00:00+00:00,1586736000000.0,0.0
22,22.145,28.65,17.88,26.92,2020-04-13T01:00:00+00:00,1586739600000.0,151.0021
23,19.305,22.145,18.7,22.145,2020-04-13T02:00:00+00:00,1586743200000.0,2949.2632
24,18.36,19.5,15.57,19.305,2020-04-13T03:00:00+00:00,1586746800000.0,8522.0385
25,20.6,21.0,17.105,18.36,2020-04-13T04:00:00+00:00,1586750400000.0,3070.54505
26,20.0,20.6,18.445,20.6,2020-04-13T05:00:00+00:00,1586754000000.0,196.5332
