,close,high,low,open,startTime,time,volume
0,6.6825,6.7975,6.6425,6.76,2020-04-09T16:00:00+00:00,1586448000000.0,1158.885475
1,6.7225,6.7525,6.6525,6.6825,2020-04-09T17:00:00+00:00,1586451600000.0,3012.009725
2,6.5875,6.7225,6.5325,6.7225,2020-04-09T18:00:00+00:00,1586455200000.0,8247.586225
3,6.6375,6.6675,6.5725,6.5875,2020-04-09T19:00:00+00:00,1586458800000.0,2347.98715
4,6.75,6.79,6.6125,6.6375,2020-04-09T20:00:00+00:00,1586462400000.0,201.148925
5,6.8475,6.8525,6.6325,6.76,2020-04-09T21:00:00+00:00,1586466000000.0,843.307375
6,6.9175,6.9425,6.8075,6.8475,2020-04-09T22:00:00+00:00,1586469600000.0,58818.843825
7,6.7625,6.945,6.7625,6.9175,2020-04-09T23:00:00+00:00,1586473200000.0,7480.816525
8,6.86,6.915,6.7175,6.7625,2020-04-10T00:00:00+00:00,1586476800000.0,4470.190425
9,6.765,6.8725,6.75,6.86,2020-04-10T01:00:00+00:00,1586480400000.0,8291.542575
10,6.705,6.775,6.545,6.765,2020-04-10T02:00:00+00:00,1586484000000.0,1604.08005
11,6.3275,6.745,6.2525,6.705,2020-04-10T03:00:00+00:00,1586487600000.0,16244.834525
12,5.8975,6.325,5.45,6.325,2020-04-10T04:00:00+00:00,1586491200000.0,72339.4547
13,5.495,5.8975,5.41,5.8975,2020-04-10T05:00:00+00:00,1586494800000.0,26511.26205
14,5.565,5.6225,5.4,5.495,2020-04-10T06:00:00+00:00,1586498400000.0,8749.11365
15,5.345,5.565,5.225,5.565,2020-04-10T07:00:00+00:00,1586502000000.0,16203.4109
16,5.2575,5.395,5.0,5.34,2020-04-10T08:00:00+00:00,1586505600000.0,16217.11035
17,5.135,5.295,4.96,5.2575,2020-04-10T09:00:00+00:00,1586509200000.0,16284.114175
18,5.2675,5.285,4.995,5.135,2020-04-10T10:00:00+00:00,1586512800000.0,55021.96585
19,5.0625,5.2725,4.99,5.2675,2020-04-10T11:00:00+00:00,1586516400000.0,26642.313025
20,5.1675,5.195,5.0175,5.0625,2020-04-10T12:00:00+00:00,1586520000000.0,7710.39
21,5.0925,5.175,4.82,5.1675,2020-04-10T13:00:00+00:00,1586523600000.0,10727.691125
22,5.02,5.1325,4.935,5.0925,2020-04-10T14:00:00+00:00,1586527200000.0,4601.96305
23,4.54,5.05,4.5325,5.02,2020-04-10T15:00:00+00:00,1586530800000.0,26964.835
24,4.829,4.829,4.432,4.54,2020-04-10T16:00:00+00:00,1586534400000.0,26573.1708
25,4.827,4.927,4.76,4.823,2020-04-10T17:00:00+00:00,1586538000000.0,24639.5744
26,4.876,4.886,4.728,4.827,2020-04-10T18:00:00+00:00,1586541600000.0,5914.24573
27,4.979,5.021,4.874,4.874,2020-04-10T19:00:00+00:00,1586545200000.0,14617.88842
28,5.021,5.021,4.933,4.975,2020-04-10T20:00:00+00:00,1586548800000.0,399.57437
29,4.937,5.088,4.937,5.027,2020-04-10T21:00:00+00:00,1586552400000.0,2622.0795
30,4.885,5.006,4.835,4.937,2020-04-10T22:00:00+00:00,1586556000000.0,842.11602
31,4.905,4.929,4.824,4.885,2020-04-10T23:00:00+00:00,1586559600000.0,488.91
32,5.006,5.036,4.869,4.905,2020-04-11T00:00:00+00:00,1586563200000.0,10082.95443
