,close,high,low,open,startTime,time,volume
0,160.1,161.15,157.65,158.15,2020-04-08T07:00:00+00:00,1586329200000.0,300.75175
1,157.7,160.55,154.65,160.2,2020-04-08T08:00:00+00:00,1586332800000.0,78.2192
2,159.15,160.0,155.05,157.7,2020-04-08T09:00:00+00:00,1586336400000.0,246.72
3,149.1,160.8,146.25,159.15,2020-04-08T10:00:00+00:00,1586340000000.0,9.9634
4,151.85,152.55,146.9,149.2,2020-04-08T11:00:00+00:00,1586343600000.0,0.0
5,151.7,155.1,149.4,151.75,2020-04-08T12:00:00+00:00,1586347200000.0,160.37725
6,147.55,153.55,147.2,151.7,2020-04-08T13:00:00+00:00,1586350800000.0,0.0
7,152.05,152.05,146.05,147.6,2020-04-08T14:00:00+00:00,1586354400000.0,147.76805
8,161.6,166.15,151.95,152.05,2020-04-08T15:00:00+00:00,1586358000000.0,1967.73635
9,163.0,165.0,158.65,161.5,2020-04-08T16:00:00+00:00,1586361600000.0,404.6412
10,162.3,168.45,161.45,163.1,2020-04-08T17:00:00+00:00,1586365200000.0,2017.2
11,162.4,164.0,161.2,162.3,2020-04-08T18:00:00+00:00,1586368800000.0,0.0
12,160.1,163.1,155.45,162.4,2020-04-08T19:00:00+00:00,1586372400000.0,996.73945
13,163.65,164.75,160.1,160.1,2020-04-08T20:00:00+00:00,1586376000000.0,0.0
14,165.2,165.9,163.65,163.65,2020-04-08T21:00:00+00:00,1586379600000.0,0.0
15,168.5,168.9,164.3,165.2,2020-04-08T22:00:00+00:00,1586383200000.0,3219.0576
16,165.65,168.6,164.05,168.5,2020-04-08T23:00:00+00:00,1586386800000.0,760.2077
17,170.0,173.75,164.05,165.65,2020-04-09T00:00:00+00:00,1586390400000.0,0.0
18,167.1,171.25,165.1,170.0,2020-04-09T01:00:00+00:00,1586394000000.0,25.51625
19,167.0,169.75,165.8,167.1,2020-04-09T02:00:00+00:00,1586397600000.0,7042.10985
20,159.45,167.1,159.15,166.9,2020-04-09T03:00:00+00:00,1586401200000.0,21444.64445
21,158.1,160.55,154.15,159.45,2020-04-09T04:00:00+00:00,1586404800000.0,0.0
22,160.45,160.55,157.45,158.1,2020-04-09T05:00:00+00:00,1586408400000.0,0.0
23,161.45,162.25,159.4,160.45,2020-04-09T06:00:00+00:00,1586412000000.0,6619.88185
24,162.85,163.25,160.25,161.45,2020-04-09T07:00:00+00:00,1586415600000.0,210.4058
25,165.65,166.7,162.8,163.05,2020-04-09T08:00:00+00:00,1586419200000.0,0.0
26,160.85,165.65,160.85,165.65,2020-04-09T09:00:00+00:00,1586422800000.0,1663.2265
27,161.25,162.85,160.15,160.85,2020-04-09T10:00:00+00:00,1586426400000.0,1917.6658
28,149.0,162.85,147.65,161.3,2020-04-09T11:00:00+00:00,1586430000000.0,0.0
29,157.65,157.65,143.6,148.85,2020-04-09T12:00:00+00:00,1586433600000.0,3604.04215
30,158.35,159.55,155.2,158.25,2020-04-09T13:00:00+00:00,1586437200000.0,0.0
31,160.25,161.4,155.05,158.35,2020-04-09T14:00:00+00:00,1586440800000.0,1850.1766
32,156.8,160.5,156.45,160.25,2020-04-09T15:00:00+00:00,1586444400000.0,895.5198
33,166.85,172.75,156.45,156.8,2020-04-09T16:00:00+00:00,1586448000000.0,2053.8606
34,166.3,169.7,165.2,166.85,2020-04-09T17:00:00+00:00,1586451600000.0,258.0116
35,162.8,168.1,162.45,166.45,2020-04-09T18:00:00+00:00,1586455200000.0,6414.21865
36,163.45,164.05,161.75,163.0,2020-04-09T19:00:00+00:00,1586458800000.0,871.67075
37,166.65,166.65,161.75,163.65,2020-04-09T20:00:00+00:00,1586462400000.0,845.74875
38,170.45,170.45,164.65,166.65,2020-04-09T21:00:00+00:00,1586466000000.0,3370.11645
39,179.8,179.85,170.05,170.45,2020-04-09T22:00:00+00:00,1586469600000.0,3065.6561
40,172.95,179.85,172.85,179.8,2020-04-09T23:00:00+00:00,1586473200000.0,595.3561
41,174.0,174.0,169.65,172.85,2020-04-10T00:00:00+00:00,1586476800000.0,2498.44075
42,169.25,174.0,168.5,174.0,2020-04-10T01:00:00+00:00,1586480400000.0,0.0
43,165.5,169.35,158.15,169.25,2020-04-10T02:00:00+00:00,1586484000000.0,415.8259
44,157.65,166.5,156.6,165.5,2020-04-10T03:00:00+00:00,1586487600000.0,91.798
45,155.35,157.65,149.85,157.65,2020-04-10T04:00:00+00:00,1586491200000.0,1539.976
46,136.05,155.35,131.1,155.35,2020-04-10T05:00:00+00:00,1586494800000.0,2795.29715
47,133.2,137.15,133.2,136.05,2020-04-10T06:00:00+00:00,1586498400000.0,164.04
48,126.0,133.6,120.25,133.2,2020-04-10T07:00:00+00:00,1586502000000.0,979.77935
49,127.3,129.0,120.35,126.0,2020-04-10T08:00:00+00:00,1586505600000.0,3520.78285
50,118.7,127.3,110.5,127.3,2020-04-10T09:00:00+00:00,1586509200000.0,736.4552
51,120.6,121.7,116.9,118.85,2020-04-10T10:00:00+00:00,1586512800000.0,245.7098
52,116.1,120.6,116.05,120.6,2020-04-10T11:00:00+00:00,1586516400000.0,88.8326
53,117.5,118.4,115.05,116.05,2020-04-10T12:00:00+00:00,1586520000000.0,0.0
54,115.35,117.5,111.2,117.5,2020-04-10T13:00:00+00:00,1586523600000.0,1782.0139
55,113.8,116.85,112.8,115.35,2020-04-10T14:00:00+00:00,1586527200000.0,260.0844
56,105.0,114.2,104.2,113.8,2020-04-10T15:00:00+00:00,1586530800000.0,1497.0595
57,114.8,114.8,103.65,105.0,2020-04-10T16:00:00+00:00,1586534400000.0,191.954
58,114.1,115.7,112.4,114.3,2020-04-10T17:00:00+00:00,1586538000000.0,26.73925
59,114.35,114.95,111.75,114.1,2020-04-10T18:00:00+00:00,1586541600000.0,0.0
60,115.35,116.7,113.75,114.35,2020-04-10T19:00:00+00:00,1586545200000.0,0.0
61,116.15,116.55,114.55,115.15,2020-04-10T20:00:00+00:00,1586548800000.0,0.0
62,115.4,118.65,115.05,116.3,2020-04-10T21:00:00+00:00,1586552400000.0,237.1
63,115.3,117.45,113.65,115.4,2020-04-10T22:00:00+00:00,1586556000000.0,0.0
64,116.1,116.4,113.45,115.3,2020-04-10T23:00:00+00:00,1586559600000.0,0.0
65,116.75,117.65,114.65,116.2,2020-04-11T00:00:00+00:00,1586563200000.0,2313.00385
66,118.85,119.05,116.1,116.65,2020-04-11T01:00:00+00:00,1586566800000.0,8993.94065
67,118.35,119.65,117.4,118.85,2020-04-11T02:00:00+00:00,1586570400000.0,0.0
68,118.7,120.2,117.3,118.35,2020-04-11T03:00:00+00:00,1586574000000.0,0.0
69,121.6,122.65,118.7,118.7,2020-04-11T04:00:00+00:00,1586577600000.0,463.3786
70,123.1,123.25,121.4,121.6,2020-04-11T05:00:00+00:00,1586581200000.0,2686.5181
71,125.0,125.5,122.2,123.1,2020-04-11T06:00:00+00:00,1586584800000.0,1881.37525
72,120.95,125.35,119.35,125.0,2020-04-11T07:00:00+00:00,1586588400000.0,0.0
73,121.65,122.9,120.15,120.95,2020-04-11T08:00:00+00:00,1586592000000.0,783.1377
74,119.6,121.8,117.35,121.65,2020-04-11T09:00:00+00:00,1586595600000.0,9.75645
75,116.6,120.45,116.25,119.4,2020-04-11T10:00:00+00:00,1586599200000.0,0.0
76,120.4,120.45,116.35,116.6,2020-04-11T11:00:00+00:00,1586602800000.0,0.0
77,119.25,120.45,117.9,120.4,2020-04-11T12:00:00+00:00,1586606400000.0,0.0
78,116.9,119.8,116.3,119.35,2020-04-11T13:00:00+00:00,1586610000000.0,22.9908
79,112.5,116.9,112.35,116.9,2020-04-11T14:00:00+00:00,1586613600000.0,201.6872
80,115.8,116.55,112.15,112.4,2020-04-11T15:00:00+00:00,1586617200000.0,226.0632
81,113.05,119.3,112.95,115.8,2020-04-11T16:00:00+00:00,1586620800000.0,202.9005
82,111.4,114.3,111.35,113.1,2020-04-11T17:00:00+00:00,1586624400000.0,196.3982
83,114.75,115.7,111.0,111.4,2020-04-11T18:00:00+00:00,1586628000000.0,1138.8039
84,113.9,116.2,113.35,114.75,2020-04-11T19:00:00+00:00,1586631600000.0,1321.79055
85,110.9,113.9,108.1,113.9,2020-04-11T20:00:00+00:00,1586635200000.0,2478.8802
86,113.9,114.05,109.5,110.9,2020-04-11T21:00:00+00:00,1586638800000.0,646.4484
87,116.15,117.45,113.45,113.85,2020-04-11T22:00:00+00:00,1586642400000.0,0.0
88,117.7,118.2,114.9,116.15,2020-04-11T23:00:00+00:00,1586646000000.0,8874.3566
89,115.75,119.45,115.75,117.7,2020-04-12T00:00:00+00:00,1586649600000.0,357.7392
90,114.7,116.35,114.65,115.75,2020-04-12T01:00:00+00:00,1586653200000.0,0.0
91,114.0,115.2,112.7,114.8,2020-04-12T02:00:00+00:00,1586656800000.0,30.324
92,112.45,114.0,112.45,114.0,2020-04-12T03:00:00+00:00,1586660400000.0,0.0
93,114.25,114.25,111.45,112.45,2020-04-12T04:00:00+00:00,1586664000000.0,58.83875
94,115.8,116.2,114.05,114.2,2020-04-12T05:00:00+00:00,1586667600000.0,6984.7049
