,close,high,low,open,startTime,time,volume
0,6.2825,6.505,6.185,6.505,2020-04-13T14:00:00+00:00,1586786400000.0,11217.511475
1,6.1675,6.3225,6.0975,6.2825,2020-04-13T15:00:00+00:00,1586790000000.0,35623.13965
2,6.23,6.31,6.1375,6.1675,2020-04-13T16:00:00+00:00,1586793600000.0,22029.722325
3,6.2175,6.265,6.16,6.23,2020-04-13T17:00:00+00:00,1586797200000.0,6004.04
4,6.21,6.2325,6.15,6.2175,2020-04-13T18:00:00+00:00,1586800800000.0,7111.314525
5,6.1075,6.2175,6.045,6.21,2020-04-13T19:00:00+00:00,1586804400000.0,7592.712825
6,5.945,6.1075,5.9275,6.1075,2020-04-13T20:00:00+00:00,1586808000000.0,18077.93005
7,5.9075,5.9675,5.6175,5.945,2020-04-13T21:00:00+00:00,1586811600000.0,78965.4489
8,5.7725,5.915,5.7,5.9075,2020-04-13T22:00:00+00:00,1586815200000.0,27939.0314
9,5.905,5.9375,5.7125,5.7725,2020-04-13T23:00:00+00:00,1586818800000.0,13812.902525
10,5.955,5.9825,5.7975,5.905,2020-04-14T00:00:00+00:00,1586822400000.0,42957.794675
11,5.8425,5.9975,5.8075,5.955,2020-04-14T01:00:00+00:00,1586826000000.0,20344.85465
12,5.81,5.8425,5.7325,5.8425,2020-04-14T02:00:00+00:00,1586829600000.0,50455.32885
13,5.735,5.85,5.7,5.81,2020-04-14T03:00:00+00:00,1586833200000.0,16236.609175
14,5.745,5.755,5.64,5.735,2020-04-14T04:00:00+00:00,1586836800000.0,40839.30145
15,5.7725,5.81,5.72,5.745,2020-04-14T05:00:00+00:00,1586840400000.0,31172.84895
16,5.84,5.8575,5.765,5.7725,2020-04-14T06:00:00+00:00,1586844000000.0,19658.56765
17,5.885,5.9225,5.665,5.84,2020-04-14T07:00:00+00:00,1586847600000.0,23090.84935
18,5.9075,6.0125,5.8475,5.885,2020-04-14T08:00:00+00:00,1586851200000.0,30949.5236
19,5.7775,5.955,5.7375,5.9075,2020-04-14T09:00:00+00:00,1586854800000.0,25595.711975
20,5.9275,5.9325,5.735,5.7775,2020-04-14T10:00:00+00:00,1586858400000.0,17317.20705
21,5.8775,5.95,5.8175,5.9275,2020-04-14T11:00:00+00:00,1586862000000.0,3967.93425
22,5.8225,5.955,5.815,5.8775,2020-04-14T12:00:00+00:00,1586865600000.0,25641.871
23,5.7225,5.8275,5.7,5.8225,2020-04-14T13:00:00+00:00,1586869200000.0,53270.8902
24,5.6075,5.74,5.38,5.7225,2020-04-14T14:00:00+00:00,1586872800000.0,132978.0899
25,5.5325,5.635,5.4675,5.6075,2020-04-14T15:00:00+00:00,1586876400000.0,75411.2284
26,5.39,5.6075,5.3875,5.5325,2020-04-14T16:00:00+00:00,1586880000000.0,25756.14625
27,5.59,5.6075,5.2975,5.39,2020-04-14T17:00:00+00:00,1586883600000.0,49281.982775
28,5.49,5.595,5.42,5.59,2020-04-14T18:00:00+00:00,1586887200000.0,19071.911875
29,5.535,5.6025,5.4675,5.49,2020-04-14T19:00:00+00:00,1586890800000.0,19537.755175
30,5.655,5.6875,5.495,5.535,2020-04-14T20:00:00+00:00,1586894400000.0,40989.8612
31,5.6425,5.6825,5.6025,5.6525,2020-04-14T21:00:00+00:00,1586898000000.0,60158.011225
