,close,high,low,open,startTime,time,volume
0,18.765,19.9,18.3,19.79,2020-04-13T14:00:00+00:00,1586786400000.0,95994.3328
1,18.065,19.145,17.765,18.765,2020-04-13T15:00:00+00:00,1586790000000.0,58857.75125
2,18.8,19.09,18.005,18.065,2020-04-13T16:00:00+00:00,1586793600000.0,72048.09265
3,18.925,19.0,18.42,18.8,2020-04-13T17:00:00+00:00,1586797200000.0,33321.9644
4,18.675,18.93,18.455,18.92,2020-04-13T18:00:00+00:00,1586800800000.0,23450.3066
5,18.1,18.72,17.515,18.675,2020-04-13T19:00:00+00:00,1586804400000.0,51298.4616
6,17.77,18.1,17.265,18.1,2020-04-13T20:00:00+00:00,1586808000000.0,59577.5074
7,18.03,18.34,17.21,17.77,2020-04-13T21:00:00+00:00,1586811600000.0,67250.27005
8,17.83,18.31,17.64,18.03,2020-04-13T22:00:00+00:00,1586815200000.0,44932.48125
9,18.16,18.75,17.58,17.83,2020-04-13T23:00:00+00:00,1586818800000.0,43980.9765
10,18.125,18.285,17.77,18.16,2020-04-14T00:00:00+00:00,1586822400000.0,38318.46855
11,17.9,18.45,17.88,18.125,2020-04-14T01:00:00+00:00,1586826000000.0,19392.20145
12,17.73,18.09,17.565,17.9,2020-04-14T02:00:00+00:00,1586829600000.0,11034.128
13,17.52,18.04,17.52,17.73,2020-04-14T03:00:00+00:00,1586833200000.0,15625.624
14,17.705,17.8,17.05,17.52,2020-04-14T04:00:00+00:00,1586836800000.0,34591.6193
15,17.675,17.92,17.325,17.705,2020-04-14T05:00:00+00:00,1586840400000.0,9711.0429
16,17.98,18.15,17.675,17.675,2020-04-14T06:00:00+00:00,1586844000000.0,12949.5467
17,18.8,18.895,17.77,17.98,2020-04-14T07:00:00+00:00,1586847600000.0,31627.61295
18,19.06,19.38,18.775,18.8,2020-04-14T08:00:00+00:00,1586851200000.0,59447.82195
19,18.685,19.135,18.535,19.06,2020-04-14T09:00:00+00:00,1586854800000.0,12377.92215
20,18.83,18.965,18.345,18.685,2020-04-14T10:00:00+00:00,1586858400000.0,27707.843
21,18.515,18.965,18.47,18.83,2020-04-14T11:00:00+00:00,1586862000000.0,21849.88815
22,18.335,18.91,18.33,18.515,2020-04-14T12:00:00+00:00,1586865600000.0,11987.24995
23,17.735,18.335,17.73,18.335,2020-04-14T13:00:00+00:00,1586869200000.0,32157.62115
24,18.115,18.24,17.21,17.735,2020-04-14T14:00:00+00:00,1586872800000.0,57103.86885
25,18.095,18.38,17.93,18.115,2020-04-14T15:00:00+00:00,1586876400000.0,48910.64905
26,17.42,18.345,17.385,18.095,2020-04-14T16:00:00+00:00,1586880000000.0,41565.71545
27,17.73,18.025,17.335,17.42,2020-04-14T17:00:00+00:00,1586883600000.0,28907.78135
28,17.815,17.99,17.57,17.73,2020-04-14T18:00:00+00:00,1586887200000.0,15606.8722
29,18.23,18.34,17.81,17.815,2020-04-14T19:00:00+00:00,1586890800000.0,21572.95025
30,19.535,19.875,18.13,18.23,2020-04-14T20:00:00+00:00,1586894400000.0,66765.39615
31,20.475,20.5,19.3,19.535,2020-04-14T21:00:00+00:00,1586898000000.0,49569.30405
32,19.85,20.685,19.54,20.475,2020-04-14T22:00:00+00:00,1586901600000.0,66814.8271
33,20.03,20.355,19.72,19.85,2020-04-14T23:00:00+00:00,1586905200000.0,27051.90765
34,20.485,20.995,20.045,20.055,2020-04-15T00:00:00+00:00,1586908800000.0,39785.77055
35,19.375,20.565,19.29,20.485,2020-04-15T01:00:00+00:00,1586912400000.0,18142.90825
36,19.395,19.645,19.135,19.375,2020-04-15T02:00:00+00:00,1586916000000.0,23490.7377
37,19.075,19.675,19.055,19.395,2020-04-15T03:00:00+00:00,1586919600000.0,43166.7442
38,19.425,19.425,18.81,19.075,2020-04-15T04:00:00+00:00,1586923200000.0,7768.5003
39,19.085,19.6,19.085,19.425,2020-04-15T05:00:00+00:00,1586926800000.0,3594.43035
40,19.42,19.425,18.9,19.085,2020-04-15T06:00:00+00:00,1586930400000.0,5102.61525
41,19.31,19.685,19.195,19.42,2020-04-15T07:00:00+00:00,1586934000000.0,24662.04755
42,19.53,19.87,19.03,19.31,2020-04-15T08:00:00+00:00,1586937600000.0,19077.89415
43,20.085,20.36,19.47,19.53,2020-04-15T09:00:00+00:00,1586941200000.0,25386.58115
44,20.385,20.835,19.7,20.085,2020-04-15T10:00:00+00:00,1586944800000.0,29110.3747
45,20.255,20.66,19.745,20.385,2020-04-15T11:00:00+00:00,1586948400000.0,35757.7931
46,22.065,22.33,20.25,20.255,2020-04-15T12:00:00+00:00,1586952000000.0,78852.0348
47,21.655,22.4,21.025,22.065,2020-04-15T13:00:00+00:00,1586955600000.0,101678.29945
48,21.35,21.89,20.67,21.655,2020-04-15T14:00:00+00:00,1586959200000.0,55449.1005
49,21.89,21.905,21.13,21.35,2020-04-15T15:00:00+00:00,1586962800000.0,22777.63185
50,21.365,22.315,21.09,21.89,2020-04-15T16:00:00+00:00,1586966400000.0,60215.6414
51,21.065,21.365,20.88,21.365,2020-04-15T17:00:00+00:00,1586970000000.0,3581.5981
52,19.905,21.065,19.25,21.065,2020-04-15T18:00:00+00:00,1586973600000.0,80360.85205
53,20.28,20.48,19.655,19.905,2020-04-15T19:00:00+00:00,1586977200000.0,28916.15115
54,19.83,20.645,19.815,20.28,2020-04-15T20:00:00+00:00,1586980800000.0,16757.25835
55,20.2,20.295,19.445,19.83,2020-04-15T21:00:00+00:00,1586984400000.0,30128.72495
56,20.785,21.125,20.2,20.2,2020-04-15T22:00:00+00:00,1586988000000.0,21013.2157
57,22.08,22.135,20.69,20.785,2020-04-15T23:00:00+00:00,1586991600000.0,83242.38125
58,22.625,24.955,22.08,22.08,2020-04-16T00:00:00+00:00,1586995200000.0,100810.43045
59,22.105,23.345,21.65,22.625,2020-04-16T01:00:00+00:00,1586998800000.0,38266.3385
60,22.26,22.735,21.915,22.105,2020-04-16T02:00:00+00:00,1587002400000.0,22690.96815
61,22.105,23.0,22.09,22.26,2020-04-16T03:00:00+00:00,1587006000000.0,39863.76775
62,22.39,22.415,21.635,22.105,2020-04-16T04:00:00+00:00,1587009600000.0,19533.4888
63,22.265,22.51,21.79,22.39,2020-04-16T05:00:00+00:00,1587013200000.0,75194.1182
64,21.0,22.27,20.89,22.265,2020-04-16T06:00:00+00:00,1587016800000.0,78486.0775
65,19.22,21.22,18.4,21.0,2020-04-16T07:00:00+00:00,1587020400000.0,98081.9585
66,17.035,19.22,16.0,19.22,2020-04-16T08:00:00+00:00,1587024000000.0,105796.75425
67,17.155,17.725,16.465,17.035,2020-04-16T09:00:00+00:00,1587027600000.0,68335.4384
68,17.47,17.675,16.71,17.155,2020-04-16T10:00:00+00:00,1587031200000.0,49790.1789
69,16.91,17.475,16.8,17.47,2020-04-16T11:00:00+00:00,1587034800000.0,33058.7049
70,16.295,17.275,16.175,16.91,2020-04-16T12:00:00+00:00,1587038400000.0,49462.105
71,16.925,17.0,15.955,16.295,2020-04-16T13:00:00+00:00,1587042000000.0,45662.06785
72,16.205,17.015,16.19,16.925,2020-04-16T14:00:00+00:00,1587045600000.0,24914.8204
73,16.03,16.365,15.845,16.205,2020-04-16T15:00:00+00:00,1587049200000.0,28384.7213
74,16.5,16.885,15.6,16.03,2020-04-16T16:00:00+00:00,1587052800000.0,34023.93625
75,16.55,16.81,16.37,16.5,2020-04-16T17:00:00+00:00,1587056400000.0,13882.29725
76,16.31,16.645,16.2,16.55,2020-04-16T18:00:00+00:00,1587060000000.0,9200.5702
77,15.785,16.535,15.445,16.31,2020-04-16T19:00:00+00:00,1587063600000.0,15287.5227
78,15.78,16.54,15.755,15.785,2020-04-16T20:00:00+00:00,1587067200000.0,19411.4078
79,15.475,16.15,15.475,15.78,2020-04-16T21:00:00+00:00,1587070800000.0,49718.1652
80,13.7,15.475,13.7,15.475,2020-04-16T22:00:00+00:00,1587074400000.0,68653.1725
81,14.425,14.845,13.335,13.7,2020-04-16T23:00:00+00:00,1587078000000.0,74773.62725
82,14.765,15.045,14.12,14.405,2020-04-17T00:00:00+00:00,1587081600000.0,68762.26
83,14.465,14.84,14.32,14.765,2020-04-17T01:00:00+00:00,1587085200000.0,39706.86395
84,14.81,14.815,14.41,14.465,2020-04-17T02:00:00+00:00,1587088800000.0,49981.85635
85,14.395,14.89,14.2,14.81,2020-04-17T03:00:00+00:00,1587092400000.0,28080.144
86,15.175,15.55,14.39,14.39,2020-04-17T04:00:00+00:00,1587096000000.0,37595.1481
87,15.02,15.5,14.775,15.175,2020-04-17T05:00:00+00:00,1587099600000.0,26886.43985
88,15.115,15.56,15.005,15.02,2020-04-17T06:00:00+00:00,1587103200000.0,29216.7179
89,15.025,15.355,14.92,15.115,2020-04-17T07:00:00+00:00,1587106800000.0,15693.31205
90,14.84,15.22,14.1,15.025,2020-04-17T08:00:00+00:00,1587110400000.0,22755.40955
91,14.32,15.06,14.175,14.84,2020-04-17T09:00:00+00:00,1587114000000.0,44657.37365
92,14.36,14.58,14.3,14.32,2020-04-17T10:00:00+00:00,1587117600000.0,12919.99345
93,14.72,14.885,14.36,14.36,2020-04-17T11:00:00+00:00,1587121200000.0,20729.23745
94,14.5,14.8,14.5,14.72,2020-04-17T12:00:00+00:00,1587124800000.0,5774.04675
95,14.64,15.225,14.495,14.5,2020-04-17T13:00:00+00:00,1587128400000.0,39398.8118
96,15.01,15.12,14.64,14.64,2020-04-17T14:00:00+00:00,1587132000000.0,27984.687
97,14.91,15.095,14.735,15.01,2020-04-17T15:00:00+00:00,1587135600000.0,21061.18315
98,14.755,14.955,14.745,14.91,2020-04-17T16:00:00+00:00,1587139200000.0,4726.9739
99,14.64,14.785,14.385,14.755,2020-04-17T17:00:00+00:00,1587142800000.0,27950.7063
100,14.7,14.895,14.6,14.64,2020-04-17T18:00:00+00:00,1587146400000.0,21955.49125
101,14.485,14.7,14.405,14.7,2020-04-17T19:00:00+00:00,1587150000000.0,12593.7536
102,14.745,14.8,14.3,14.485,2020-04-17T20:00:00+00:00,1587153600000.0,22355.7635
103,14.8,14.815,14.525,14.745,2020-04-17T21:00:00+00:00,1587157200000.0,12439.45005
104,14.69,14.8,14.66,14.8,2020-04-17T22:00:00+00:00,1587160800000.0,1307.0856
105,14.78,14.84,13.82,14.69,2020-04-17T23:00:00+00:00,1587164400000.0,60800.82435
106,14.3,14.815,14.3,14.78,2020-04-18T00:00:00+00:00,1587168000000.0,4734.8757
107,14.265,14.415,14.19,14.3,2020-04-18T01:00:00+00:00,1587171600000.0,9178.19065
108,13.855,14.395,13.69,14.265,2020-04-18T02:00:00+00:00,1587175200000.0,9702.5215
109,13.95,13.99,13.655,13.855,2020-04-18T03:00:00+00:00,1587178800000.0,15449.11685
110,14.045,14.045,13.825,13.95,2020-04-18T04:00:00+00:00,1587182400000.0,12750.65035
111,13.615,14.045,13.47,14.045,2020-04-18T05:00:00+00:00,1587186000000.0,12331.83435
112,13.825,13.825,13.57,13.615,2020-04-18T06:00:00+00:00,1587189600000.0,17616.6474
113,13.695,13.84,13.63,13.825,2020-04-18T07:00:00+00:00,1587193200000.0,3740.443
114,13.46,13.84,13.105,13.695,2020-04-18T08:00:00+00:00,1587196800000.0,10956.5705
115,13.465,13.48,13.235,13.46,2020-04-18T09:00:00+00:00,1587200400000.0,4857.27625
116,13.595,13.87,13.35,13.465,2020-04-18T10:00:00+00:00,1587204000000.0,15796.38045
117,13.295,13.74,13.27,13.595,2020-04-18T11:00:00+00:00,1587207600000.0,13442.54485
118,12.875,13.55,12.66,13.295,2020-04-18T12:00:00+00:00,1587211200000.0,29263.84255
119,11.75,12.975,11.475,12.875,2020-04-18T13:00:00+00:00,1587214800000.0,56449.86495
120,11.915,12.08,11.56,11.75,2020-04-18T14:00:00+00:00,1587218400000.0,51095.2679
121,11.44,11.94,11.39,11.915,2020-04-18T15:00:00+00:00,1587222000000.0,46687.29775
122,11.86,12.14,11.4,11.44,2020-04-18T16:00:00+00:00,1587225600000.0,45540.54685
123,11.89,12.0,11.69,11.86,2020-04-18T17:00:00+00:00,1587229200000.0,13828.0904
124,11.945,12.08,11.835,11.89,2020-04-18T18:00:00+00:00,1587232800000.0,6454.8189
125,11.63,11.945,11.535,11.945,2020-04-18T19:00:00+00:00,1587236400000.0,17532.278
126,11.165,11.745,11.115,11.63,2020-04-18T20:00:00+00:00,1587240000000.0,22208.0728
127,11.4,11.405,11.1,11.185,2020-04-18T21:00:00+00:00,1587243600000.0,25905.1364
128,10.735,11.4,10.325,11.4,2020-04-18T22:00:00+00:00,1587247200000.0,41763.00975
129,10.785,10.945,10.41,10.735,2020-04-18T23:00:00+00:00,1587250800000.0,28680.07025
130,10.855,11.14,10.65,10.785,2020-04-19T00:00:00+00:00,1587254400000.0,32057.31485
131,11.0,11.14,10.73,10.855,2020-04-19T01:00:00+00:00,1587258000000.0,15593.5442
132,10.69,11.06,10.48,11.0,2020-04-19T02:00:00+00:00,1587261600000.0,18548.21475
133,10.84,10.865,10.645,10.69,2020-04-19T03:00:00+00:00,1587265200000.0,20723.9696
134,10.865,10.93,10.565,10.84,2020-04-19T04:00:00+00:00,1587268800000.0,20511.1973
135,12.18,12.18,10.785,10.865,2020-04-19T05:00:00+00:00,1587272400000.0,30179.3591
136,11.6,12.2,11.44,12.18,2020-04-19T06:00:00+00:00,1587276000000.0,63327.6649
137,11.68,11.78,11.485,11.6,2020-04-19T07:00:00+00:00,1587279600000.0,24206.48925
138,11.825,12.085,11.68,11.68,2020-04-19T08:00:00+00:00,1587283200000.0,47955.4969
139,11.71,12.015,11.605,11.825,2020-04-19T09:00:00+00:00,1587286800000.0,32899.8757
140,11.48,11.755,11.48,11.71,2020-04-19T10:00:00+00:00,1587290400000.0,29407.8795
141,11.69,11.855,11.48,11.48,2020-04-19T11:00:00+00:00,1587294000000.0,20656.02135
142,11.72,11.835,11.55,11.69,2020-04-19T12:00:00+00:00,1587297600000.0,38129.94205
143,12.535,12.7,11.695,11.72,2020-04-19T13:00:00+00:00,1587301200000.0,52004.4904
144,12.19,12.94,12.06,12.535,2020-04-19T14:00:00+00:00,1587304800000.0,105711.6068
145,12.345,12.455,12.085,12.19,2020-04-19T15:00:00+00:00,1587308400000.0,37325.3518
146,11.95,12.56,11.925,12.345,2020-04-19T16:00:00+00:00,1587312000000.0,34583.1645
147,11.605,12.06,11.49,11.95,2020-04-19T17:00:00+00:00,1587315600000.0,49046.29925
148,11.775,12.035,11.595,11.615,2020-04-19T18:00:00+00:00,1587319200000.0,27070.92095
149,12.025,12.06,11.73,11.775,2020-04-19T19:00:00+00:00,1587322800000.0,38257.29645
150,11.91,12.26,11.86,12.025,2020-04-19T20:00:00+00:00,1587326400000.0,22924.27465
151,11.555,11.93,11.52,11.91,2020-04-19T21:00:00+00:00,1587330000000.0,12453.90965
152,11.655,11.915,11.52,11.555,2020-04-19T22:00:00+00:00,1587333600000.0,36486.2416
