,close,high,low,open,startTime,time,volume
0,3.67,3.728,3.6,3.728,2020-04-11T20:00:00+00:00,1586635200000.0,1830.59505
1,3.817,3.817,3.664,3.685,2020-04-11T21:00:00+00:00,1586638800000.0,801.64979
2,3.857,3.892,3.779,3.817,2020-04-11T22:00:00+00:00,1586642400000.0,7461.51247
3,3.902,3.905,3.785,3.857,2020-04-11T23:00:00+00:00,1586646000000.0,4709.93728
4,3.841,3.935,3.841,3.902,2020-04-12T00:00:00+00:00,1586649600000.0,1459.82842
5,3.802,3.869,3.795,3.841,2020-04-12T01:00:00+00:00,1586653200000.0,650.35
6,3.798,3.804,3.743,3.802,2020-04-12T02:00:00+00:00,1586656800000.0,0.0
7,3.763,3.799,3.733,3.798,2020-04-12T03:00:00+00:00,1586660400000.0,404.6042
8,3.766,3.787,3.706,3.763,2020-04-12T04:00:00+00:00,1586664000000.0,0.0
9,3.788,3.789,3.754,3.766,2020-04-12T05:00:00+00:00,1586667600000.0,757.05355
10,3.738,3.788,3.711,3.788,2020-04-12T06:00:00+00:00,1586671200000.0,1.09266
11,3.788,3.789,3.711,3.738,2020-04-12T07:00:00+00:00,1586674800000.0,0.0
12,3.834,3.845,3.768,3.782,2020-04-12T08:00:00+00:00,1586678400000.0,820.33905
13,3.893,3.901,3.834,3.834,2020-04-12T09:00:00+00:00,1586682000000.0,3.897
14,3.836,3.897,3.836,3.893,2020-04-12T10:00:00+00:00,1586685600000.0,3.87436
15,3.885,3.96,3.836,3.836,2020-04-12T11:00:00+00:00,1586689200000.0,1139.08242
16,3.964,4.0,3.885,3.885,2020-04-12T12:00:00+00:00,1586692800000.0,1034.95966
17,3.996,3.998,3.95,3.964,2020-04-12T13:00:00+00:00,1586696400000.0,152.05174
18,4.043,4.044,3.995,3.996,2020-04-12T14:00:00+00:00,1586700000000.0,152.55484
19,4.074,4.08,4.018,4.043,2020-04-12T15:00:00+00:00,1586703600000.0,54482.68392
20,4.187,4.187,4.07,4.074,2020-04-12T16:00:00+00:00,1586707200000.0,2518.87796
21,4.125,4.204,4.101,4.187,2020-04-12T17:00:00+00:00,1586710800000.0,55348.60903
22,4.062,4.126,4.055,4.125,2020-04-12T18:00:00+00:00,1586714400000.0,207.71875
23,4.096,4.126,4.055,4.062,2020-04-12T19:00:00+00:00,1586718000000.0,0.0
24,4.119,4.17,4.088,4.096,2020-04-12T20:00:00+00:00,1586721600000.0,513.68732
25,4.102,4.134,4.07,4.119,2020-04-12T21:00:00+00:00,1586725200000.0,1122.6805
26,3.911,4.14,3.788,4.102,2020-04-12T22:00:00+00:00,1586728800000.0,1863.80166
27,3.744,3.966,3.73,3.911,2020-04-12T23:00:00+00:00,1586732400000.0,1012.92018
28,3.381,3.751,3.09,3.744,2020-04-13T00:00:00+00:00,1586736000000.0,14039.58786
29,3.257,3.381,3.204,3.381,2020-04-13T01:00:00+00:00,1586739600000.0,4149.26671
30,3.291,3.301,3.2,3.257,2020-04-13T02:00:00+00:00,1586743200000.0,4515.42737
31,3.194,3.291,3.187,3.291,2020-04-13T03:00:00+00:00,1586746800000.0,2818.84077
32,3.26,3.285,3.147,3.194,2020-04-13T04:00:00+00:00,1586750400000.0,924.04236
33,3.251,3.293,3.244,3.26,2020-04-13T05:00:00+00:00,1586754000000.0,2260.17474
34,3.32,3.327,3.235,3.251,2020-04-13T06:00:00+00:00,1586757600000.0,7236.59156
35,3.256,3.33,3.224,3.32,2020-04-13T07:00:00+00:00,1586761200000.0,877.84004
36,3.25,3.291,3.212,3.256,2020-04-13T08:00:00+00:00,1586764800000.0,2148.66066
37,3.199,3.259,3.159,3.25,2020-04-13T09:00:00+00:00,1586768400000.0,1899.68697
38,3.319,3.323,3.199,3.199,2020-04-13T10:00:00+00:00,1586772000000.0,0.0
39,3.424,3.482,3.258,3.319,2020-04-13T11:00:00+00:00,1586775600000.0,4859.54482
40,3.303,3.429,3.229,3.424,2020-04-13T12:00:00+00:00,1586779200000.0,599.62487
41,3.205,3.333,3.195,3.303,2020-04-13T13:00:00+00:00,1586782800000.0,312.76198
42,3.271,3.385,3.194,3.205,2020-04-13T14:00:00+00:00,1586786400000.0,342.73995
43,3.314,3.369,3.246,3.271,2020-04-13T15:00:00+00:00,1586790000000.0,0.0
44,3.318,3.35,3.254,3.314,2020-04-13T16:00:00+00:00,1586793600000.0,0.0
45,3.282,3.336,3.275,3.318,2020-04-13T17:00:00+00:00,1586797200000.0,1053.492
46,3.319,3.346,3.282,3.282,2020-04-13T18:00:00+00:00,1586800800000.0,292.90175
47,3.363,3.432,3.319,3.319,2020-04-13T19:00:00+00:00,1586804400000.0,118.4142
48,3.504,3.512,3.363,3.363,2020-04-13T20:00:00+00:00,1586808000000.0,814.58601
49,3.486,3.593,3.478,3.504,2020-04-13T21:00:00+00:00,1586811600000.0,356.5
50,3.593,3.593,3.486,3.486,2020-04-13T22:00:00+00:00,1586815200000.0,350.49914
51,3.553,3.603,3.521,3.593,2020-04-13T23:00:00+00:00,1586818800000.0,399.68079
52,3.533,3.603,3.519,3.553,2020-04-14T00:00:00+00:00,1586822400000.0,0.0
53,3.553,3.556,3.502,3.533,2020-04-14T01:00:00+00:00,1586826000000.0,80.64792
54,3.569,3.601,3.553,3.553,2020-04-14T02:00:00+00:00,1586829600000.0,611.73788
55,3.609,3.615,3.543,3.569,2020-04-14T03:00:00+00:00,1586833200000.0,239.21268
56,3.61,3.672,3.594,3.609,2020-04-14T04:00:00+00:00,1586836800000.0,4626.95498
57,3.59,3.62,3.59,3.61,2020-04-14T05:00:00+00:00,1586840400000.0,295.197
58,3.534,3.607,3.531,3.59,2020-04-14T06:00:00+00:00,1586844000000.0,1923.84726
59,3.438,3.578,3.425,3.534,2020-04-14T07:00:00+00:00,1586847600000.0,1137.92007
60,3.414,3.447,3.366,3.438,2020-04-14T08:00:00+00:00,1586851200000.0,1048.18278
61,3.477,3.477,3.385,3.414,2020-04-14T09:00:00+00:00,1586854800000.0,546.45168
62,3.473,3.525,3.454,3.477,2020-04-14T10:00:00+00:00,1586858400000.0,1180.77226
63,3.473,3.525,3.469,3.473,2020-04-14T11:00:00+00:00,1586862000000.0,1235.94998
64,3.482,3.486,3.45,3.473,2020-04-14T12:00:00+00:00,1586865600000.0,92.71242
65,3.59,3.59,3.482,3.482,2020-04-14T13:00:00+00:00,1586869200000.0,4028.82191
66,3.574,3.698,3.555,3.59,2020-04-14T14:00:00+00:00,1586872800000.0,6953.85398
67,3.6,3.612,3.561,3.574,2020-04-14T15:00:00+00:00,1586876400000.0,1131.4277
68,3.663,3.668,3.56,3.6,2020-04-14T16:00:00+00:00,1586880000000.0,1277.68324
69,3.611,3.698,3.599,3.663,2020-04-14T17:00:00+00:00,1586883600000.0,2400.8534
70,3.599,3.646,3.587,3.611,2020-04-14T18:00:00+00:00,1586887200000.0,41.28933
71,3.586,3.611,3.55,3.598,2020-04-14T19:00:00+00:00,1586890800000.0,2882.91659
72,3.529,3.612,3.513,3.586,2020-04-14T20:00:00+00:00,1586894400000.0,151.0824
73,3.51,3.545,3.508,3.529,2020-04-14T21:00:00+00:00,1586898000000.0,134.22119
74,3.518,3.601,3.498,3.51,2020-04-14T22:00:00+00:00,1586901600000.0,864.44043
75,3.519,3.565,3.496,3.518,2020-04-14T23:00:00+00:00,1586905200000.0,3136.09968
76,3.423,3.519,3.38,3.519,2020-04-15T00:00:00+00:00,1586908800000.0,1613.79881
77,3.498,3.508,3.419,3.423,2020-04-15T01:00:00+00:00,1586912400000.0,21.58436
78,3.565,3.59,3.489,3.498,2020-04-15T02:00:00+00:00,1586916000000.0,0.0
79,3.618,3.618,3.54,3.565,2020-04-15T03:00:00+00:00,1586919600000.0,4161.86582
