,close,high,low,open,startTime,time,volume
0,3.438,3.474,3.345,3.438,2020-04-08T12:00:00+00:00,1586347200000.0,0.0
1,3.415,3.438,3.362,3.438,2020-04-08T13:00:00+00:00,1586350800000.0,231.09305
2,3.296,3.415,3.296,3.415,2020-04-08T14:00:00+00:00,1586354400000.0,0.0
3,3.268,3.315,3.256,3.296,2020-04-08T15:00:00+00:00,1586358000000.0,0.0
4,3.135,3.312,3.119,3.268,2020-04-08T16:00:00+00:00,1586361600000.0,380.91882
5,3.135,3.135,3.1,3.135,2020-04-08T17:00:00+00:00,1586365200000.0,0.0
6,3.135,3.178,3.135,3.135,2020-04-08T18:00:00+00:00,1586368800000.0,0.0
7,3.243,3.304,3.135,3.135,2020-04-08T19:00:00+00:00,1586372400000.0,0.0
8,3.166,3.243,3.132,3.243,2020-04-08T20:00:00+00:00,1586376000000.0,715.56556
9,2.976,3.166,2.96,3.166,2020-04-08T21:00:00+00:00,1586379600000.0,296.97504
10,2.959,3.021,2.937,2.976,2020-04-08T22:00:00+00:00,1586383200000.0,299.37
11,2.816,2.968,2.8,2.959,2020-04-08T23:00:00+00:00,1586386800000.0,532.29518
12,2.8,2.884,2.8,2.816,2020-04-09T00:00:00+00:00,1586390400000.0,0.0
13,2.952,2.977,2.8,2.8,2020-04-09T01:00:00+00:00,1586394000000.0,0.0
14,2.919,2.979,2.904,2.952,2020-04-09T02:00:00+00:00,1586397600000.0,0.0
15,2.975,3.04,2.919,2.919,2020-04-09T03:00:00+00:00,1586401200000.0,0.0
16,3.003,3.069,2.975,2.975,2020-04-09T04:00:00+00:00,1586404800000.0,0.0
17,2.944,3.024,2.944,3.003,2020-04-09T05:00:00+00:00,1586408400000.0,0.0
18,3.015,3.02,2.913,2.944,2020-04-09T06:00:00+00:00,1586412000000.0,16.61
19,2.884,3.015,2.868,3.015,2020-04-09T07:00:00+00:00,1586415600000.0,105.2436
20,2.877,2.948,2.814,2.884,2020-04-09T08:00:00+00:00,1586419200000.0,0.0
21,2.948,2.948,2.877,2.877,2020-04-09T09:00:00+00:00,1586422800000.0,0.0
22,2.908,2.949,2.908,2.948,2020-04-09T10:00:00+00:00,1586426400000.0,19.5862
23,3.005,3.024,2.763,2.908,2020-04-09T11:00:00+00:00,1586430000000.0,0.0
24,2.932,3.254,2.928,3.005,2020-04-09T12:00:00+00:00,1586433600000.0,0.0
25,2.908,2.966,2.907,2.932,2020-04-09T13:00:00+00:00,1586437200000.0,0.0
26,2.859,2.908,2.844,2.908,2020-04-09T14:00:00+00:00,1586440800000.0,0.0
27,2.908,2.933,2.859,2.859,2020-04-09T15:00:00+00:00,1586444400000.0,0.0
28,2.992,2.992,2.908,2.908,2020-04-09T16:00:00+00:00,1586448000000.0,424.0106
29,2.988,2.992,2.947,2.992,2020-04-09T17:00:00+00:00,1586451600000.0,0.0
30,3.016,3.052,2.988,2.988,2020-04-09T18:00:00+00:00,1586455200000.0,0.0
31,2.992,3.08,2.992,3.016,2020-04-09T19:00:00+00:00,1586458800000.0,0.0
32,2.992,3.039,2.992,2.992,2020-04-09T20:00:00+00:00,1586462400000.0,0.0
33,2.992,3.026,2.992,2.992,2020-04-09T21:00:00+00:00,1586466000000.0,0.0
34,2.992,2.992,2.992,2.992,2020-04-09T22:00:00+00:00,1586469600000.0,0.0
35,2.992,3.018,2.992,2.992,2020-04-09T23:00:00+00:00,1586473200000.0,0.0
36,3.018,3.064,2.992,2.992,2020-04-10T00:00:00+00:00,1586476800000.0,0.0
37,3.126,3.156,3.01,3.018,2020-04-10T01:00:00+00:00,1586480400000.0,0.0
38,3.248,3.358,3.124,3.126,2020-04-10T02:00:00+00:00,1586484000000.0,434.1675
39,3.286,3.292,3.129,3.248,2020-04-10T03:00:00+00:00,1586487600000.0,15.645
40,3.417,3.466,3.286,3.286,2020-04-10T04:00:00+00:00,1586491200000.0,10.5927
41,3.758,3.758,3.417,3.417,2020-04-10T05:00:00+00:00,1586494800000.0,877.6784
42,3.588,3.77,3.539,3.758,2020-04-10T06:00:00+00:00,1586498400000.0,715.6344
43,3.661,3.745,3.588,3.588,2020-04-10T07:00:00+00:00,1586502000000.0,2349.4242
44,3.682,3.753,3.597,3.661,2020-04-10T08:00:00+00:00,1586505600000.0,1239.8741
