,close,high,low,open,startTime,time,volume
0,1.309,1.3315,1.309,1.3295,2020-04-09T13:00:00+00:00,1586437200000.0,94.3789
1,1.3175,1.325,1.309,1.309,2020-04-09T14:00:00+00:00,1586440800000.0,0.0
2,1.3455,1.3525,1.3145,1.3175,2020-04-09T15:00:00+00:00,1586444400000.0,0.0
3,1.3495,1.3875,1.341,1.3455,2020-04-09T16:00:00+00:00,1586448000000.0,428.6815
4,1.3575,1.3615,1.322,1.3495,2020-04-09T17:00:00+00:00,1586451600000.0,347.13215
5,1.378,1.396,1.3505,1.3575,2020-04-09T18:00:00+00:00,1586455200000.0,10.4728
6,1.378,1.3825,1.3705,1.378,2020-04-09T19:00:00+00:00,1586458800000.0,0.0
7,1.375,1.396,1.3735,1.378,2020-04-09T20:00:00+00:00,1586462400000.0,91.438
8,1.361,1.395,1.3565,1.375,2020-04-09T21:00:00+00:00,1586466000000.0,0.0
9,1.3755,1.39,1.359,1.36,2020-04-09T22:00:00+00:00,1586469600000.0,0.0
10,1.395,1.396,1.375,1.3755,2020-04-09T23:00:00+00:00,1586473200000.0,0.0
11,1.3855,1.396,1.378,1.395,2020-04-10T00:00:00+00:00,1586476800000.0,0.0
12,1.396,1.396,1.3855,1.3855,2020-04-10T01:00:00+00:00,1586480400000.0,0.0
13,1.4055,1.441,1.396,1.396,2020-04-10T02:00:00+00:00,1586484000000.0,0.0
14,1.469,1.485,1.4055,1.4055,2020-04-10T03:00:00+00:00,1586487600000.0,0.0
15,1.5905,1.614,1.469,1.469,2020-04-10T04:00:00+00:00,1586491200000.0,11.94375
16,1.719,1.741,1.5905,1.5905,2020-04-10T05:00:00+00:00,1586494800000.0,0.0
17,1.7145,1.7335,1.681,1.719,2020-04-10T06:00:00+00:00,1586498400000.0,198.81435
18,1.7365,1.766,1.7145,1.7145,2020-04-10T07:00:00+00:00,1586502000000.0,0.0
19,1.737,1.767,1.725,1.7365,2020-04-10T08:00:00+00:00,1586505600000.0,4.5162
20,1.7625,1.7895,1.737,1.737,2020-04-10T09:00:00+00:00,1586509200000.0,0.0
21,1.7735,1.806,1.7565,1.7625,2020-04-10T10:00:00+00:00,1586512800000.0,102.68565
22,1.842,1.872,1.7735,1.7735,2020-04-10T11:00:00+00:00,1586516400000.0,102.6855
23,1.8015,1.8555,1.8015,1.843,2020-04-10T12:00:00+00:00,1586520000000.0,0.0
24,1.827,1.8765,1.8015,1.8015,2020-04-10T13:00:00+00:00,1586523600000.0,0.0
25,1.8835,1.903,1.8015,1.827,2020-04-10T14:00:00+00:00,1586527200000.0,0.0
26,1.9485,1.956,1.8745,1.8835,2020-04-10T15:00:00+00:00,1586530800000.0,0.0
27,1.8355,1.9625,1.829,1.9485,2020-04-10T16:00:00+00:00,1586534400000.0,104.6235
28,1.8355,1.8555,1.8355,1.8355,2020-04-10T17:00:00+00:00,1586538000000.0,0.0
29,1.8095,1.8355,1.805,1.8355,2020-04-10T18:00:00+00:00,1586541600000.0,0.0
30,1.8105,1.8205,1.792,1.8095,2020-04-10T19:00:00+00:00,1586545200000.0,104.46585
31,1.8105,1.819,1.809,1.8105,2020-04-10T20:00:00+00:00,1586548800000.0,0.0
32,1.8105,1.8105,1.8045,1.8105,2020-04-10T21:00:00+00:00,1586552400000.0,0.0
33,1.855,1.8585,1.8105,1.8105,2020-04-10T22:00:00+00:00,1586556000000.0,89.208
34,1.84,1.8585,1.835,1.855,2020-04-10T23:00:00+00:00,1586559600000.0,417.8515
35,1.7455,1.847,1.7445,1.84,2020-04-11T00:00:00+00:00,1586563200000.0,272.84375
36,1.6445,1.7465,1.64,1.7455,2020-04-11T01:00:00+00:00,1586566800000.0,734.64325
37,1.64,1.6855,1.636,1.6445,2020-04-11T02:00:00+00:00,1586570400000.0,218.94
38,1.64,1.652,1.64,1.64,2020-04-11T03:00:00+00:00,1586574000000.0,0.0
39,1.64,1.64,1.627,1.64,2020-04-11T04:00:00+00:00,1586577600000.0,0.0
40,1.618,1.64,1.586,1.64,2020-04-11T05:00:00+00:00,1586581200000.0,0.0
41,1.6125,1.622,1.566,1.618,2020-04-11T06:00:00+00:00,1586584800000.0,0.0
42,1.7095,1.714,1.6105,1.613,2020-04-11T07:00:00+00:00,1586588400000.0,0.0
43,1.6975,1.7105,1.648,1.7095,2020-04-11T08:00:00+00:00,1586592000000.0,615.3615
44,1.7205,1.7365,1.666,1.6975,2020-04-11T09:00:00+00:00,1586595600000.0,0.0
45,1.766,1.785,1.7135,1.7205,2020-04-11T10:00:00+00:00,1586599200000.0,0.0
46,1.7685,1.804,1.738,1.766,2020-04-11T11:00:00+00:00,1586602800000.0,192.8738
47,1.752,1.8035,1.752,1.7685,2020-04-11T12:00:00+00:00,1586606400000.0,1.2264
48,1.773,1.804,1.752,1.752,2020-04-11T13:00:00+00:00,1586610000000.0,9.5612
49,1.8235,1.8235,1.766,1.771,2020-04-11T14:00:00+00:00,1586613600000.0,366.3836
50,1.731,1.8235,1.7115,1.8235,2020-04-11T15:00:00+00:00,1586617200000.0,343.24635
51,1.7855,1.792,1.721,1.731,2020-04-11T16:00:00+00:00,1586620800000.0,105.7906
52,1.822,1.829,1.778,1.7855,2020-04-11T17:00:00+00:00,1586624400000.0,9.5665
53,1.818,1.843,1.805,1.822,2020-04-11T18:00:00+00:00,1586628000000.0,0.0
54,1.842,1.864,1.8065,1.818,2020-04-11T19:00:00+00:00,1586631600000.0,102.8928
55,1.8585,1.872,1.842,1.842,2020-04-11T20:00:00+00:00,1586635200000.0,102.5892
56,1.834,1.873,1.8265,1.8585,2020-04-11T21:00:00+00:00,1586638800000.0,0.0
57,1.7735,1.8585,1.76,1.834,2020-04-11T22:00:00+00:00,1586642400000.0,0.0
58,1.7195,1.778,1.708,1.7735,2020-04-11T23:00:00+00:00,1586646000000.0,657.51
59,1.709,1.7195,1.692,1.7195,2020-04-12T00:00:00+00:00,1586649600000.0,0.0
60,1.7275,1.7315,1.693,1.709,2020-04-12T01:00:00+00:00,1586653200000.0,0.0
61,1.7475,1.762,1.718,1.7275,2020-04-12T02:00:00+00:00,1586656800000.0,0.0
62,1.748,1.7605,1.738,1.7475,2020-04-12T03:00:00+00:00,1586660400000.0,4.8944
63,1.775,1.8005,1.748,1.748,2020-04-12T04:00:00+00:00,1586664000000.0,0.0
64,1.773,1.778,1.76,1.7725,2020-04-12T05:00:00+00:00,1586667600000.0,659.556
65,1.7715,1.773,1.7515,1.773,2020-04-12T06:00:00+00:00,1586671200000.0,0.0
66,1.754,1.773,1.737,1.771,2020-04-12T07:00:00+00:00,1586674800000.0,0.0
67,1.763,1.773,1.748,1.755,2020-04-12T08:00:00+00:00,1586678400000.0,0.0
68,1.773,1.773,1.7385,1.763,2020-04-12T09:00:00+00:00,1586682000000.0,0.0
69,1.762,1.773,1.7585,1.773,2020-04-12T10:00:00+00:00,1586685600000.0,0.0
70,1.747,1.773,1.7425,1.762,2020-04-12T11:00:00+00:00,1586689200000.0,296.61245
71,1.634,1.747,1.5845,1.747,2020-04-12T12:00:00+00:00,1586692800000.0,0.0
72,1.599,1.634,1.597,1.634,2020-04-12T13:00:00+00:00,1586696400000.0,0.0
73,1.5365,1.6105,1.5365,1.599,2020-04-12T14:00:00+00:00,1586700000000.0,4.3022
74,1.5,1.5505,1.5,1.5365,2020-04-12T15:00:00+00:00,1586703600000.0,124.3899
75,1.4125,1.5,1.386,1.4965,2020-04-12T16:00:00+00:00,1586707200000.0,399.90855
76,1.308,1.4235,1.292,1.4065,2020-04-12T17:00:00+00:00,1586710800000.0,2209.223
77,1.3165,1.355,1.3005,1.312,2020-04-12T18:00:00+00:00,1586714400000.0,640.2406
78,1.3145,1.3455,1.292,1.3165,2020-04-12T19:00:00+00:00,1586718000000.0,666.83425
79,1.3,1.3145,1.29,1.3145,2020-04-12T20:00:00+00:00,1586721600000.0,418.39245
80,1.3235,1.328,1.3,1.3,2020-04-12T21:00:00+00:00,1586725200000.0,1600.68885
81,1.4545,1.4635,1.318,1.3235,2020-04-12T22:00:00+00:00,1586728800000.0,3111.1674
82,1.53,1.53,1.4515,1.4545,2020-04-12T23:00:00+00:00,1586732400000.0,1629.31795
83,1.671,1.838,1.53,1.53,2020-04-13T00:00:00+00:00,1586736000000.0,2526.6698
84,1.7095,1.722,1.6705,1.671,2020-04-13T01:00:00+00:00,1586739600000.0,898.34385
85,1.7065,1.7405,1.705,1.7095,2020-04-13T02:00:00+00:00,1586743200000.0,873.93615
86,1.713,1.721,1.7065,1.7065,2020-04-13T03:00:00+00:00,1586746800000.0,0.0
87,1.749,1.7525,1.713,1.713,2020-04-13T04:00:00+00:00,1586750400000.0,8.745
88,1.718,1.77,1.7165,1.749,2020-04-13T05:00:00+00:00,1586754000000.0,220.4433
89,1.6515,1.718,1.6515,1.718,2020-04-13T06:00:00+00:00,1586757600000.0,2054.14755
90,1.681,1.692,1.6515,1.6515,2020-04-13T07:00:00+00:00,1586761200000.0,406.3778
91,1.676,1.689,1.6635,1.681,2020-04-13T08:00:00+00:00,1586764800000.0,0.0
92,1.6895,1.713,1.6635,1.676,2020-04-13T09:00:00+00:00,1586768400000.0,298.65555
93,1.697,1.702,1.663,1.6895,2020-04-13T10:00:00+00:00,1586772000000.0,132.1723
94,1.617,1.699,1.5975,1.697,2020-04-13T11:00:00+00:00,1586775600000.0,103.8375
95,1.693,1.738,1.617,1.617,2020-04-13T12:00:00+00:00,1586779200000.0,313.06185
96,1.7835,1.799,1.691,1.693,2020-04-13T13:00:00+00:00,1586782800000.0,2.625
97,1.7175,1.792,1.7175,1.7835,2020-04-13T14:00:00+00:00,1586786400000.0,64.9215
98,1.6725,1.7175,1.6725,1.7175,2020-04-13T15:00:00+00:00,1586790000000.0,72.75775
99,1.6725,1.68,1.6725,1.6725,2020-04-13T16:00:00+00:00,1586793600000.0,0.0
100,1.68,1.6815,1.6725,1.6725,2020-04-13T17:00:00+00:00,1586797200000.0,0.0
101,1.678,1.6875,1.6725,1.68,2020-04-13T18:00:00+00:00,1586800800000.0,0.0
102,1.6735,1.6865,1.6725,1.678,2020-04-13T19:00:00+00:00,1586804400000.0,0.0
103,1.6555,1.6735,1.654,1.6735,2020-04-13T20:00:00+00:00,1586808000000.0,0.0
104,1.618,1.656,1.605,1.6555,2020-04-13T21:00:00+00:00,1586811600000.0,49.9155
105,1.6025,1.6315,1.602,1.618,2020-04-13T22:00:00+00:00,1586815200000.0,0.0
106,1.594,1.605,1.582,1.6025,2020-04-13T23:00:00+00:00,1586818800000.0,0.0
107,1.602,1.6145,1.5455,1.594,2020-04-14T00:00:00+00:00,1586822400000.0,185.20705
108,1.5685,1.625,1.5545,1.602,2020-04-14T01:00:00+00:00,1586826000000.0,377.92
109,1.589,1.6,1.5585,1.5685,2020-04-14T02:00:00+00:00,1586829600000.0,0.0
110,1.5405,1.5965,1.524,1.589,2020-04-14T03:00:00+00:00,1586833200000.0,0.0
111,1.5465,1.5575,1.5115,1.5405,2020-04-14T04:00:00+00:00,1586836800000.0,0.0
112,1.5435,1.5525,1.523,1.5465,2020-04-14T05:00:00+00:00,1586840400000.0,0.0
113,1.55,1.558,1.526,1.5435,2020-04-14T06:00:00+00:00,1586844000000.0,739.195
114,1.584,1.5875,1.537,1.55,2020-04-14T07:00:00+00:00,1586847600000.0,311.55
115,1.634,1.654,1.577,1.584,2020-04-14T08:00:00+00:00,1586851200000.0,29.00145
116,1.6115,1.6385,1.6115,1.634,2020-04-14T09:00:00+00:00,1586854800000.0,25.94515
117,1.6255,1.6295,1.609,1.6115,2020-04-14T10:00:00+00:00,1586858400000.0,382.644
118,1.651,1.651,1.62,1.6255,2020-04-14T11:00:00+00:00,1586862000000.0,232.791
119,1.631,1.651,1.626,1.651,2020-04-14T12:00:00+00:00,1586865600000.0,0.0
120,1.565,1.6395,1.551,1.631,2020-04-14T13:00:00+00:00,1586869200000.0,0.0
121,1.564,1.6035,1.5015,1.565,2020-04-14T14:00:00+00:00,1586872800000.0,0.0
122,1.5325,1.587,1.5255,1.564,2020-04-14T15:00:00+00:00,1586876400000.0,1.5325
123,1.5325,1.5385,1.5245,1.5325,2020-04-14T16:00:00+00:00,1586880000000.0,0.0
124,1.5245,1.5325,1.5135,1.5325,2020-04-14T17:00:00+00:00,1586883600000.0,0.0
125,1.515,1.5325,1.5035,1.5245,2020-04-14T18:00:00+00:00,1586887200000.0,109.989
126,1.543,1.5695,1.515,1.515,2020-04-14T19:00:00+00:00,1586890800000.0,112.893
127,1.555,1.5675,1.5335,1.543,2020-04-14T20:00:00+00:00,1586894400000.0,0.0
128,1.577,1.577,1.555,1.555,2020-04-14T21:00:00+00:00,1586898000000.0,469.3152
129,1.512,1.577,1.512,1.577,2020-04-14T22:00:00+00:00,1586901600000.0,449.9712
130,1.5165,1.5265,1.51,1.512,2020-04-14T23:00:00+00:00,1586905200000.0,114.64015
131,1.5265,1.5265,1.5165,1.5165,2020-04-15T00:00:00+00:00,1586908800000.0,0.0
132,1.365,1.5265,1.365,1.5265,2020-04-15T01:00:00+00:00,1586912400000.0,99.905
