,close,high,low,open,startTime,time,volume
0,18.845,19.135,18.16,18.205,2020-04-09T15:00:00+00:00,1586444400000.0,13169.28345
1,18.62,18.955,18.6,18.845,2020-04-09T16:00:00+00:00,1586448000000.0,5078.503
2,18.695,18.84,18.13,18.62,2020-04-09T17:00:00+00:00,1586451600000.0,7054.02145
3,19.61,19.93,18.685,18.685,2020-04-09T18:00:00+00:00,1586455200000.0,11570.9335
4,19.33,20.2,19.31,19.615,2020-04-09T19:00:00+00:00,1586458800000.0,13681.9547
5,18.5,19.575,18.5,19.33,2020-04-09T20:00:00+00:00,1586462400000.0,6462.64605
6,18.385,19.0,18.22,18.5,2020-04-09T21:00:00+00:00,1586466000000.0,8332.2095
7,18.61,18.685,18.285,18.385,2020-04-09T22:00:00+00:00,1586469600000.0,5328.0205
8,18.825,18.865,18.475,18.61,2020-04-09T23:00:00+00:00,1586473200000.0,2153.735
9,18.715,19.355,18.665,18.825,2020-04-10T00:00:00+00:00,1586476800000.0,8432.72975
10,19.26,19.38,18.715,18.715,2020-04-10T01:00:00+00:00,1586480400000.0,20788.75415
11,19.645,20.615,19.215,19.26,2020-04-10T02:00:00+00:00,1586484000000.0,10930.2322
12,20.67,21.18,19.5,19.645,2020-04-10T03:00:00+00:00,1586487600000.0,13593.01355
13,20.225,22.13,20.02,20.67,2020-04-10T04:00:00+00:00,1586491200000.0,26147.37815
14,21.9,22.535,20.225,20.225,2020-04-10T05:00:00+00:00,1586494800000.0,42615.7459
15,21.435,22.11,20.49,21.9,2020-04-10T06:00:00+00:00,1586498400000.0,26743.38345
16,22.55,23.07,21.435,21.435,2020-04-10T07:00:00+00:00,1586502000000.0,35356.08315
17,23.16,23.3,22.51,22.55,2020-04-10T08:00:00+00:00,1586505600000.0,16646.559
18,23.765,24.42,23.16,23.16,2020-04-10T09:00:00+00:00,1586509200000.0,30812.1512
19,22.66,24.325,22.21,23.765,2020-04-10T10:00:00+00:00,1586512800000.0,12591.1547
20,23.505,23.595,22.66,22.66,2020-04-10T11:00:00+00:00,1586516400000.0,15325.264
21,22.655,23.69,22.655,23.505,2020-04-10T12:00:00+00:00,1586520000000.0,14221.62475
22,23.47,24.31,22.655,22.655,2020-04-10T13:00:00+00:00,1586523600000.0,27206.4998
23,24.115,24.17,23.23,23.47,2020-04-10T14:00:00+00:00,1586527200000.0,30619.4778
24,26.0,26.445,24.105,24.115,2020-04-10T15:00:00+00:00,1586530800000.0,36943.70815
25,24.26,26.46,24.26,26.0,2020-04-10T16:00:00+00:00,1586534400000.0,38414.10185
26,23.645,24.425,23.065,24.26,2020-04-10T17:00:00+00:00,1586538000000.0,34759.36025
27,23.295,24.405,23.295,23.645,2020-04-10T18:00:00+00:00,1586541600000.0,15308.6333
28,23.645,24.39,22.4,23.295,2020-04-10T19:00:00+00:00,1586545200000.0,10554.5605
29,23.405,23.88,23.315,23.645,2020-04-10T20:00:00+00:00,1586548800000.0,10790.0317
30,24.01,24.02,23.055,23.405,2020-04-10T21:00:00+00:00,1586552400000.0,4803.0675
31,23.825,24.335,23.34,24.01,2020-04-10T22:00:00+00:00,1586556000000.0,32432.69685
32,24.31,24.53,23.305,23.825,2020-04-10T23:00:00+00:00,1586559600000.0,30250.54465
33,23.14,24.38,22.97,24.31,2020-04-11T00:00:00+00:00,1586563200000.0,16695.1841
34,22.76,23.57,22.76,23.14,2020-04-11T01:00:00+00:00,1586566800000.0,9525.8683
35,21.66,22.81,21.51,22.76,2020-04-11T02:00:00+00:00,1586570400000.0,2126.2631
36,20.61,22.11,20.35,21.66,2020-04-11T03:00:00+00:00,1586574000000.0,16763.5131
37,20.63,20.86,19.31,20.61,2020-04-11T04:00:00+00:00,1586577600000.0,5628.4106
38,19.92,20.95,19.9,20.63,2020-04-11T05:00:00+00:00,1586581200000.0,26.4803
39,20.03,20.39,19.48,19.92,2020-04-11T06:00:00+00:00,1586584800000.0,8828.6414
40,21.0,21.97,20.0,20.03,2020-04-11T07:00:00+00:00,1586588400000.0,10654.676
41,21.27,21.53,20.56,21.0,2020-04-11T08:00:00+00:00,1586592000000.0,2428.6764
42,21.91,23.0,21.03,21.27,2020-04-11T09:00:00+00:00,1586595600000.0,13597.9784
43,22.16,22.66,21.5,21.91,2020-04-11T10:00:00+00:00,1586599200000.0,7011.8352
44,21.07,22.29,21.07,22.18,2020-04-11T11:00:00+00:00,1586602800000.0,4702.3259
45,21.33,21.75,20.7,21.07,2020-04-11T12:00:00+00:00,1586606400000.0,2768.578
46,21.47,21.48,21.18,21.33,2020-04-11T13:00:00+00:00,1586610000000.0,2563.0914
47,23.36,23.45,21.47,21.47,2020-04-11T14:00:00+00:00,1586613600000.0,14808.1326
48,21.56,23.36,21.48,23.36,2020-04-11T15:00:00+00:00,1586617200000.0,10553.8301
49,22.14,22.76,20.68,21.56,2020-04-11T16:00:00+00:00,1586620800000.0,10500.0967
50,22.63,22.76,21.93,22.14,2020-04-11T17:00:00+00:00,1586624400000.0,15175.0498
51,23.06,23.4,22.63,22.63,2020-04-11T18:00:00+00:00,1586628000000.0,8408.149
52,23.84,24.19,22.35,23.06,2020-04-11T19:00:00+00:00,1586631600000.0,14087.8186
53,24.47,24.84,23.84,23.84,2020-04-11T20:00:00+00:00,1586635200000.0,15596.4245
54,22.39,24.66,22.1,24.47,2020-04-11T21:00:00+00:00,1586638800000.0,8870.6254
55,22.43,22.71,21.78,22.39,2020-04-11T22:00:00+00:00,1586642400000.0,12387.5336
56,21.755,23.02,21.67,22.43,2020-04-11T23:00:00+00:00,1586646000000.0,13283.8686
57,22.635,22.825,21.095,21.755,2020-04-12T00:00:00+00:00,1586649600000.0,21633.62765
58,22.87,23.09,22.36,22.67,2020-04-12T01:00:00+00:00,1586653200000.0,6748.99365
59,23.37,24.25,22.805,22.87,2020-04-12T02:00:00+00:00,1586656800000.0,15195.14325
60,23.525,23.67,23.16,23.37,2020-04-12T03:00:00+00:00,1586660400000.0,2443.42355
61,23.8,23.955,23.45,23.54,2020-04-12T04:00:00+00:00,1586664000000.0,9569.5735
62,22.57,23.8,22.225,23.8,2020-04-12T05:00:00+00:00,1586667600000.0,1939.73195
63,23.045,23.08,22.515,22.57,2020-04-12T06:00:00+00:00,1586671200000.0,2013.7692
64,22.81,23.05,22.75,23.045,2020-04-12T07:00:00+00:00,1586674800000.0,162.7547
65,22.675,22.81,22.445,22.81,2020-04-12T08:00:00+00:00,1586678400000.0,4125.754
66,22.45,22.675,22.01,22.675,2020-04-12T09:00:00+00:00,1586682000000.0,5249.3688
67,22.855,22.91,22.36,22.45,2020-04-12T10:00:00+00:00,1586685600000.0,261.9927
68,22.39,22.855,22.025,22.855,2020-04-12T11:00:00+00:00,1586689200000.0,2789.33175
69,21.35,22.415,21.195,22.39,2020-04-12T12:00:00+00:00,1586692800000.0,1512.50685
70,21.195,21.635,21.09,21.35,2020-04-12T13:00:00+00:00,1586696400000.0,250.84915
71,20.385,21.245,19.55,21.195,2020-04-12T14:00:00+00:00,1586700000000.0,4519.9174
72,20.055,20.385,19.85,20.385,2020-04-12T15:00:00+00:00,1586703600000.0,4384.1255
73,19.15,20.055,19.15,20.055,2020-04-12T16:00:00+00:00,1586707200000.0,7561.26055
74,19.79,20.415,18.955,19.15,2020-04-12T17:00:00+00:00,1586710800000.0,8661.5516
75,19.995,20.325,19.025,19.79,2020-04-12T18:00:00+00:00,1586714400000.0,8096.0119
76,19.46,20.12,19.385,20.01,2020-04-12T19:00:00+00:00,1586718000000.0,2257.9095
77,20.09,20.195,19.17,19.46,2020-04-12T20:00:00+00:00,1586721600000.0,2524.73955
78,19.785,20.39,19.585,20.09,2020-04-12T21:00:00+00:00,1586725200000.0,1312.3235
79,20.63,21.45,19.58,19.785,2020-04-12T22:00:00+00:00,1586728800000.0,7907.50505
80,20.725,20.745,19.975,20.58,2020-04-12T23:00:00+00:00,1586732400000.0,4651.943
81,22.725,23.045,20.725,20.725,2020-04-13T00:00:00+00:00,1586736000000.0,8044.01915
82,22.93,23.925,22.555,22.725,2020-04-13T01:00:00+00:00,1586739600000.0,6040.35125
83,23.03,23.46,22.93,22.93,2020-04-13T02:00:00+00:00,1586743200000.0,5524.40265
84,23.735,23.85,22.98,23.03,2020-04-13T03:00:00+00:00,1586746800000.0,6544.57985
85,23.56,23.83,23.365,23.735,2020-04-13T04:00:00+00:00,1586750400000.0,2769.1141
86,23.325,23.595,23.08,23.56,2020-04-13T05:00:00+00:00,1586754000000.0,140.20845
87,22.43,23.47,22.43,23.325,2020-04-13T06:00:00+00:00,1586757600000.0,683.92195
88,23.19,23.45,22.35,22.43,2020-04-13T07:00:00+00:00,1586761200000.0,1220.77415
89,23.165,23.615,22.87,23.19,2020-04-13T08:00:00+00:00,1586764800000.0,1266.42625
90,23.565,23.84,22.925,23.165,2020-04-13T09:00:00+00:00,1586768400000.0,878.38605
91,22.88,23.575,22.88,23.565,2020-04-13T10:00:00+00:00,1586772000000.0,1166.8724
92,22.67,23.33,22.145,22.88,2020-04-13T11:00:00+00:00,1586775600000.0,9808.73905
93,23.45,23.89,22.67,22.67,2020-04-13T12:00:00+00:00,1586779200000.0,6889.2788
94,24.33,24.33,23.335,23.45,2020-04-13T13:00:00+00:00,1586782800000.0,3227.3052
95,23.785,24.33,23.4,24.33,2020-04-13T14:00:00+00:00,1586786400000.0,6535.77045
96,23.455,23.795,23.365,23.785,2020-04-13T15:00:00+00:00,1586790000000.0,2831.6326
97,23.705,23.885,23.455,23.455,2020-04-13T16:00:00+00:00,1586793600000.0,509.9249
98,23.725,23.83,23.61,23.705,2020-04-13T17:00:00+00:00,1586797200000.0,49.8225
99,23.265,23.94,22.725,23.725,2020-04-13T18:00:00+00:00,1586800800000.0,823.5252
100,23.225,23.33,22.855,23.265,2020-04-13T19:00:00+00:00,1586804400000.0,917.9236
101,22.825,23.225,22.46,23.225,2020-04-13T20:00:00+00:00,1586808000000.0,7823.7557
102,22.8,22.91,22.29,22.825,2020-04-13T21:00:00+00:00,1586811600000.0,6027.78575
103,22.515,22.8,22.27,22.8,2020-04-13T22:00:00+00:00,1586815200000.0,3624.957
104,22.78,22.865,22.325,22.515,2020-04-13T23:00:00+00:00,1586818800000.0,2620.9944
105,23.055,23.27,22.375,22.78,2020-04-14T00:00:00+00:00,1586822400000.0,0.0
106,22.75,23.605,22.75,23.055,2020-04-14T01:00:00+00:00,1586826000000.0,1436.492
107,23.125,23.125,22.75,22.75,2020-04-14T02:00:00+00:00,1586829600000.0,159.33125
108,22.655,23.25,22.535,23.125,2020-04-14T03:00:00+00:00,1586833200000.0,507.485
109,22.425,22.79,22.425,22.655,2020-04-14T04:00:00+00:00,1586836800000.0,340.63575
110,22.615,22.68,22.425,22.425,2020-04-14T05:00:00+00:00,1586840400000.0,0.0
111,22.83,22.965,22.52,22.615,2020-04-14T06:00:00+00:00,1586844000000.0,0.0
112,23.31,23.425,22.445,22.83,2020-04-14T07:00:00+00:00,1586847600000.0,1161.57
113,23.645,23.835,23.31,23.31,2020-04-14T08:00:00+00:00,1586851200000.0,1655.1822
114,22.82,23.71,22.79,23.645,2020-04-14T09:00:00+00:00,1586854800000.0,9832.9681
115,23.25,23.25,22.82,22.82,2020-04-14T10:00:00+00:00,1586858400000.0,45.7281
116,22.985,23.25,22.975,23.25,2020-04-14T11:00:00+00:00,1586862000000.0,0.0
117,23.06,23.31,22.87,22.985,2020-04-14T12:00:00+00:00,1586865600000.0,809.5689
118,22.545,23.08,22.44,23.06,2020-04-14T13:00:00+00:00,1586869200000.0,1347.1271
119,22.085,22.59,21.615,22.545,2020-04-14T14:00:00+00:00,1586872800000.0,2912.69425
120,21.88,22.345,21.685,22.085,2020-04-14T15:00:00+00:00,1586876400000.0,590.5425
121,21.0,22.095,20.885,21.88,2020-04-14T16:00:00+00:00,1586880000000.0,709.348
122,21.365,21.365,20.785,21.0,2020-04-14T17:00:00+00:00,1586883600000.0,1395.1737
123,21.25,21.38,20.965,21.365,2020-04-14T18:00:00+00:00,1586887200000.0,0.0
124,21.92,22.01,21.25,21.25,2020-04-14T19:00:00+00:00,1586890800000.0,168.784
125,22.52,22.595,21.82,21.92,2020-04-14T20:00:00+00:00,1586894400000.0,390.28915
126,22.52,22.845,22.41,22.52,2020-04-14T21:00:00+00:00,1586898000000.0,0.0
127,22.295,22.59,21.91,22.52,2020-04-14T22:00:00+00:00,1586901600000.0,105.703
128,22.375,22.52,22.215,22.295,2020-04-14T23:00:00+00:00,1586905200000.0,181.0324
129,22.745,22.92,22.375,22.375,2020-04-15T00:00:00+00:00,1586908800000.0,1958.72275
130,22.5,22.745,22.485,22.745,2020-04-15T01:00:00+00:00,1586912400000.0,0.0
131,21.565,22.685,21.525,22.5,2020-04-15T02:00:00+00:00,1586916000000.0,372.9381
132,21.63,21.645,21.565,21.565,2020-04-15T03:00:00+00:00,1586919600000.0,0.0
133,21.875,21.875,21.585,21.63,2020-04-15T04:00:00+00:00,1586923200000.0,19.9962
134,21.735,22.04,21.735,21.875,2020-04-15T05:00:00+00:00,1586926800000.0,0.0
135,21.84,21.86,21.7,21.735,2020-04-15T06:00:00+00:00,1586930400000.0,0.0
136,21.945,22.005,21.735,21.84,2020-04-15T07:00:00+00:00,1586934000000.0,0.0
137,22.065,22.275,21.735,21.945,2020-04-15T08:00:00+00:00,1586937600000.0,19.845
138,22.44,22.59,22.06,22.065,2020-04-15T09:00:00+00:00,1586941200000.0,0.0
139,23.005,23.395,22.275,22.44,2020-04-15T10:00:00+00:00,1586944800000.0,1745.6935
140,22.765,23.26,22.75,23.005,2020-04-15T11:00:00+00:00,1586948400000.0,436.66435
141,23.915,24.125,22.765,22.765,2020-04-15T12:00:00+00:00,1586952000000.0,682.73765
142,23.67,24.31,23.36,23.915,2020-04-15T13:00:00+00:00,1586955600000.0,4539.61275
143,23.445,23.84,23.165,23.67,2020-04-15T14:00:00+00:00,1586959200000.0,408.39895
144,24.025,24.025,23.165,23.445,2020-04-15T15:00:00+00:00,1586962800000.0,512.423
145,23.855,24.395,23.67,24.025,2020-04-15T16:00:00+00:00,1586966400000.0,3318.20135
146,23.44,23.935,23.4,23.855,2020-04-15T17:00:00+00:00,1586970000000.0,96.5934
147,23.07,23.445,22.69,23.44,2020-04-15T18:00:00+00:00,1586973600000.0,1073.9784
148,23.52,23.565,22.88,23.07,2020-04-15T19:00:00+00:00,1586977200000.0,0.0
149,23.23,23.805,22.945,23.52,2020-04-15T20:00:00+00:00,1586980800000.0,0.0
150,22.775,23.23,22.745,23.23,2020-04-15T21:00:00+00:00,1586984400000.0,0.0
151,23.175,23.37,22.77,22.775,2020-04-15T22:00:00+00:00,1586988000000.0,0.0
152,24.06,24.25,23.05,23.175,2020-04-15T23:00:00+00:00,1586991600000.0,457.2155
153,25.01,26.13,24.06,24.06,2020-04-16T00:00:00+00:00,1586995200000.0,8333.74315
154,24.09,25.17,23.74,25.01,2020-04-16T01:00:00+00:00,1586998800000.0,1091.6288
155,23.73,24.16,23.68,24.09,2020-04-16T02:00:00+00:00,1587002400000.0,1347.75
156,23.2,23.98,23.2,23.73,2020-04-16T03:00:00+00:00,1587006000000.0,225.13
157,23.95,24.07,22.6,23.2,2020-04-16T04:00:00+00:00,1587009600000.0,5542.1029
158,23.53,23.95,23.24,23.95,2020-04-16T05:00:00+00:00,1587013200000.0,0.0
159,22.94,23.6,22.84,23.53,2020-04-16T06:00:00+00:00,1587016800000.0,10.0892
160,21.94,22.94,21.35,22.94,2020-04-16T07:00:00+00:00,1587020400000.0,1704.578
161,19.89,21.94,19.53,21.94,2020-04-16T08:00:00+00:00,1587024000000.0,3983.9141
162,19.69,19.895,19.165,19.89,2020-04-16T09:00:00+00:00,1587027600000.0,664.493
163,20.16,20.37,19.37,19.69,2020-04-16T10:00:00+00:00,1587031200000.0,1812.0511
164,19.71,20.22,19.595,20.16,2020-04-16T11:00:00+00:00,1587034800000.0,482.4255
165,19.37,20.295,19.31,19.71,2020-04-16T12:00:00+00:00,1587038400000.0,812.24345
166,20.225,20.27,19.195,19.37,2020-04-16T13:00:00+00:00,1587042000000.0,10028.63455
167,19.68,20.225,19.67,20.225,2020-04-16T14:00:00+00:00,1587045600000.0,808.0327
168,18.52,19.71,18.485,19.68,2020-04-16T15:00:00+00:00,1587049200000.0,73.1381
169,18.07,18.77,17.585,18.52,2020-04-16T16:00:00+00:00,1587052800000.0,3818.68785
170,18.205,18.835,17.975,18.07,2020-04-16T17:00:00+00:00,1587056400000.0,382.8435
171,17.77,18.295,17.665,18.205,2020-04-16T18:00:00+00:00,1587060000000.0,0.0
172,17.205,18.02,17.0,17.77,2020-04-16T19:00:00+00:00,1587063600000.0,493.316
173,17.645,18.31,17.205,17.205,2020-04-16T20:00:00+00:00,1587067200000.0,4639.7295
174,17.435,17.97,17.37,17.645,2020-04-16T21:00:00+00:00,1587070800000.0,1756.151
175,15.91,17.435,15.91,17.435,2020-04-16T22:00:00+00:00,1587074400000.0,5466.47245
176,16.445,16.785,15.765,15.91,2020-04-16T23:00:00+00:00,1587078000000.0,8978.86815
177,16.32,16.65,15.995,16.445,2020-04-17T00:00:00+00:00,1587081600000.0,3300.2996
178,15.98,16.34,15.67,16.32,2020-04-17T01:00:00+00:00,1587085200000.0,3745.59455
179,16.365,16.51,15.98,15.98,2020-04-17T02:00:00+00:00,1587088800000.0,458.476
180,16.385,16.625,16.365,16.365,2020-04-17T03:00:00+00:00,1587092400000.0,4.9725
181,17.31,17.5,16.385,16.385,2020-04-17T04:00:00+00:00,1587096000000.0,3275.316
182,16.655,17.31,16.58,17.31,2020-04-17T05:00:00+00:00,1587099600000.0,3138.11315
183,16.395,17.23,16.385,16.655,2020-04-17T06:00:00+00:00,1587103200000.0,1974.2575
184,16.585,16.605,16.275,16.395,2020-04-17T07:00:00+00:00,1587106800000.0,641.8837
185,16.24,16.615,16.22,16.585,2020-04-17T08:00:00+00:00,1587110400000.0,647.7813
186,15.445,16.24,15.445,16.24,2020-04-17T09:00:00+00:00,1587114000000.0,276.07595
187,15.935,16.045,15.445,15.445,2020-04-17T10:00:00+00:00,1587117600000.0,784.179
188,16.16,16.27,15.82,15.935,2020-04-17T11:00:00+00:00,1587121200000.0,144.3485
189,15.96,16.27,15.96,16.16,2020-04-17T12:00:00+00:00,1587124800000.0,3202.18475
190,16.39,16.85,15.7,15.96,2020-04-17T13:00:00+00:00,1587128400000.0,3968.8763
191,16.97,16.97,16.34,16.39,2020-04-17T14:00:00+00:00,1587132000000.0,111.375
192,16.575,17.02,16.49,16.97,2020-04-17T15:00:00+00:00,1587135600000.0,723.988
193,16.265,16.61,16.195,16.575,2020-04-17T16:00:00+00:00,1587139200000.0,0.0
194,16.325,16.4,16.065,16.265,2020-04-17T17:00:00+00:00,1587142800000.0,146.965
195,16.45,16.62,16.15,16.325,2020-04-17T18:00:00+00:00,1587146400000.0,0.0
196,16.445,16.695,16.265,16.45,2020-04-17T19:00:00+00:00,1587150000000.0,68.4495
197,16.745,16.745,16.27,16.445,2020-04-17T20:00:00+00:00,1587153600000.0,518.7116
198,16.975,16.995,16.625,16.745,2020-04-17T21:00:00+00:00,1587157200000.0,0.0
199,16.925,17.03,16.745,16.975,2020-04-17T22:00:00+00:00,1587160800000.0,38.87275
200,16.835,16.975,16.135,16.925,2020-04-17T23:00:00+00:00,1587164400000.0,6297.77815
201,16.605,16.885,16.565,16.835,2020-04-18T00:00:00+00:00,1587168000000.0,549.843
202,16.445,16.605,16.37,16.605,2020-04-18T01:00:00+00:00,1587171600000.0,0.0
203,16.145,16.445,16.03,16.445,2020-04-18T02:00:00+00:00,1587175200000.0,303.526
204,16.145,16.145,16.03,16.145,2020-04-18T03:00:00+00:00,1587178800000.0,0.0
205,16.145,16.145,16.0,16.145,2020-04-18T04:00:00+00:00,1587182400000.0,0.0
206,15.78,16.145,15.665,16.145,2020-04-18T05:00:00+00:00,1587186000000.0,0.0
207,15.985,15.995,15.595,15.78,2020-04-18T06:00:00+00:00,1587189600000.0,6209.7335
208,15.705,15.985,15.69,15.985,2020-04-18T07:00:00+00:00,1587193200000.0,94.6441
209,15.815,15.855,15.565,15.705,2020-04-18T08:00:00+00:00,1587196800000.0,83.87295
210,15.815,15.815,15.605,15.815,2020-04-18T09:00:00+00:00,1587200400000.0,171.43075
211,16.075,16.215,15.815,15.815,2020-04-18T10:00:00+00:00,1587204000000.0,1052.37025
212,15.835,16.085,15.75,16.075,2020-04-18T11:00:00+00:00,1587207600000.0,2734.9221
213,15.595,15.86,15.575,15.835,2020-04-18T12:00:00+00:00,1587211200000.0,206.40455
214,13.05,15.595,12.845,15.595,2020-04-18T13:00:00+00:00,1587214800000.0,5396.0187
215,13.035,13.32,12.565,13.05,2020-04-18T14:00:00+00:00,1587218400000.0,2771.1327
216,12.015,13.035,11.695,13.035,2020-04-18T15:00:00+00:00,1587222000000.0,6906.7363
217,12.5,12.92,11.835,12.015,2020-04-18T16:00:00+00:00,1587225600000.0,8523.87615
218,12.655,12.77,12.355,12.5,2020-04-18T17:00:00+00:00,1587229200000.0,2775.24505
219,12.765,12.855,12.565,12.655,2020-04-18T18:00:00+00:00,1587232800000.0,964.5131
220,12.075,12.78,11.68,12.765,2020-04-18T19:00:00+00:00,1587236400000.0,21781.74355
221,11.92,12.35,11.875,12.075,2020-04-18T20:00:00+00:00,1587240000000.0,1242.86035
222,11.875,12.155,11.405,11.92,2020-04-18T21:00:00+00:00,1587243600000.0,10618.2654
223,11.165,11.875,10.785,11.875,2020-04-18T22:00:00+00:00,1587247200000.0,12294.3371
224,11.675,11.95,10.815,11.165,2020-04-18T23:00:00+00:00,1587250800000.0,56269.5374
225,11.305,11.95,11.295,11.675,2020-04-19T00:00:00+00:00,1587254400000.0,29264.09385
226,11.385,11.605,11.295,11.305,2020-04-19T01:00:00+00:00,1587258000000.0,10971.4867
227,11.105,11.545,10.99,11.385,2020-04-19T02:00:00+00:00,1587261600000.0,8798.41755
228,11.305,11.33,11.095,11.105,2020-04-19T03:00:00+00:00,1587265200000.0,5677.4472
229,11.545,11.545,11.3,11.305,2020-04-19T04:00:00+00:00,1587268800000.0,16300.42285
230,12.595,12.9,11.445,11.545,2020-04-19T05:00:00+00:00,1587272400000.0,29015.69935
231,11.745,12.65,11.675,12.595,2020-04-19T06:00:00+00:00,1587276000000.0,21372.83545
232,11.855,11.915,11.685,11.745,2020-04-19T07:00:00+00:00,1587279600000.0,6171.01795
233,12.06,12.365,11.855,11.855,2020-04-19T08:00:00+00:00,1587283200000.0,14010.5246
234,11.97,12.245,11.955,12.06,2020-04-19T09:00:00+00:00,1587286800000.0,5245.40945
235,12.005,12.04,11.835,11.97,2020-04-19T10:00:00+00:00,1587290400000.0,1234.7267
236,11.9,12.185,11.855,12.005,2020-04-19T11:00:00+00:00,1587294000000.0,8162.2187
237,11.93,12.055,11.795,11.9,2020-04-19T12:00:00+00:00,1587297600000.0,3882.9205
238,12.7,12.795,11.93,11.93,2020-04-19T13:00:00+00:00,1587301200000.0,25141.1006
239,12.345,13.23,12.305,12.7,2020-04-19T14:00:00+00:00,1587304800000.0,8651.11605
240,12.65,12.66,12.28,12.345,2020-04-19T15:00:00+00:00,1587308400000.0,15847.855
241,12.295,12.875,12.225,12.65,2020-04-19T16:00:00+00:00,1587312000000.0,6963.57885
242,11.815,12.3,11.715,12.295,2020-04-19T17:00:00+00:00,1587315600000.0,2372.6286
243,12.0,12.165,11.815,11.815,2020-04-19T18:00:00+00:00,1587319200000.0,2118.0725
244,12.475,12.595,11.95,12.0,2020-04-19T19:00:00+00:00,1587322800000.0,2322.6233
245,12.485,12.72,12.475,12.475,2020-04-19T20:00:00+00:00,1587326400000.0,21086.16585
246,12.16,12.485,12.155,12.485,2020-04-19T21:00:00+00:00,1587330000000.0,3710.8778
247,12.065,12.395,12.0,12.16,2020-04-19T22:00:00+00:00,1587333600000.0,4949.02575
248,12.685,12.69,12.0,12.065,2020-04-19T23:00:00+00:00,1587337200000.0,1852.0025
249,12.1,12.995,12.065,12.685,2020-04-20T00:00:00+00:00,1587340800000.0,4671.8623
