,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,1.81e-06,1557970453,1.81e-06,1.81e-06,1.81e-06,0.0,0.0,1.81e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,1.7e-06,1557972000,1.82e-06,1.68e-06,1.8e-06,6442515.0267345,11.2333421,1.74e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,1.68e-06,1557979200,1.72e-06,1.65e-06,1.71e-06,5416168.1289634,9.08663745,1.67e-06,6.773326516666667,-99999.0,-99999.0,1.7300000000000002e-06,-99999.0,-99999.0
3,1.69e-06,1557986400,1.74e-06,1.68e-06,1.68e-06,3042260.3365156,5.20226592,1.71e-06,8.507415156666667,-99999.0,-99999.0,1.6900000000000001e-06,-99999.0,-99999.0
4,1.69e-06,1557993600,1.72e-06,1.68e-06,1.71e-06,604921.74720335,1.02558272,1.69e-06,5.104828696666667,-99999.0,-99999.0,1.6866666666666669e-06,-99999.0,-99999.0
5,1.66e-06,1558000800,1.69e-06,1.63e-06,1.68e-06,1251565.818565,2.07678604,1.65e-06,2.7682115600000006,-99999.0,-99999.0,1.6800000000000002e-06,-99999.0,-99999.0
6,1.61e-06,1558008000,1.69e-06,1.52e-06,1.66e-06,4991855.4124627,7.97410948,1.59e-06,3.692159413333334,-99999.0,-99999.0,1.6533333333333335e-06,-99999.0,-99999.0
7,1.68e-06,1558015200,1.7e-06,1.61e-06,1.61e-06,2345133.0509965,3.92621545,1.67e-06,4.659036990000001,-99999.0,-99999.0,1.6500000000000003e-06,-99999.0,-99999.0
8,1.63e-06,1558022400,1.74e-06,1.63e-06,1.68e-06,3946188.4682204,6.60517084,1.67e-06,6.168498590000001,-99999.0,-99999.0,1.6400000000000004e-06,-99999.0,-99999.0
9,1.65e-06,1558029600,1.66e-06,1.62e-06,1.64e-06,939092.07718546,1.53981452,1.63e-06,4.023733603333334,-99999.0,-99999.0,1.653333333333334e-06,-99999.0,-99999.0
10,1.63e-06,1558036800,1.66e-06,1.61e-06,1.63e-06,1021845.0538479,1.66330279,1.62e-06,3.269429383333334,-99999.0,-99999.0,1.6366666666666672e-06,-99999.0,-99999.0
11,1.72e-06,1558044000,1.73e-06,1.6e-06,1.61e-06,2391661.9890053,4.00482681,1.67e-06,2.402648040000001,-99999.0,-99999.0,1.666666666666667e-06,-99999.0,-99999.0
12,1.64e-06,1558051200,1.72e-06,1.64e-06,1.72e-06,1634878.5556714,2.74116958,1.67e-06,2.8030997266666677,4.390709515384615,-99999.0,1.6633333333333334e-06,1.6761538461538462e-06,-99999.0
