,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high,std_low,std_open
0,3.92e-06,1566326232,3.92e-06,3.92e-06,3.92e-06,0.0,0.0,3.92e-06,0,0,0,0,1.0,1.0,1.0,1.0
1,3.95e-06,1566331200,3.95e-06,3.9e-06,3.91e-06,1453.07759266,0.00569976,3.92e-06,0,0,0,0,1.0,1.0,0.9873417721518987,0.9898734177215188
2,3.89e-06,1566338400,3.95e-06,3.89e-06,3.9e-06,317.00117813,0.0012404,3.91e-06,1,1,0,0,0.9848101265822784,1.0,0.9848101265822784,0.9873417721518987
3,3.95e-06,1566345600,3.96e-06,3.89e-06,3.96e-06,1342.56533512,0.00525118,3.91e-06,0,0,0,0,0.9974747474747475,1.0,0.9823232323232323,1.0
4,3.89e-06,1566352800,3.9e-06,3.89e-06,3.89e-06,700.45276259,0.00272505,3.89e-06,1,1,0,0,0.9974358974358974,1.0,0.9974358974358974,0.9974358974358974
5,3.9e-06,1566360000,3.96e-06,3.9e-06,3.96e-06,272.21487681,0.00106894,3.92e-06,1,1,0,0,0.9848484848484848,1.0,0.9848484848484848,1.0
6,3.89e-06,1566367200,3.89e-06,3.89e-06,3.89e-06,26.0,0.00010114,3.89e-06,1,1,0,0,1.0,1.0,1.0,1.0
7,3.95e-06,1566374400,3.95e-06,3.84e-06,3.88e-06,4038.65467515,0.01576967,3.9e-06,0,0,0,0,1.0,1.0,0.9721518987341771,0.9822784810126581
8,3.93e-06,1566381600,4.05e-06,3.83e-06,3.89e-06,18364.24440551,0.0719127,3.91e-06,0,0,0,0,0.9703703703703702,1.0,0.9456790123456789,0.9604938271604938
9,3.95e-06,1566388800,4.06e-06,3.93e-06,3.93e-06,6491.00189978,0.02610886,4.02e-06,1,0,0,0,0.9729064039408868,1.0,0.9679802955665023,0.9679802955665023
10,3.99e-06,1566396000,4.14e-06,3.95e-06,3.95e-06,6639.14107746,0.02670731,4.02e-06,1,0,0,0,0.9637681159420289,1.0,0.9541062801932367,0.9541062801932367
11,4.1e-06,1566403200,4.1e-06,3.88e-06,3.98e-06,18455.09320803,0.07244289,3.92e-06,0,0,0,0,1.0,1.0,0.9463414634146342,0.9707317073170733
12,4.1e-06,1566410400,4.1e-06,3.97e-06,3.97e-06,3573.11722577,0.01419595,3.97e-06,1,0,0,0,1.0,1.0,0.9682926829268294,0.9682926829268294
13,4.1e-06,1566417600,4.1e-06,4.1e-06,4.1e-06,0.0,0.0,4.1e-06,1,0,0,0,1.0,1.0,1.0,1.0
14,3.94e-06,1566424800,4.02e-06,3.94e-06,3.98e-06,422.96378511,0.00168107,3.97e-06,1,1,1,0,0.9800995024875624,1.0,0.9800995024875624,0.9900497512437811
15,3.95e-06,1566432000,4.02e-06,3.95e-06,4.02e-06,230.15454361,0.00091804,3.98e-06,0,1,1,0,0.982587064676617,1.0,0.982587064676617,1.0
16,4.13e-06,1566439200,4.13e-06,4.02e-06,4.02e-06,1263.98204623,0.0051716,4.09e-06,0,0,0,0,1.0,1.0,0.9733656174334139,0.9733656174334139
