,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high,std_low,std_open
0,3.47e-06,1566326232,3.47e-06,3.47e-06,3.47e-06,0.0,0.0,3.47e-06,0,0,0,0,1.0,1.0,1.0,1.0
1,3.47e-06,1566333432,3.47e-06,3.47e-06,3.47e-06,0.0,0.0,3.47e-06,0,0,0,0,1.0,1.0,1.0,1.0
2,3.49e-06,1566338400,3.49e-06,3.48e-06,3.48e-06,240.49665712,0.00083787,3.48e-06,0,0,0,0,1.0,1.0,0.997134670487106,0.997134670487106
3,3.51e-06,1566345600,3.51e-06,3.51e-06,3.51e-06,37.03703704,0.00013,3.51e-06,1,0,0,0,1.0,1.0,1.0,1.0
4,3.58e-06,1566352800,3.58e-06,3.51e-06,3.51e-06,11480.27255392,0.04084016,3.55e-06,0,0,0,0,1.0,1.0,0.9804469273743016,0.9804469273743016
5,3.57e-06,1566360000,3.57e-06,3.57e-06,3.57e-06,1000.0,0.00357,3.57e-06,1,0,0,0,1.0,1.0,1.0,1.0
6,3.57e-06,1566367200,3.57e-06,3.57e-06,3.57e-06,0.0,0.0,3.57e-06,1,1,0,0,1.0,1.0,1.0,1.0
7,3.67e-06,1566374400,3.67e-06,3.59e-06,3.59e-06,3973.87982447,0.0144251,3.62e-06,0,0,0,0,1.0,1.0,0.9782016348773842,0.9782016348773842
8,3.64e-06,1566381600,3.64e-06,3.64e-06,3.64e-06,1000.0,0.00364,3.64e-06,1,0,0,0,1.0,1.0,1.0,1.0
9,3.64e-06,1566388800,3.64e-06,3.64e-06,3.64e-06,0.0,0.0,3.64e-06,1,1,0,0,1.0,1.0,1.0,1.0
10,3.7e-06,1566396000,3.7e-06,3.66e-06,3.66e-06,7495.9491753,0.02762904,3.68e-06,0,0,0,0,1.0,1.0,0.9891891891891892,0.9891891891891892
11,3.63e-06,1566403200,3.7e-06,3.63e-06,3.7e-06,1300.58285995,0.00478867,3.68e-06,1,1,0,0,0.981081081081081,1.0,0.981081081081081,1.0
12,3.66e-06,1566410400,3.68e-06,3.66e-06,3.68e-06,1515.20195504,0.00556563,3.67e-06,1,1,0,0,0.9945652173913044,1.0,0.9945652173913044,1.0
13,3.72e-06,1566417600,3.73e-06,3.72e-06,3.73e-06,1747.26651484,0.00650009,3.72e-06,0,0,0,0,0.9973190348525469,1.0,0.9973190348525469,1.0
14,3.78e-06,1566424800,3.78e-06,3.75e-06,3.75e-06,3003.42398756,0.01130145,3.76e-06,0,0,0,0,1.0,1.0,0.9920634920634921,0.9920634920634921
15,3.8e-06,1566432000,3.83e-06,3.78e-06,3.78e-06,19130.68168789,0.07262732,3.79e-06,0,0,0,0,0.9921671018276763,1.0,0.9869451697127938,0.9869451697127938
16,3.77e-06,1566439200,3.77e-06,3.77e-06,3.77e-06,5384.43925172,0.02029933,3.77e-06,1,1,0,0,1.0,1.0,1.0,1.0
17,3.78e-06,1566446400,3.78e-06,3.78e-06,3.78e-06,26.48148148,0.00010009,3.78e-06,1,1,0,0,1.0,1.0,1.0,1.0
18,3.78e-06,1566453600,3.78e-06,3.78e-06,3.78e-06,0.0,0.0,3.78e-06,1,0,0,0,1.0,1.0,1.0,1.0
19,3.78e-06,1566460800,3.78e-06,3.78e-06,3.78e-06,0.0,0.0,3.78e-06,1,1,0,0,1.0,1.0,1.0,1.0
20,3.78e-06,1566468000,3.78e-06,3.78e-06,3.78e-06,0.0,0.0,3.78e-06,0,1,0,0,1.0,1.0,1.0,1.0
21,3.79e-06,1566475200,3.79e-06,3.79e-06,3.79e-06,26.4116095,0.0001001,3.79e-06,0,0,0,0,1.0,1.0,1.0,1.0
22,3.81e-06,1566482400,3.81e-06,3.81e-06,3.81e-06,31.496063,0.00012,3.81e-06,0,0,0,0,1.0,1.0,1.0,1.0
23,3.84e-06,1566489600,3.84e-06,3.8e-06,3.8e-06,956.39355831,0.003648,3.81e-06,0,0,0,0,1.0,1.0,0.9895833333333335,0.9895833333333335
24,3.83e-06,1566496800,3.83e-06,3.83e-06,3.83e-06,395.56193138,0.001515,3.83e-06,1,0,0,0,1.0,1.0,1.0,1.0
25,3.83e-06,1566504000,3.87e-06,3.81e-06,3.87e-06,1897.03938901,0.00728901,3.84e-06,0,1,0,0,0.9896640826873384,1.0,0.9844961240310077,1.0
26,3.95e-06,1566511200,3.95e-06,3.89e-06,3.89e-06,313.80606504,0.00123006,3.91e-06,1,0,0,0,1.0,1.0,0.9848101265822784,0.9848101265822784
27,4.14e-06,1566518400,4.14e-06,3.85e-06,3.88e-06,31776.63949873,0.12769708,4.01e-06,0,0,0,0,1.0,1.0,0.9299516908212561,0.9371980676328502
28,4.21e-06,1566525600,4.21e-06,4.05e-06,4.05e-06,8485.48201245,0.03545684,4.17e-06,1,0,0,0,1.0,1.0,0.9619952494061758,0.9619952494061758
29,4.11e-06,1566532800,4.18e-06,4.08e-06,4.18e-06,12170.78824035,0.04999057,4.1e-06,1,1,0,0,0.9832535885167464,1.0,0.9760765550239234,1.0
30,4.06e-06,1566540000,4.08e-06,4.05e-06,4.08e-06,2147.54000716,0.00870811,4.05e-06,1,1,0,0,0.9950980392156863,1.0,0.9926470588235294,1.0
31,4.06e-06,1566547200,4.06e-06,4.06e-06,4.06e-06,1000.0,0.00406,4.06e-06,1,1,0,0,1.0,1.0,1.0,1.0
32,4.17e-06,1566554400,4.17e-06,4.12e-06,4.12e-06,1272.11812195,0.00525723,4.13e-06,1,0,0,0,1.0,1.0,0.9880095923261392,0.9880095923261392
33,3.97e-06,1566561600,4.14e-06,3.97e-06,4.13e-06,18571.46307551,0.07555086,4.06e-06,0,1,1,1,0.9589371980676329,1.0,0.9589371980676329,0.9975845410628019
34,3.96e-06,1566568800,3.96e-06,3.96e-06,3.96e-06,287.81178718,0.00113973,3.96e-06,1,1,1,1,1.0,1.0,1.0,1.0
35,3.92e-06,1566576000,3.92e-06,3.92e-06,3.92e-06,4232.99319572,0.01659333,3.92e-06,1,1,1,1,1.0,1.0,1.0,1.0
36,3.91e-06,1566583200,3.97e-06,3.91e-06,3.96e-06,1141.7053965,0.00450998,3.95e-06,1,1,1,1,0.9848866498740554,1.0,0.9848866498740554,0.9974811083123426
37,3.91e-06,1566590400,3.91e-06,3.91e-06,3.91e-06,0.0,0.0,3.91e-06,1,1,1,1,1.0,1.0,1.0,1.0
38,4.03e-06,1566597600,4.03e-06,4.03e-06,4.03e-06,205.485,0.0008281,4.03e-06,1,0,1,1,1.0,1.0,1.0,1.0
39,4.05e-06,1566604800,4.24e-06,4.05e-06,4.06e-06,36726.00490418,0.15166332,4.12e-06,0,0,0,1,0.9551886792452831,1.0,0.9551886792452831,0.9575471698113207
40,4.05e-06,1566612000,4.05e-06,4.05e-06,4.05e-06,0.0,0.0,4.05e-06,1,0,0,1,1.0,1.0,1.0,1.0
41,4.05e-06,1566619200,4.05e-06,4.05e-06,4.05e-06,0.0,0.0,4.05e-06,1,1,0,1,1.0,1.0,1.0,1.0
42,4.09e-06,1566626400,4.09e-06,4.09e-06,4.09e-06,287.09225885,0.0011742,4.09e-06,0,0,0,1,1.0,1.0,1.0,1.0
43,4.09e-06,1566633600,4.14e-06,4.09e-06,4.14e-06,14501.80956079,0.05948306,4.1e-06,0,0,0,1,0.9879227053140096,1.0,0.9879227053140096,1.0
44,4.13e-06,1566640800,4.17e-06,4.13e-06,4.13e-06,370.41254607,0.00153659,4.14e-06,1,0,0,1,0.9904076738609113,1.0,0.9904076738609113,0.9904076738609113
45,4.16e-06,1566648000,4.16e-06,4.13e-06,4.13e-06,370.75505255,0.00154143,4.15e-06,1,0,0,1,1.0,1.0,0.9927884615384616,0.9927884615384616
46,4.22e-06,1566655200,4.22e-06,4.16e-06,4.16e-06,7056.34384985,0.02960541,4.19e-06,0,0,0,1,1.0,1.0,0.985781990521327,0.985781990521327
47,4.17e-06,1566662400,4.21e-06,4.17e-06,4.21e-06,673.2,0.0028148,4.18e-06,1,1,0,1,0.9904988123515438,1.0,0.9904988123515438,1.0
48,4.2e-06,1566669600,4.2e-06,4.16e-06,4.16e-06,1459.74255416,0.0060738,4.16e-06,1,0,0,1,1.0,1.0,0.9904761904761906,0.9904761904761906
49,4.22e-06,1566676800,4.22e-06,4.2e-06,4.2e-06,1304.32014779,0.00548077,4.2e-06,0,0,0,1,1.0,1.0,0.9952606635071088,0.9952606635071088
50,4.18e-06,1566684000,4.27e-06,4.18e-06,4.27e-06,3439.15328522,0.01468293,4.26e-06,0,1,0,1,0.9789227166276346,1.0,0.9789227166276346,1.0
51,4.27e-06,1566691200,4.27e-06,4.27e-06,4.27e-06,31.874875,0.0001361,4.27e-06,1,0,0,1,1.0,1.0,1.0,1.0
