,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_vol_13,avg_vol_34,avg_close_3,avg_close_13,avg_close_34
0,4.37e-06,1556412239,4.37e-06,4.37e-06,4.37e-06,0.0,0.0,4.37e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
1,4.37e-06,1556416800,4.37e-06,4.37e-06,4.37e-06,5061.68192221,0.02211955,4.37e-06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
2,4.41e-06,1556424000,4.41e-06,4.4e-06,4.4e-06,60.81035706,0.00026793,4.4e-06,0.007462493333333334,-99999.0,-99999.0,4.3833333333333334e-06,-99999.0,-99999.0
3,4.39e-06,1556431200,4.39e-06,4.37e-06,4.37e-06,144.92788012,0.0006338,4.37e-06,0.007673760000000001,-99999.0,-99999.0,4.3899999999999995e-06,-99999.0,-99999.0
4,4.39e-06,1556438400,4.39e-06,4.39e-06,4.39e-06,0.0,0.0,4.39e-06,0.00030057666666666663,-99999.0,-99999.0,4.3966666666666655e-06,-99999.0,-99999.0
5,4.35e-06,1556445600,4.38e-06,4.35e-06,4.36e-06,10090.33461896,0.0439356,4.35e-06,0.014856466666666665,-99999.0,-99999.0,4.376666666666666e-06,-99999.0,-99999.0
6,4.35e-06,1556452800,4.37e-06,4.35e-06,4.37e-06,4455.92468098,0.01938571,4.35e-06,0.021107103333333332,-99999.0,-99999.0,4.363333333333333e-06,-99999.0,-99999.0
7,4.32e-06,1556460000,4.32e-06,4.32e-06,4.32e-06,1497.998,0.00647135,4.32e-06,0.02326422,-99999.0,-99999.0,4.339999999999999e-06,-99999.0,-99999.0
8,4.32e-06,1556467200,4.32e-06,4.32e-06,4.32e-06,0.0,0.0,4.32e-06,0.008619019999999998,-99999.0,-99999.0,4.329999999999998e-06,-99999.0,-99999.0
9,4.32e-06,1556474400,4.32e-06,4.29e-06,4.29e-06,25091.6563456,0.10764816,4.29e-06,0.03803983666666667,-99999.0,-99999.0,4.3199999999999984e-06,-99999.0,-99999.0
10,4.32e-06,1556481600,4.32e-06,4.32e-06,4.32e-06,0.0,0.0,4.32e-06,0.03588272,-99999.0,-99999.0,4.3199999999999984e-06,-99999.0,-99999.0
11,4.31e-06,1556488800,4.31e-06,4.31e-06,4.31e-06,50.57308584,0.00021796,4.31e-06,0.03595537333333334,-99999.0,-99999.0,4.3166666666666654e-06,-99999.0,-99999.0
12,4.31e-06,1556496000,4.31e-06,4.31e-06,4.31e-06,13176.0,0.05678856,4.31e-06,0.01900217333333333,0.01980527846153846,-99999.0,4.313333333333332e-06,4.348461538461537e-06,-99999.0
13,4.33e-06,1556503200,4.33e-06,4.33e-06,4.33e-06,95.37650119,0.00041298,4.33e-06,0.01913983333333333,0.01983704615384615,-99999.0,4.316666666666666e-06,4.3453846153846145e-06,-99999.0
14,4.33e-06,1556510400,4.33e-06,4.33e-06,4.33e-06,0.0,0.0,4.33e-06,0.019067179999999996,0.018135542307692307,-99999.0,4.323333333333333e-06,4.342307692307692e-06,-99999.0
15,4.32e-06,1556517600,4.32e-06,4.32e-06,4.32e-06,200.0,0.000864,4.32e-06,0.0004256599999999944,0.018181393846153845,-99999.0,4.326666666666666e-06,4.335384615384615e-06,-99999.0
16,4.3e-06,1556524800,4.32e-06,4.3e-06,4.32e-06,2371.57268678,0.01024405,4.31e-06,0.0037026833333333275,0.01892064384615385,-99999.0,4.3166666666666654e-06,4.328461538461537e-06,-99999.0
17,4.28e-06,1556532000,4.32e-06,4.27e-06,4.32e-06,16818.0544325,0.07200458,4.28e-06,0.027704209999999993,0.024459457692307694,-99999.0,4.299999999999999e-06,4.319999999999999e-06,-99999.0
18,4.21e-06,1556539200,4.27e-06,4.2e-06,4.27e-06,109689.29200194,0.46205196,4.21e-06,0.18143352999999998,0.05662225461538462,-99999.0,4.263333333333333e-06,4.3092307692307685e-06,-99999.0
19,4.2e-06,1556546400,4.22e-06,4.2e-06,4.22e-06,695.21961524,0.00292523,4.2e-06,0.17899392333333333,0.05535606384615385,-99999.0,4.229999999999999e-06,4.297692307692308e-06,-99999.0
20,4.22e-06,1556553600,4.22e-06,4.2e-06,4.2e-06,476.64315018,0.00200352,4.2e-06,0.1556602366666667,0.05501238461538463,-99999.0,4.2099999999999995e-06,4.2900000000000004e-06,-99999.0
21,4.26e-06,1556560800,4.26e-06,4.19e-06,4.2e-06,21462.80816049,0.09014886,4.2e-06,0.031692536666666694,0.06194691230769232,-99999.0,4.226666666666666e-06,4.285384615384616e-06,-99999.0
22,4.22e-06,1556568000,4.22e-06,4.22e-06,4.22e-06,1303.39188875,0.00550031,4.22e-06,0.0325508966666667,0.05408938538461539,-99999.0,4.233333333333332e-06,4.277692307692308e-06,-99999.0
