,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high,std_low,std_open
0,5.12e-06,1566326232,5.12e-06,5.12e-06,5.12e-06,0.0,0.0,5.12e-06,0,0,0,0,1.0,1.0,1.0,1.0
1,5.16e-06,1566331200,5.18e-06,5.12e-06,5.12e-06,50646.19225924,0.26132667,5.15e-06,0,0,0,0,0.996138996138996,1.0,0.9884169884169883,0.9884169884169883
2,5.2e-06,1566338400,5.2e-06,5.14e-06,5.17e-06,5393.15139894,0.02804124,5.19e-06,1,0,0,0,1.0,1.0,0.9884615384615384,0.9942307692307691
3,5.22e-06,1566345600,5.22e-06,5.18e-06,5.21e-06,1114.59888633,0.00577962,5.18e-06,1,0,0,0,1.0,1.0,0.9923371647509579,0.9980842911877394
4,5.35e-06,1566352800,5.4e-06,5.23e-06,5.23e-06,153665.85836987,0.82290252,5.35e-06,0,0,0,0,0.9907407407407407,1.0,0.9685185185185186,0.9685185185185186
5,5.31e-06,1566360000,5.35e-06,5.31e-06,5.35e-06,40746.7341742,0.21700574,5.32e-06,1,0,0,0,0.9925233644859813,1.0,0.9925233644859813,1.0
6,5.35e-06,1566367200,5.37e-06,5.28e-06,5.35e-06,24562.0254061,0.13102378,5.33e-06,1,0,0,0,0.9962756052141526,1.0,0.9832402234636871,0.9962756052141526
7,5.29e-06,1566374400,5.36e-06,5.29e-06,5.36e-06,5909.7464051,0.03128067,5.29e-06,1,1,0,0,0.9869402985074627,1.0,0.9869402985074627,1.0
8,5.39e-06,1566381600,5.39e-06,5.32e-06,5.33e-06,23465.61529889,0.1252708,5.33e-06,0,0,0,0,1.0,1.0,0.987012987012987,0.9888682745825602
9,5.37e-06,1566388800,5.39e-06,5.35e-06,5.37e-06,56118.6098759,0.30133513,5.36e-06,0,0,0,0,0.9962894248608535,1.0,0.9925788497217067,0.9962894248608535
10,5.37e-06,1566396000,5.41e-06,5.37e-06,5.38e-06,17100.95399515,0.09215173,5.38e-06,1,1,0,0,0.9926062846580407,1.0,0.9926062846580407,0.9944547134935305
11,5.39e-06,1566403200,5.41e-06,5.37e-06,5.4e-06,4761.944483,0.0257236,5.4e-06,1,0,0,0,0.9963031423290204,1.0,0.9926062846580407,0.9981515711645101
12,5.4e-06,1566410400,5.4e-06,5.4e-06,5.4e-06,353.7175926,0.00191007,5.4e-06,1,0,0,0,1.0,1.0,1.0,1.0
13,5.35e-06,1566417600,5.38e-06,5.35e-06,5.38e-06,13488.9038853,0.07230722,5.36e-06,0,1,0,0,0.9944237918215613,1.0,0.9944237918215613,1.0
14,5.38e-06,1566424800,5.38e-06,5.36e-06,5.38e-06,2788.17028732,0.014945,5.36e-06,1,0,0,0,1.0,1.0,0.9962825278810409,1.0
