,close,date,high,low,open,quoteVolume,volume,weightedAverage,avg_vol_3,avg_close_3,avg_close_13,avg_close_34,std_close,std_high
0,6.01100007,1559507466,6.01100007,6.01100007,6.01100007,0.0,0.0,6.01100007,1,1,1,1,1.0,1.0
1,6.40140247,1559512800,6.40140247,6.15,6.18,6317.1059712,39749.35484631,6.29233624,1,1,1,1,0.9654134432200449,1.040878450406504
2,6.21653009,1559520000,6.398709,6.09759025,6.35356039,2335.64690927,14765.52365435,6.32181328,1,1,1,1,1.0220428917766247,1.0493832379110748
3,6.23645596,1559527200,6.39999846,6.21653,6.27195972,573.95669507,3627.31553252,6.31984183,1,1,1,1,1.0056929384617992,1.0295130016263092
4,6.23962539,1559534400,6.57,6.18449821,6.21653067,3634.22698048,23376.60778235,6.43234666,1,1,1,1,0.9962987008744126,1.06233355996072
5,6.27,1559541600,6.43207902,6.0,6.365,8754.54228542,53748.30637047,6.13947647,1,1,1,1,1.0151515151515154,1.07201317
6,6.43339,1559548800,6.54856887,6.2,6.27,6380.68713387,40217.72974296,6.30304055,1,1,1,1,0.9746028143793551,1.056220785483871
7,6.67667447,1559556000,6.86278953,6.52836425,6.54856887,5187.61170938,34682.79959578,6.68569691,1,1,1,1,0.980812963013906,1.0512265044034574
8,6.58,1559563200,6.84999998,6.58,6.70000119,7137.21547315,47951.48491338,6.71851439,1,1,1,1,1.018237262917933,1.0410334316109422
9,6.88000111,1559570400,6.95999998,6.40000027,6.58,3975.27379991,26293.68424274,6.61430773,1,1,1,1,0.9563951945350776,1.0874999509960959
10,7.17288533,1559577600,7.24222199,6.71000005,6.88000111,7300.35076263,51244.26398451,7.0194249,1,1,1,1,0.9591678652975204,1.0793177251913733
11,6.98606889,1559584800,7.19985243,6.97358814,7.00082371,2384.14502531,16855.72084347,7.06992261,1,1,1,1,1.0021120347125576,1.0324458923380009
12,7.10915566,1559592000,7.19985218,6.98606889,6.98606889,1015.69063413,7186.72059768,7.0756984,1,1,1,1,0.9826861619175744,1.0306013715819513
13,6.59853862,1559599200,7.12960222,6.50000001,7.10915653,9701.53274356,64900.96862448,6.68976442,1,1,1,1,1.0773834843449017,1.0968618783125201
14,6.77275894,1559606400,6.82716982,6.21,6.53147238,17965.64427218,114670.47231836,6.38276426,1,1,1,1,0.9643739630868953,1.099383223832528
15,6.37254874,1559613600,6.8236217,6.37254874,6.65097983,3587.01778384,23665.1279853,6.59743815,1,1,1,1,1.0436922652709282,1.0707837599057737
16,6.59105781,1559620800,6.61692998,6.37254874,6.37254874,751.20483338,4868.38129531,6.48076407,1,1,1,1,0.9668476477829588,1.0383490578057155
17,6.35864951,1559628000,6.50339394,6.29,6.44074945,6045.26305925,38133.30301929,6.30796421,1,1,1,1,1.0129115372487325,1.0339259046104927
18,6.49,1559635200,6.53061407,6.333,6.34971158,1297.47345978,8269.25431189,6.37335141,1,1,1,1,0.9783839106317411,1.0312038638875731
19,6.31791223,1559642400,6.55599989,6.28000011,6.49,807.88000502,5148.86462705,6.3733037,1,1,1,1,1.0272380754488575,1.0439490087843326
20,6.55146,1559649600,6.63795131,6.35,6.35,2599.29957219,16864.11439354,6.48794566,1,1,1,1,0.9692496023787064,1.045346662992126
21,6.38559122,1559656800,6.55146,6.34593376,6.55146,485.96573775,3143.60930149,6.46878793,1,1,1,1,1.0259754773341097,1.0323870761613496
22,6.0,1559664000,6.41455988,6.0,6.3631169,8019.57385905,48565.18708609,6.05583138,1,1,1,1,1.0605194833333333,1.0690933133333334
23,5.91273577,1559671200,6.1716188,5.86631101,6.0,7209.25931693,43203.38820833,5.99276379,1,1,1,1,1.014758689275912,1.0520442556624694
24,5.821,1559678400,6.06232998,5.82,5.92607785,4112.15635906,24299.89038185,5.90928171,1,1,1,1,1.0180515117677376,1.0416374536082473
25,5.91298908,1559685600,5.98938599,5.75842521,5.82,6410.1302721,37867.80191721,5.90749334,1,1,1,1,0.9842737609114611,1.0401083232962576
26,5.98536759,1559692800,6.14999999,5.91298908,5.91298908,1028.37592166,6240.61481924,6.06841786,1,1,1,1,0.987907424412675,1.0400830961791663
27,6.05453603,1559700000,6.14999425,5.95019901,5.95019901,279.33205652,1692.69320391,6.05978857,1,1,1,1,0.9827671320340627,1.0335779088504804
28,6.11902004,1559707200,6.11902004,5.91537,6.04811353,1092.79525775,6616.95621971,6.05507406,1,1,1,1,0.9884121134533824,1.0344272699763497
29,6.2,1559714400,6.25,5.85,5.97513001,6247.5591539,38417.17141083,6.14914888,1,1,1,1,0.9637306467741935,1.0683760683760684
30,6.16039944,1559721600,6.24998443,6.16039944,6.2,774.2895836,4812.66313531,6.21558553,1,1,1,1,1.0064282455035092,1.0145420748885725
31,6.0384238,1559728800,6.18655356,6.0384238,6.18121099,1437.93128721,8764.50471599,6.09521803,1,1,1,1,1.0236464340247202,1.0245311963694896
32,6.00887083,1559736000,6.10721978,5.94346,6.027565,1278.43686991,7667.86053264,5.99784057,1,1,1,1,1.0031110953336968,1.0275529371780074
33,5.70208901,1559743200,5.94346,5.63052989,5.94346,10923.2473955,63359.48874913,5.80042605,1,1,1,1,1.0423302739709424,1.055577381900729
34,5.9,1559750400,5.9,5.78437,5.78437,2231.3556666,13063.04428566,5.85430842,1,1,1,1,0.9804016949152542,1.0199900767067114
35,5.96220235,1559757600,5.96220235,5.86866585,5.88733057,1874.629921,11111.8524793,5.92749126,1,1,1,1,0.9874422611637794,1.0159382903015342
36,6.07348581,1559764800,6.19718801,5.94346073,5.98512314,6931.3695552,42475.92184829,6.12807057,1,1,1,1,0.9854510782169753,1.042690158398674
37,6.18198805,1559772000,6.19899998,6.09219106,6.09219106,1141.45226071,7056.68582046,6.18219969,1,1,1,1,0.9854744154673674,1.017532102809658
38,6.03614994,1559779200,6.18164763,5.95752273,6.18164763,291.03109426,1786.15958519,6.13734965,1,1,1,1,1.024104386313505,1.0376204859230138
